Nome: GOIANIA
Codigo Estacao: A002
Latitude: -16.642841
Longitude: -49.220222
Altitude: 727.3
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;1.103682;
2004-02-29;1.014677;
2004-03-31;1.139537;
2004-04-30;1.104598;
2004-05-31;null;
2004-06-30;1.335647;
2004-07-31;1.798066;
2004-08-31;1.847174;
2004-09-30;1.958732;
2004-10-31;1.575912;
2004-11-30;null;
2004-12-31;1.063703;
2005-01-31;.972832;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;1.377995;
2005-06-30;1.424621;
2005-07-31;1.560449;
2005-08-31;1.738441;
2005-09-30;1.776808;
2005-10-31;1.447523;
2005-11-30;1.022283;
2005-12-31;.984981;
2006-01-31;1.317603;
2006-02-28;.87205;
2006-03-31;.79543;
2006-04-30;1.056313;
2006-05-31;null;
2006-06-30;1.360078;
2006-07-31;1.339364;
2006-08-31;1.445839;
2006-09-30;1.546099;
2006-10-31;1.060264;
2006-11-30;1.114867;
2006-12-31;.99458;
2007-01-31;.866532;
2007-02-28;.868938;
2007-03-31;1.240072;
2007-04-30;1.040193;
2007-05-31;1.213156;
2007-06-30;1.321564;
2007-07-31;1.157192;
2007-08-31;2.315673;
2007-09-30;2.078611;
2007-10-31;1.396892;
2007-11-30;1.257464;
2007-12-31;1.059771;
2008-01-31;1.045763;
2008-02-29;.984914;
2008-03-31;1.028395;
2008-04-30;1.01875;
2008-05-31;1.256352;
2008-06-30;1.207778;
2008-07-31;1.481586;
2008-08-31;1.439382;
2008-09-30;1.517361;
2008-10-31;1.499462;
2008-11-30;1.27196;
2008-12-31;1.193964;
2009-01-31;1.137596;
2009-02-28;1.087096;
2009-03-31;1.051344;
2009-04-30;.932311;
2009-05-31;null;
2009-06-30;1.087778;
2009-07-31;1.143952;
2009-08-31;1.558768;
2009-09-30;1.34;
2009-10-31;1.265661;
2009-11-30;1.020972;
2009-12-31;1.2375;
2010-01-31;1.017608;
2010-02-28;1.259821;
2010-03-31;1.11586;
2010-04-30;1.254722;
2010-05-31;1.170027;
2010-06-30;1.367083;
2010-07-31;1.898253;
2010-08-31;1.702585;
2010-09-30;1.994278;
2010-10-31;1.500151;
2010-11-30;1.257228;
2010-12-31;1.157796;
2011-01-31;1.416656;
2011-02-28;1.121429;
2011-03-31;1.069833;
2011-04-30;1.442361;
2011-05-31;1.528226;
2011-06-30;1.406806;
2011-07-31;1.432258;
2011-08-31;1.687114;
2011-09-30;1.852639;
2011-10-31;1.515188;
2011-11-30;1.3475;
2011-12-31;1.161425;
2012-01-31;1.081774;
2012-02-29;1.189224;
2012-03-31;1.117742;
2012-04-30;1.003333;
2012-05-31;1.385081;
2012-06-30;1.240695;
2012-07-31;1.354301;
2012-08-31;2.328303;
2012-09-30;1.551476;
2012-10-31;1.608065;
2012-11-30;1.418635;
2012-12-31;1.288038;
2013-01-31;1.248656;
2013-02-28;1.092255;
2013-03-31;1.154528;
2013-04-30;1.200417;
2013-05-31;1.070459;
2013-06-30;.909773;
2013-07-31;1.32358;
2013-08-31;1.382527;
2013-09-30;1.791111;
2013-10-31;1.236962;
2013-11-30;1.049445;
2013-12-31;1.129301;
2014-01-31;1.131989;
2014-02-28;1.155357;
2014-03-31;.892339;
2014-04-30;1.017083;
2014-05-31;1.008199;
2014-06-30;1.187917;
2014-07-31;1.350807;
2014-08-31;1.544355;
2014-09-30;1.489028;
2014-10-31;1.47043;
2014-11-30;1.029028;
2014-12-31;1.072177;
2015-01-31;1.292952;
2015-02-28;1.169196;
2015-03-31;.928417;
2015-04-30;.922639;
2015-05-31;1.162903;
2015-06-30;1.373472;
2015-07-31;1.227285;
2015-08-31;1.570161;
2015-09-30;1.290278;
2015-10-31;1.359677;
2015-11-30;1.30375;
2015-12-31;1.191801;
2016-01-31;1.107527;
2016-02-29;1.020546;
2016-03-31;1.075941;
2016-04-30;1.279583;
2016-05-31;1.114516;
2016-06-30;1.299167;
2016-07-31;1.314247;
2016-08-31;1.331452;
2016-09-30;1.535833;
2016-10-31;1.297312;
2016-11-30;1.19;
2016-12-31;1.330242;
2017-01-31;1.189247;
2017-02-28;1.109375;
2017-03-31;.962903;
2017-04-30;1.024306;
2017-05-31;1.072446;
2017-06-30;1.461945;
2017-07-31;1.856586;
2017-08-31;1.105645;
2017-09-30;1.897083;
2017-10-31;1.480914;
2017-11-30;1.127639;
2017-12-31;1.002823;
2018-01-31;1.063844;
2018-02-28;1.03125;
2018-03-31;.894086;
2018-04-30;1.158333;
2018-05-31;1.179301;
2018-06-30;.992778;
2018-07-31;1.158064;
2018-08-31;1.304435;
2018-09-30;1.245417;
2018-10-31;1.074059;
2018-11-30;.977083;
2018-12-31;1.094892;
2019-01-31;1.178629;
2019-02-28;.978274;
2019-03-31;.984946;
2019-04-30;.808472;
2019-05-31;.877823;
2019-06-30;1.249046;
2019-07-31;1.216263;
2019-08-31;1.317876;
2019-09-30;1.243194;
2019-10-31;1.183602;
2019-11-30;1.037361;
2019-12-31;.95121;
2020-01-31;1.011828;
2020-02-29;.824569;
2020-03-31;.866532;
2020-04-30;.92618;
2020-05-31;.890457;
2020-06-30;1.038472;
2020-07-31;1.11707;
2020-08-31;1.492608;
2020-09-30;1.384583;
2020-10-31;1.128495;
2020-11-30;1.117778;
2020-12-31;.937769;
2021-01-31;.86371;
2021-02-28;.871875;
2021-03-31;.724059;
2021-04-30;.891667;
2021-05-31;.851344;
2021-06-30;.925833;
2021-07-31;1.087097;
2021-08-31;1.222984;
2021-09-30;1.050833;
2021-10-31;1.040631;
2021-11-30;.799167;
2021-12-31;.772312;
2022-01-31;.957527;
2022-02-28;.836607;
2022-03-31;.826344;
2022-04-30;.949861;
2022-05-31;.967742;
2022-06-30;.975972;
2022-07-31;1.042876;
2022-08-31;1.289113;
2022-09-30;1.201389;
2022-10-31;1.039651;
2022-11-30;1.090278;
2022-12-31;.84207;

