Nome: PORANGATU
Codigo Estacao: A005
Latitude: -13.30944444
Longitude: -49.11749999
Altitude: 365
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;1.623866;
2004-08-31;1.67833;
2004-09-30;1.73488;
2004-10-31;1.542184;
2004-11-30;1.555641;
2004-12-31;1.353868;
2005-01-31;1.520137;
2005-02-28;null;
2005-03-31;1.159506;
2005-04-30;1.095248;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;1.852285;
2005-09-30;1.779005;
2005-10-31;1.503639;
2005-11-30;null;
2005-12-31;1.365995;
2006-01-31;1.417607;
2006-02-28;1.25782;
2006-03-31;1.215556;
2006-04-30;1.217228;
2006-05-31;null;
2006-06-30;1.396389;
2006-07-31;1.295851;
2006-08-31;null;
2006-09-30;null;
2006-10-31;1.406855;
2006-11-30;1.267669;
2006-12-31;1.23804;
2007-01-31;1.180365;
2007-02-28;1.326488;
2007-03-31;1.225917;
2007-04-30;1.08625;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;1.250222;
2018-11-30;1.208234;
2018-12-31;1.258801;
2019-01-31;1.085753;
2019-02-28;.908423;
2019-03-31;1.004326;
2019-04-30;.840139;
2019-05-31;1.016129;
2019-06-30;1.485972;
2019-07-31;1.547312;
2019-08-31;1.453242;
2019-09-30;1.422917;
2019-10-31;1.253783;
2019-11-30;1.167717;
2019-12-31;1.19955;
2020-01-31;1.150602;
2020-02-29;1.054317;
2020-03-31;.91297;
2020-04-30;.857518;
2020-05-31;1.081317;
2020-06-30;1.241528;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;1.146268;
2021-10-31;1.062441;
2021-11-30;.928657;
2021-12-31;1.022424;
2022-01-31;1.104302;
2022-02-28;.876891;
2022-03-31;.836213;
2022-04-30;.75;
2022-05-31;1.08414;
2022-06-30;1.148297;
2022-07-31;1.245708;
2022-08-31;1.469945;
2022-09-30;1.355583;
2022-10-31;1.357093;
2022-11-30;1.125827;
2022-12-31;.969772;

