Nome: PARANA
Codigo Estacao: A010
Latitude: -12.615
Longitude: -47.87194443
Altitude: 284.96
Situacao: Operante
Data Inicial: 2005-03-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2005-03-31;1.413524;
2005-04-30;1.506153;
2005-05-31;1.786527;
2005-06-30;null;
2005-07-31;1.924338;
2005-08-31;1.883924;
2005-09-30;1.99962;
2005-10-31;1.82128;
2005-11-30;null;
2005-12-31;1.576613;
2006-01-31;1.741199;
2006-02-28;1.521511;
2006-03-31;1.425888;
2006-04-30;1.414223;
2006-05-31;null;
2006-06-30;1.801459;
2006-07-31;1.68937;
2006-08-31;1.776918;
2006-09-30;1.910576;
2006-10-31;1.695672;
2006-11-30;1.629077;
2006-12-31;1.485088;
2007-01-31;1.414656;
2007-02-28;1.446409;
2007-03-31;1.535294;
2007-04-30;1.243551;
2007-05-31;1.263766;
2007-06-30;1.414499;
2007-07-31;1.510164;
2007-08-31;2.008158;
2007-09-30;1.864497;
2007-10-31;1.854076;
2007-11-30;1.644124;
2007-12-31;1.407381;
2008-01-31;.963324;
2008-02-29;.099369;
2008-03-31;.36246;
2008-04-30;1.203219;
2008-05-31;1.273507;
2008-06-30;1.432923;
2008-07-31;1.648592;
2008-08-31;1.598989;
2008-09-30;1.734463;
2008-10-31;2.013628;
2008-11-30;1.851684;
2008-12-31;1.468876;
2009-01-31;1.055274;
2009-02-28;1.274809;
2009-03-31;1.290755;
2009-04-30;1.314354;
2009-05-31;1.259636;
2009-06-30;1.317379;
2009-07-31;1.406948;
2009-08-31;1.872639;
2009-09-30;1.49942;
2009-10-31;1.472376;
2009-11-30;1.422633;
2009-12-31;1.267315;
2010-01-31;1.398794;
2010-02-28;1.512461;
2010-03-31;1.486606;
2010-04-30;1.063629;
2010-05-31;.926584;
2010-06-30;1.282542;
2010-07-31;1.712198;
2010-08-31;1.636012;
2010-09-30;1.823515;
2010-10-31;1.705242;
2010-11-30;1.568086;
2010-12-31;1.480394;
2011-01-31;1.531463;
2011-02-28;1.424327;
2011-03-31;1.405193;
2011-04-30;1.425682;
2011-05-31;1.496803;
2011-06-30;1.437989;
2011-07-31;1.389738;
2011-08-31;1.23989;
2011-09-30;1.551981;
2011-10-31;1.879751;
2011-11-30;1.61311;
2011-12-31;1.331932;
2012-01-31;.98449;
2012-02-29;1.032609;
2012-03-31;1.274541;
2012-04-30;1.268472;
2012-05-31;1.619168;
2012-06-30;1.30945;
2012-07-31;null;
2012-08-31;null;
2012-09-30;1.643889;
2012-10-31;1.526722;
2012-11-30;1.305079;
2012-12-31;1.188014;
2013-01-31;1.191299;
2013-02-28;1.142954;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;1.197033;
2013-07-31;1.376175;
2013-08-31;1.539919;
2013-09-30;1.708333;
2013-10-31;1.438844;
2013-11-30;1.14875;
2013-12-31;1.196237;
2014-01-31;1.095027;
2014-02-28;1.198363;
2014-03-31;1.008065;
2014-04-30;.468889;
2014-05-31;.354973;
2014-06-30;.990139;
2014-07-31;1.298521;
2014-08-31;1.199731;
2014-09-30;1.365556;
2014-10-31;1.598522;
2014-11-30;1.262222;
2014-12-31;1.000941;
2015-01-31;.734636;
2015-02-28;.840327;
2015-03-31;.803473;
2015-04-30;.835139;
2015-05-31;.964919;
2015-06-30;1.093611;
2015-07-31;.962769;
2015-08-31;1.109812;
2015-09-30;.926389;
2015-10-31;1.1875;
2015-11-30;1.073194;
2015-12-31;1.209677;
2016-01-31;.874328;
2016-02-29;.728736;
2016-03-31;.727419;
2016-04-30;.822639;
2016-05-31;.796237;
2016-06-30;.95125;
2016-07-31;.914785;
2016-08-31;.944134;
2016-09-30;null;
2016-10-31;1.347645;
2016-11-30;1.094028;
2016-12-31;.864113;
2017-01-31;.772446;
2017-02-28;.627232;
2017-03-31;.529704;
2017-04-30;.546667;
2017-05-31;.692339;
2017-06-30;.870556;
2017-07-31;1.412366;
2017-08-31;.902688;
2017-09-30;1.335556;
2017-10-31;1.12164;
2017-11-30;null;
2017-12-31;.6379;
2018-01-31;null;
2018-02-28;.587885;
2018-03-31;.609138;
2018-04-30;.462064;
2018-05-31;.761818;
2018-06-30;.684013;
2018-07-31;.544624;
2018-08-31;.65336;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;.462278;
2019-04-30;.23875;
2019-05-31;.129839;
2019-06-30;.369861;
2019-07-31;.524597;
2019-08-31;.704923;
2019-09-30;.820833;
2019-10-31;.898574;
2019-11-30;.623853;
2019-12-31;.665732;
2020-01-31;.622113;
2020-02-29;.419934;
2020-03-31;.487775;
2020-04-30;.425;
2020-05-31;.397984;
2020-06-30;.280833;
2020-07-31;.495161;
2020-08-31;.628226;
2020-09-30;.555453;
2020-10-31;.877986;
2020-11-30;.857583;
2020-12-31;.471237;
2021-01-31;.537366;
2021-02-28;.435119;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;.550353;
2021-11-30;.431044;
2021-12-31;.381249;
2022-01-31;.345101;
2022-02-28;.315584;
2022-03-31;.326973;
2022-04-30;.374306;
2022-05-31;.455511;
2022-06-30;.458106;
2022-07-31;.517327;
2022-08-31;.494898;
2022-09-30;.506654;
2022-10-31;.584134;
2022-11-30;.530137;
2022-12-31;.430632;

