Nome: SAO SIMAO
Codigo Estacao: A011
Latitude: -18.969142
Longitude: -50.633449
Altitude: 492.45
Situacao: Operante
Data Inicial: 2006-07-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;null;
2006-08-31;3.448809;
2006-09-30;3.243359;
2006-10-31;2.991398;
2006-11-30;2.716244;
2006-12-31;2.761359;
2007-01-31;2.667339;
2007-02-28;2.525653;
2007-03-31;2.413294;
2007-04-30;2.439306;
2007-05-31;2.777609;
2007-06-30;2.925749;
2007-07-31;3.076479;
2007-08-31;3.63684;
2007-09-30;3.944444;
2007-10-31;2.976689;
2007-11-30;2.63837;
2007-12-31;2.740591;
2008-01-31;2.724328;
2008-02-29;2.298651;
2008-03-31;1.98642;
2008-04-30;2.007083;
2008-05-31;2.216702;
2008-06-30;2.590972;
2008-07-31;3.331515;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;2.832325;
2008-12-31;2.61828;
2009-01-31;2.426186;
2009-02-28;2.208604;
2009-03-31;1.567339;
2009-04-30;1.230139;
2009-05-31;2.033602;
2009-06-30;2.181111;
2009-07-31;2.362366;
2009-08-31;3.090457;
2009-09-30;2.256528;
2009-10-31;1.965805;
2009-11-30;1.980417;
2009-12-31;1.982796;
2010-01-31;1.877676;
2010-02-28;1.770685;
2010-03-31;1.638038;
2010-04-30;1.564583;
2010-05-31;1.467742;
2010-06-30;2.11375;
2010-07-31;2.911425;
2010-08-31;2.997814;
2010-09-30;3.536389;
2010-10-31;2.463038;
2010-11-30;2.219167;
2010-12-31;1.675403;
2011-01-31;1.746102;
2011-02-28;1.673065;
2011-03-31;1.959646;
2011-04-30;1.898056;
2011-05-31;1.256452;
2011-06-30;2.29125;
2011-07-31;2.914382;
2011-08-31;3.00914;
2011-09-30;3.032639;
2011-10-31;3.130107;
2011-11-30;2.378611;
2011-12-31;2.032258;
2012-01-31;2.087051;
2012-02-29;2.005891;
2012-03-31;1.52164;
2012-04-30;1.581944;
2012-05-31;1.718683;
2012-06-30;null;
2012-07-31;null;
2012-08-31;3.382262;
2012-09-30;2.984861;
2012-10-31;2.714516;
2012-11-30;2.346111;
2012-12-31;2.376613;
2013-01-31;2.317339;
2013-02-28;2.114732;
2013-03-31;2.179806;
2013-04-30;1.882778;
2013-05-31;2.326882;
2013-06-30;2.268194;
2013-07-31;2.56205;
2013-08-31;3.03414;
2013-09-30;3.02375;
2013-10-31;2.502016;
2013-11-30;2.426944;
2013-12-31;1.995027;
2014-01-31;1.843279;
2014-02-28;2.242113;
2014-03-31;1.881586;
2014-04-30;1.520556;
2014-05-31;1.745565;
2014-06-30;2.244167;
2014-07-31;2.283565;
2014-08-31;2.380877;
2014-09-30;2.655355;
2014-10-31;2.415796;
2014-11-30;1.959629;
2014-12-31;2.04543;
2015-01-31;1.885658;
2015-02-28;2.01158;
2015-03-31;1.648888;
2015-04-30;1.159583;
2015-05-31;1.730645;
2015-06-30;2.198249;
2015-07-31;2.274193;
2015-08-31;2.627554;
2015-09-30;2.217648;
2015-10-31;1.990422;
2015-11-30;2.016785;
2015-12-31;1.604854;
2016-01-31;1.784163;
2016-02-29;1.507615;
2016-03-31;null;
2016-04-30;null;
2016-05-31;1.557661;
2016-06-30;1.626806;
2016-07-31;2.225134;
2016-08-31;2.559674;
2016-09-30;1.611226;
2016-10-31;null;
2016-11-30;1.414028;
2016-12-31;1.315323;
2017-01-31;1.136425;
2017-02-28;1.082887;
2017-03-31;.683468;
2017-04-30;.704306;
2017-05-31;.847312;
2017-06-30;1.021667;
2017-07-31;1.55121;
2017-08-31;1.212073;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;2.02164;
2018-01-31;1.966801;
2018-02-28;1.752827;
2018-03-31;1.566801;
2018-04-30;1.55875;
2018-05-31;1.598925;
2018-06-30;1.927639;
2018-07-31;2.175134;
2018-08-31;2.136828;
2018-09-30;2.125;
2018-10-31;2.155645;
2018-11-30;2.151667;
2018-12-31;1.966129;
2019-01-31;1.888172;
2019-02-28;1.878571;
2019-03-31;null;
2019-04-30;null;
2019-05-31;1.564651;
2019-06-30;2.049722;
2019-07-31;2.134946;
2019-08-31;2.340356;
2019-09-30;2.44125;
2019-10-31;2.389201;
2019-11-30;1.889314;
2019-12-31;1.841129;
2020-01-31;1.581683;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;.199817;
2021-12-31;.073208;
2022-01-31;.139398;
2022-02-28;.116587;
2022-03-31;.0455;
2022-04-30;.159722;
2022-05-31;.256452;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

