Nome: LUZIANIA
Codigo Estacao: A012
Latitude: -16.26055555
Longitude: -47.96694443
Altitude: 1000.82
Situacao: Operante
Data Inicial: 2006-10-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;
2006-11-30;2.800182;
2006-12-31;2.529704;
2007-01-31;2.311794;
2007-02-28;2.840557;
2007-03-31;3.12043;
2007-04-30;2.6425;
2007-05-31;2.877378;
2007-06-30;2.954293;
2007-07-31;3.134044;
2007-08-31;3.850789;
2007-09-30;3.903889;
2007-10-31;3.118683;
2007-11-30;2.7545;
2007-12-31;2.783737;
2008-01-31;2.740995;
2008-02-29;2.422213;
2008-03-31;2.559259;
2008-04-30;2.232917;
2008-05-31;2.411238;
2008-06-30;2.680556;
2008-07-31;2.985887;
2008-08-31;3.022581;
2008-09-30;2.933472;
2008-10-31;3.204973;
2008-11-30;2.847639;
2008-12-31;2.691129;
2009-01-31;2.553425;
2009-02-28;2.449961;
2009-03-31;2.242742;
2009-04-30;2.451667;
2009-05-31;2.675672;
2009-06-30;2.51;
2009-07-31;2.724597;
2009-08-31;3.345027;
2009-09-30;2.620833;
2009-10-31;2.388075;
2009-11-30;2.279444;
2009-12-31;2.801344;
2010-01-31;2.246832;
2010-02-28;2.389286;
2010-03-31;2.11745;
2010-04-30;2.385;
2010-05-31;2.186694;
2010-06-30;2.627361;
2010-07-31;3.211425;
2010-08-31;3.116129;
2010-09-30;3.559305;
2010-10-31;2.55336;
2010-11-30;2.462083;
2010-12-31;2.389516;
2011-01-31;2.758065;
2011-02-28;2.19881;
2011-03-31;2.398129;
2011-04-30;2.710694;
2011-05-31;2.570393;
2011-06-30;2.615785;
2011-07-31;2.957392;
2011-08-31;3.206031;
2011-09-30;3.41125;
2011-10-31;2.838225;
2011-11-30;3.075417;
2011-12-31;2.494758;
2012-01-31;2.340141;
2012-02-29;2.515374;
2012-03-31;2.337664;
2012-04-30;2.295694;
2012-05-31;2.801882;
2012-06-30;2.540966;
2012-07-31;2.897715;
2012-08-31;3.654743;
2012-09-30;3.05125;
2012-10-31;3.035618;
2012-11-30;2.655139;
2012-12-31;2.358468;
2013-01-31;2.557124;
2013-02-28;2.428423;
2013-03-31;2.434167;
2013-04-30;2.481389;
2013-05-31;2.593011;
2013-06-30;2.698207;
2013-07-31;2.810349;
2013-08-31;3.271371;
2013-09-30;3.405694;
2013-10-31;2.890188;
2013-11-30;2.700695;
2013-12-31;2.677419;
2014-01-31;2.731389;
2014-02-28;2.835268;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;2.771389;
2014-07-31;3.057527;
2014-08-31;2.948656;
2014-09-30;3.208472;
2014-10-31;3.259005;
2014-11-30;2.255972;
2014-12-31;null;
2015-01-31;2.42462;
2015-02-28;2.73378;
2015-03-31;2.096775;
2015-04-30;2.11375;
2015-05-31;2.601075;
2015-06-30;2.94875;
2015-07-31;2.785618;
2015-08-31;3.043145;
2015-09-30;2.555972;
2015-10-31;2.814785;
2015-11-30;2.366111;
2015-12-31;2.470161;
2016-01-31;2.721505;
2016-02-29;2.301724;
2016-03-31;2.2625;
2016-04-30;2.589028;
2016-05-31;2.447715;
2016-06-30;2.710278;
2016-07-31;2.868145;
2016-08-31;2.894916;
2016-09-30;3.059821;
2016-10-31;2.853091;
2016-11-30;2.717639;
2016-12-31;2.945161;
2017-01-31;2.314809;
2017-02-28;2.617113;
2017-03-31;2.28172;
2017-04-30;2.562361;
2017-05-31;2.515054;
2017-06-30;2.825417;
2017-07-31;3.549462;
2017-08-31;3.016936;
2017-09-30;3.755833;
2017-10-31;3.230511;
2017-11-30;2.662083;
2017-12-31;2.143414;
2018-01-31;2.084677;
2018-02-28;2.352083;
2018-03-31;2.101747;
2018-04-30;2.562917;
2018-05-31;2.537097;
2018-06-30;2.5925;
2018-07-31;2.6;
2018-08-31;2.671985;
2018-09-30;2.719167;
2018-10-31;2.473118;
2018-11-30;2.575139;
2018-12-31;2.681048;
2019-01-31;2.522446;
2019-02-28;2.264137;
2019-03-31;2.251344;
2019-04-30;1.860694;
2019-05-31;2.221102;
2019-06-30;2.771389;
2019-07-31;2.820296;
2019-08-31;3.181183;
2019-09-30;3.24185;
2019-10-31;null;
2019-11-30;2.337639;
2019-12-31;2.201479;
2020-01-31;2.635484;
2020-02-29;1.926868;
2020-03-31;2.429436;
2020-04-30;1.658889;
2020-05-31;2.102285;
2020-06-30;2.569028;
2020-07-31;2.959409;
2020-08-31;3.31129;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;1.982392;
2021-02-28;1.636012;
2021-03-31;1.825941;
2021-04-30;1.81125;
2021-05-31;1.877688;
2021-06-30;2.40875;
2021-07-31;2.645296;
2021-08-31;3.268817;
2021-09-30;2.749444;
2021-10-31;2.542607;
2021-11-30;2.384722;
2021-12-31;2.158065;
2022-01-31;2.407796;
2022-02-28;2.064881;
2022-03-31;2.357392;
2022-04-30;2.445972;
2022-05-31;2.465457;
2022-06-30;2.432083;
2022-07-31;2.924193;
2022-08-31;3.127151;
2022-09-30;2.835695;
2022-10-31;3.052016;
2022-11-30;2.462639;
2022-12-31;2.36371;

