Nome: ARAGARCAS
Codigo Estacao: A013
Latitude: -15.90277777
Longitude: -52.24527777
Altitude: 327.35
Situacao: Pane
Data Inicial: 2007-07-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;1.43023;
2007-09-30;1.4475;
2007-10-31;1.536693;
2007-11-30;null;
2007-12-31;1.287097;
2008-01-31;1.167339;
2008-02-29;1.121264;
2008-03-31;1.075819;
2008-04-30;.890694;
2008-05-31;.793712;
2008-06-30;.809861;
2008-07-31;1.098522;
2008-08-31;1.250269;
2008-09-30;1.33125;
2008-10-31;1.46707;
2008-11-30;1.370417;
2008-12-31;1.193011;
2009-01-31;1.244489;
2009-02-28;1.102821;
2009-03-31;1.047312;
2009-04-30;.915555;
2009-05-31;1.035753;
2009-06-30;.888194;
2009-07-31;.978606;
2009-08-31;1.292607;
2009-09-30;1.265;
2009-10-31;1.311494;
2009-11-30;1.218889;
2009-12-31;.998253;
2010-01-31;1.177542;
2010-02-28;1.154167;
2010-03-31;1.116667;
2010-04-30;1.102361;
2010-05-31;1.177957;
2010-06-30;1.033056;
2010-07-31;1.331586;
2010-08-31;1.235081;
2010-09-30;1.387222;
2010-10-31;1.469758;
2010-11-30;1.213889;
2010-12-31;1.132796;
2011-01-31;1.067473;
2011-02-28;1.094048;
2011-03-31;1.009155;
2011-04-30;.843889;
2011-05-31;null;
2011-06-30;null;
2011-07-31;1.138979;
2011-08-31;1.409812;
2011-09-30;1.525972;
2011-10-31;1.380242;
2011-11-30;1.376806;
2011-12-31;1.172715;
2012-01-31;1.327419;
2012-02-29;1.269109;
2012-03-31;1.049988;
2012-04-30;.997778;
2012-05-31;.873387;
2012-06-30;.970833;
2012-07-31;1.08629;
2012-08-31;1.297527;
2012-09-30;1.321667;
2012-10-31;1.319355;
2012-11-30;1.14375;
2012-12-31;1.230511;
2013-01-31;1.221237;
2013-02-28;1.068333;
2013-03-31;1.133326;
2013-04-30;null;
2013-05-31;null;
2013-06-30;.829759;
2013-07-31;1.033504;
2013-08-31;1.250806;
2013-09-30;1.416389;
2013-10-31;1.379301;
2013-11-30;1.290833;
2013-12-31;1.184543;
2014-01-31;1.205242;
2014-02-28;1.267262;
2014-03-31;1.039651;
2014-04-30;.845556;
2014-05-31;.808602;
2014-06-30;.817917;
2014-07-31;1.168011;
2014-08-31;1.085349;
2014-09-30;1.291944;
2014-10-31;1.372177;
2014-11-30;1.171185;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.009274;
2015-06-30;.955;
2015-07-31;1.03414;
2015-08-31;1.245968;
2015-09-30;1.350555;
2015-10-31;1.477269;
2015-11-30;null;
2015-12-31;1.355397;
2016-01-31;1.281507;
2016-02-29;1.346408;
2016-03-31;1.185456;
2016-04-30;null;
2016-05-31;null;
2016-06-30;1.176997;
2016-07-31;1.251035;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;1.363038;
2017-01-31;1.311156;
2017-02-28;1.309226;
2017-03-31;1.208064;
2017-04-30;1.123194;
2017-05-31;.952554;
2017-06-30;1.137778;
2017-07-31;1.386022;
2017-08-31;1.249731;
2017-09-30;1.466528;
2017-10-31;1.540995;
2017-11-30;1.371111;
2017-12-31;1.179032;
2018-01-31;1.214785;
2018-02-28;1.277976;
2018-03-31;1.148253;
2018-04-30;1.097639;
2018-05-31;1.064785;
2018-06-30;1.196389;
2018-07-31;1.19422;
2018-08-31;1.308602;
2018-09-30;1.292361;
2018-10-31;null;
2018-11-30;null;
2018-12-31;1.317339;
2019-01-31;1.312769;
2019-02-28;1.297024;
2019-03-31;1.319893;
2019-04-30;1.029306;
2019-05-31;1.046985;
2019-06-30;1.097222;
2019-07-31;1.155511;
2019-08-31;1.328243;
2019-09-30;1.382917;
2019-10-31;1.469758;
2019-11-30;1.296389;
2019-12-31;1.229301;
2020-01-31;1.139651;
2020-02-29;1.169828;
2020-03-31;1.255511;
2020-04-30;1.105972;
2020-05-31;1.047849;
2020-06-30;1.129722;
2020-07-31;1.172809;
2020-08-31;1.311156;
2020-09-30;1.363472;
2020-10-31;1.338844;
2020-11-30;1.498611;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;1.237639;
2021-12-31;1.166667;
2022-01-31;1.265457;
2022-02-28;1.204613;
2022-03-31;1.212903;
2022-04-30;1.158889;
2022-05-31;1.074866;
2022-06-30;1.042778;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

