Nome: JATAI
Codigo Estacao: A016
Latitude: -17.923622
Longitude: -51.717467
Altitude: 670.08
Situacao: Operante
Data Inicial: 2007-05-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;
2007-06-30;1.092591;
2007-07-31;1.435712;
2007-08-31;2.36264;
2007-09-30;2.496805;
2007-10-31;1.944706;
2007-11-30;1.962035;
2007-12-31;1.763815;
2008-01-31;1.968426;
2008-02-29;1.482701;
2008-03-31;1.302694;
2008-04-30;1.131576;
2008-05-31;1.172121;
2008-06-30;1.158483;
2008-07-31;1.423776;
2008-08-31;1.850865;
2008-09-30;2.106262;
2008-10-31;1.966541;
2008-11-30;1.786246;
2008-12-31;1.873072;
2009-01-31;1.541334;
2009-02-28;1.400168;
2009-03-31;1.332392;
2009-04-30;.910223;
2009-05-31;.935021;
2009-06-30;1.082818;
2009-07-31;1.21449;
2009-08-31;.152431;
2009-09-30;.09971;
2009-10-31;.067023;
2009-11-30;.081037;
2009-12-31;.443328;
2010-01-31;.923444;
2010-02-28;.092734;
2010-03-31;1.140416;
2010-04-30;1.34968;
2010-05-31;1.239931;
2010-06-30;1.289856;
2010-07-31;1.812546;
2010-08-31;1.794215;
2010-09-30;2.208328;
2010-10-31;1.983719;
2010-11-30;2.041298;
2010-12-31;1.797049;
2011-01-31;1.849006;
2011-02-28;1.544115;
2011-03-31;1.740958;
2011-04-30;1.47782;
2011-05-31;1.258352;
2011-06-30;1.405362;
2011-07-31;1.696631;
2011-08-31;2.070732;
2011-09-30;2.306262;
2011-10-31;2.197118;
2011-11-30;1.883336;
2011-12-31;2.023532;
2012-01-31;1.940323;
2012-02-29;1.721121;
2012-03-31;1.501829;
2012-04-30;1.424722;
2012-05-31;1.275538;
2012-06-30;1.452778;
2012-07-31;1.423948;
2012-08-31;2.377284;
2012-09-30;1.964444;
2012-10-31;2.044758;
2012-11-30;1.773611;
2012-12-31;1.655376;
2013-01-31;1.795448;
2013-02-28;1.569792;
2013-03-31;1.625222;
2013-04-30;1.300278;
2013-05-31;1.287634;
2013-06-30;1.156604;
2013-07-31;1.578629;
2013-08-31;1.697446;
2013-09-30;2.337361;
2013-10-31;2.002957;
2013-11-30;1.773611;
2013-12-31;2.026882;
2014-01-31;1.684005;
2014-02-28;1.740625;
2014-03-31;1.659409;
2014-04-30;1.460278;
2014-05-31;1.240591;
2014-06-30;1.428056;
2014-07-31;1.538575;
2014-08-31;1.622715;
2014-09-30;1.825833;
2014-10-31;1.7875;
2014-11-30;1.782778;
2014-12-31;2.00914;
2015-01-31;1.633602;
2015-02-28;1.951042;
2015-03-31;1.519963;
2015-04-30;1.295139;
2015-05-31;1.352823;
2015-06-30;1.434861;
2015-07-31;1.36586;
2015-08-31;1.567339;
2015-09-30;1.823889;
2015-10-31;1.799731;
2015-11-30;1.788333;
2015-12-31;1.667204;
2016-01-31;2.164113;
2016-02-29;1.546408;
2016-03-31;1.556989;
2016-04-30;1.310833;
2016-05-31;1.361828;
2016-06-30;1.258889;
2016-07-31;1.584409;
2016-08-31;1.59989;
2016-09-30;1.942917;
2016-10-31;1.775403;
2016-11-30;1.797361;
2016-12-31;1.798656;
2017-01-31;1.721371;
2017-02-28;1.804577;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;1.747361;
2017-07-31;2.021774;
2017-08-31;1.757796;
2017-09-30;2.162778;
2017-10-31;1.880511;
2017-11-30;1.870833;
2017-12-31;1.733871;
2018-01-31;1.695027;
2018-02-28;1.630357;
2018-03-31;1.487558;
2018-04-30;1.24875;
2018-05-31;1.233333;
2018-06-30;1.176944;
2018-07-31;1.223522;
2018-08-31;1.723925;
2018-09-30;1.693889;
2018-10-31;1.629973;
2018-11-30;1.772482;
2018-12-31;1.626613;
2019-01-31;1.494892;
2019-02-28;1.787351;
2019-03-31;1.449731;
2019-04-30;1.058056;
2019-05-31;.993683;
2019-06-30;1.242917;
2019-07-31;1.324206;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;1.466801;
2020-01-31;1.752957;
2020-02-29;1.610058;
2020-03-31;1.343817;
2020-04-30;1.158889;
2020-05-31;.92365;
2020-06-30;1.135417;
2020-07-31;1.250134;
2020-08-31;1.852419;
2020-09-30;1.689444;
2020-10-31;1.654032;
2020-11-30;1.607917;
2020-12-31;1.480131;
2021-01-31;1.198118;
2021-02-28;1.160863;
2021-03-31;1.166532;
2021-04-30;.937639;
2021-05-31;.855242;
2021-06-30;.839239;
2021-07-31;1.135806;
2021-08-31;1.388441;
2021-09-30;1.475;
2021-10-31;1.637903;
2021-11-30;1.502083;
2021-12-31;1.456855;
2022-01-31;1.64543;
2022-02-28;1.332738;
2022-03-31;1.114247;
2022-04-30;.902778;
2022-05-31;.888502;
2022-06-30;.926667;
2022-07-31;1.068817;
2022-08-31;null;
2022-09-30;null;
2022-10-31;1.380645;
2022-11-30;1.600417;
2022-12-31;1.466398;

