Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.015377
Longitude: -48.544517
Altitude: 250.87
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;1.355238;
2007-01-31;1.349597;
2007-02-28;1.293899;
2007-03-31;1.348313;
2007-04-30;.908194;
2007-05-31;1.016085;
2007-06-30;1.018424;
2007-07-31;.927908;
2007-08-31;1.837108;
2007-09-30;1.670972;
2007-10-31;1.538844;
2007-11-30;1.144028;
2007-12-31;1.101479;
2008-01-31;1.068683;
2008-02-29;1.243678;
2008-03-31;1.051852;
2008-04-30;null;
2008-05-31;.995337;
2008-06-30;.822083;
2008-07-31;.918145;
2008-08-31;1.099059;
2008-09-30;1.259028;
2008-10-31;1.707124;
2008-11-30;1.501002;
2008-12-31;1.350269;
2009-01-31;1.105242;
2009-02-28;1.064313;
2009-03-31;.666129;
2009-04-30;.796528;
2009-05-31;.967204;
2009-06-30;1.003508;
2009-07-31;.822446;
2009-08-31;.852957;
2009-09-30;1.149306;
2009-10-31;1.238793;
2009-11-30;1.064722;
2009-12-31;1.133602;
2010-01-31;1.048326;
2010-02-28;1.001042;
2010-03-31;1.237634;
2010-04-30;1.130506;
2010-05-31;.735753;
2010-06-30;1.149028;
2010-07-31;1.561767;
2010-08-31;1.53657;
2010-09-30;1.504445;
2010-10-31;1.007796;
2010-11-30;1.245556;
2010-12-31;1.058871;
2011-01-31;1.018548;
2011-02-28;.745536;
2011-03-31;.788288;
2011-04-30;.722083;
2011-05-31;.906637;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;1.488611;
2011-10-31;1.502688;
2011-11-30;.99625;
2011-12-31;.724597;
2012-01-31;.991263;
2012-02-29;.961782;
2012-03-31;.661881;
2012-04-30;.690694;
2012-05-31;1.559013;
2012-06-30;1.523889;
2012-07-31;1.573925;
2012-08-31;2.232873;
2012-09-30;1.77375;
2012-10-31;1.703226;
2012-11-30;1.445;
2012-12-31;1.238979;
2013-01-31;1.299866;
2013-02-28;1.184524;
2013-03-31;1.117167;
2013-04-30;null;
2013-05-31;null;
2013-06-30;1.171225;
2013-07-31;1.362231;
2013-08-31;1.664919;
2013-09-30;1.854445;
2013-10-31;1.83629;
2013-11-30;1.364028;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;1.193145;
2014-04-30;1.10125;
2014-05-31;1.077419;
2014-06-30;1.331667;
2014-07-31;1.451747;
2014-08-31;1.601442;
2014-09-30;null;
2014-10-31;1.533333;
2014-11-30;1.235278;
2014-12-31;1.421102;
2015-01-31;1.10987;
2015-02-28;1.260863;
2015-03-31;1.17357;
2015-04-30;null;
2015-05-31;null;
2015-06-30;1.259524;
2015-07-31;1.381452;
2015-08-31;1.467608;
2015-09-30;1.264144;
2015-10-31;1.329032;
2015-11-30;1.486667;
2015-12-31;1.3125;
2016-01-31;1.270968;
2016-02-29;1.134483;
2016-03-31;.858468;
2016-04-30;.837361;
2016-05-31;.876747;
2016-06-30;1.084306;
2016-07-31;1.354586;
2016-08-31;1.537858;
2016-09-30;1.594444;
2016-10-31;1.351081;
2016-11-30;1.157222;
2016-12-31;1.1875;
2017-01-31;.998253;
2017-02-28;1.245641;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;1.385215;
2018-01-31;1.291935;
2018-02-28;1.1375;
2018-03-31;1.093414;
2018-04-30;1.256111;
2018-05-31;1.450672;
2018-06-30;1.513333;
2018-07-31;1.397849;
2018-08-31;1.546371;
2018-09-30;1.531806;
2018-10-31;1.568817;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;.905798;
2019-04-30;.826667;
2019-05-31;.853495;
2019-06-30;1.084445;
2019-07-31;1.315188;
2019-08-31;1.526467;
2019-09-30;1.453056;
2019-10-31;1.210443;
2019-11-30;1.181455;
2019-12-31;1.023107;
2020-01-31;1.044735;
2020-02-29;.831109;
2020-03-31;.029333;
2020-04-30;0;
2020-05-31;0;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;0;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;1.666818;
2021-10-31;1.576227;
2021-11-30;1.470128;
2021-12-31;1.544382;
2022-01-31;1.500869;
2022-02-28;1.416096;
2022-03-31;1.468848;
2022-04-30;1.400079;
2022-05-31;1.563844;
2022-06-30;1.652204;
2022-07-31;1.858152;
2022-08-31;1.938844;
2022-09-30;1.760286;
2022-10-31;1.739926;
2022-11-30;1.692833;
2022-12-31;1.376602;

