Nome: GURUPI
Codigo Estacao: A019
Latitude: -11.74499999
Longitude: -49.05166666
Altitude: 274
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;
2007-01-31;null;
2007-02-28;1.569048;
2007-03-31;1.393952;
2007-04-30;1.239444;
2007-05-31;1.640412;
2007-06-30;1.729731;
2007-07-31;1.697336;
2007-08-31;1.954509;
2007-09-30;2.027917;
2007-10-31;1.85793;
2007-11-30;1.639;
2007-12-31;1.465591;
2008-01-31;1.295968;
2008-02-29;1.407931;
2008-03-31;1.24892;
2008-04-30;1.101667;
2008-05-31;1.212997;
2008-06-30;1.606806;
2008-07-31;1.761559;
2008-08-31;1.607661;
2008-09-30;1.636806;
2008-10-31;1.968011;
2008-11-30;1.587675;
2008-12-31;1.692339;
2009-01-31;1.436559;
2009-02-28;1.294494;
2009-03-31;1.206837;
2009-04-30;1.121944;
2009-05-31;1.198387;
2009-06-30;1.301111;
2009-07-31;1.427823;
2009-08-31;1.628226;
2009-09-30;1.241389;
2009-10-31;1.338506;
2009-11-30;1.457917;
2009-12-31;1.26129;
2010-01-31;1.199866;
2010-02-28;1.088691;
2010-03-31;1.106399;
2010-04-30;null;
2010-05-31;.929167;
2010-06-30;.999861;
2010-07-31;1.345833;
2010-08-31;1.209541;
2010-09-30;1.334444;
2010-10-31;1.329973;
2010-11-30;1.224306;
2010-12-31;1.105376;
2011-01-31;.989785;
2011-02-28;.875893;
2011-03-31;.90937;
2011-04-30;.797361;
2011-05-31;.855645;
2011-06-30;.977639;
2011-07-31;1.169489;
2011-08-31;1.251081;
2011-09-30;1.284444;
2011-10-31;1.496774;
2011-11-30;1.160556;
2011-12-31;1.134274;
2012-01-31;1.037366;
2012-02-29;1.015086;
2012-03-31;.839113;
2012-04-30;.797639;
2012-05-31;1.054435;
2012-06-30;.996528;
2012-07-31;1.191129;
2012-08-31;1.4226;
2012-09-30;1.369722;
2012-10-31;1.57043;
2012-11-30;1.198472;
2012-12-31;1.127016;
2013-01-31;1.260349;
2013-02-28;1.083631;
2013-03-31;1.092306;
2013-04-30;.957083;
2013-05-31;.953091;
2013-06-30;1.188308;
2013-07-31;1.34086;
2013-08-31;1.442607;
2013-09-30;1.578333;
2013-10-31;1.630511;
2013-11-30;1.342917;
2013-12-31;1.407527;
2014-01-31;1.149731;
2014-02-28;1.141518;
2014-03-31;.961828;
2014-04-30;1.027639;
2014-05-31;.964919;
2014-06-30;1.127917;
2014-07-31;1.403898;
2014-08-31;1.372178;
2014-09-30;1.447639;
2014-10-31;1.415323;
2014-11-30;1.1425;
2014-12-31;1.289382;
2015-01-31;1.120074;
2015-02-28;1.204762;
2015-03-31;1.03716;
2015-04-30;.989722;
2015-05-31;1.033602;
2015-06-30;1.178056;
2015-07-31;1.243548;
2015-08-31;1.293414;
2015-09-30;1.113611;
2015-10-31;1.266801;
2015-11-30;1.249583;
2015-12-31;1.25914;
2016-01-31;null;
2016-02-29;1.037644;
2016-03-31;.928226;
2016-04-30;.935972;
2016-05-31;.928763;
2016-06-30;1.142639;
2016-07-31;1.235081;
2016-08-31;1.264113;
2016-09-30;1.3225;
2016-10-31;1.541252;
2016-11-30;1.343472;
2016-12-31;1.337903;
2017-01-31;1.168548;
2017-02-28;1.196429;
2017-03-31;1.021505;
2017-04-30;.933889;
2017-05-31;null;
2017-06-30;1.108056;
2017-07-31;1.362634;
2017-08-31;1.230242;
2017-09-30;1.548333;
2017-10-31;1.538978;
2017-11-30;1.284306;
2017-12-31;1.205645;
2018-01-31;1.104032;
2018-02-28;.976786;
2018-03-31;.977688;
2018-04-30;.946944;
2018-05-31;1.027688;
2018-06-30;1.073889;
2018-07-31;1.041667;
2018-08-31;1.134812;
2018-09-30;1.177917;
2018-10-31;null;
2018-11-30;1.120417;
2018-12-31;.96707;
2019-01-31;.827957;
2019-02-28;.882441;
2019-03-31;.861559;
2019-04-30;.717361;
2019-05-31;.815457;
2019-06-30;1.132222;
2019-07-31;1.097446;
2019-08-31;1.19086;
2019-09-30;1.049185;
2019-10-31;1.062769;
2019-11-30;.974028;
2019-12-31;1.092204;
2020-01-31;1.116801;
2020-02-29;.905603;
2020-03-31;.733631;
2020-04-30;.671139;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;1.1805;
2021-10-31;1.192607;
2021-11-30;1.120694;
2021-12-31;1.211693;
2022-01-31;1.066667;
2022-02-28;.825595;
2022-03-31;.790591;
2022-04-30;.776806;
2022-05-31;.910887;
2022-06-30;.954861;
2022-07-31;1.14543;
2022-08-31;1.292608;
2022-09-30;1.165417;
2022-10-31;1.196296;
2022-11-30;1.459583;
2022-12-31;1.186559;

