Nome: PEDRO AFONSO
Codigo Estacao: A020
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.71
Situacao: Operante
Data Inicial: 2007-01-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-01-31;null;
2007-02-28;.952976;
2007-03-31;.802465;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;.988056;
2007-10-31;1.238038;
2007-11-30;.887;
2007-12-31;.999731;
2008-01-31;.834005;
2008-02-29;.928333;
2008-03-31;.782642;
2008-04-30;.733333;
2008-05-31;.682784;
2008-06-30;.861389;
2008-07-31;.931452;
2008-08-31;.886962;
2008-09-30;1.055972;
2008-10-31;.931048;
2008-11-30;.928889;
2008-12-31;.806989;
2009-01-31;.87621;
2009-02-28;.736665;
2009-03-31;.73629;
2009-04-30;.699028;
2009-05-31;.577554;
2009-06-30;.67375;
2009-07-31;.685215;
2009-08-31;.790323;
2009-09-30;.893611;
2009-10-31;.909339;
2009-11-30;.781806;
2009-12-31;.837231;
2010-01-31;.781778;
2010-02-28;.827827;
2010-03-31;.790054;
2010-04-30;.695972;
2010-05-31;.697715;
2010-06-30;.840157;
2010-07-31;.953592;
2010-08-31;.947043;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;.967742;
2011-01-31;.869086;
2011-02-28;.910863;
2011-03-31;.866899;
2011-04-30;.759167;
2011-05-31;.748192;
2011-06-30;.788822;
2011-07-31;.924866;
2011-08-31;.825;
2011-09-30;.901806;
2011-10-31;1.06327;
2011-11-30;.943194;
2011-12-31;.917473;
2012-01-31;.850853;
2012-02-29;.879741;
2012-03-31;.747429;
2012-04-30;.7225;
2012-05-31;.796909;
2012-06-30;.839861;
2012-07-31;.994086;
2012-08-31;1.240323;
2012-09-30;1.095556;
2012-10-31;1.172849;
2012-11-30;1.1305;
2012-12-31;.900287;
2013-01-31;.926344;
2013-02-28;.869792;
2013-03-31;.862611;
2013-04-30;.81375;
2013-05-31;.765323;
2013-06-30;.782715;
2013-07-31;.98459;
2013-08-31;1.042894;
2013-09-30;null;
2013-10-31;1.117876;
2013-11-30;1.06875;
2013-12-31;.948253;
2014-01-31;.762634;
2014-02-28;.629315;
2014-03-31;.560753;
2014-04-30;.717693;
2014-05-31;.594086;
2014-06-30;.8075;
2014-07-31;.856452;
2014-08-31;.917204;
2014-09-30;.989167;
2014-10-31;.9875;
2014-11-30;.882639;
2014-12-31;.661559;
2015-01-31;.389651;
2015-02-28;null;
2015-03-31;.482391;
2015-04-30;.461389;
2015-05-31;.699866;
2015-06-30;.739861;
2015-07-31;.758871;
2015-08-31;.822581;
2015-09-30;.841528;
2015-10-31;.664919;
2015-11-30;.555694;
2015-12-31;.389382;
2016-01-31;.672043;
2016-02-29;.566667;
2016-03-31;.267204;
2016-04-30;.241667;
2016-05-31;.25578;
2016-06-30;null;
2016-07-31;null;
2016-08-31;.653116;
2016-09-30;null;
2016-10-31;.641515;
2016-11-30;.412639;
2016-12-31;.335484;
2017-01-31;.225806;
2017-02-28;.331845;
2017-03-31;.275672;
2017-04-30;.367361;
2017-05-31;.518548;
2017-06-30;.769861;
2017-07-31;1.124597;
2017-08-31;.76922;
2017-09-30;.984861;
2017-10-31;.922581;
2017-11-30;.840278;
2017-12-31;.66828;
2018-01-31;.453495;
2018-02-28;.375595;
2018-03-31;.406317;
2018-04-30;.396111;
2018-05-31;.449328;
2018-06-30;.555556;
2018-07-31;.579032;
2018-08-31;.720296;
2018-09-30;.722778;
2018-10-31;.452957;
2018-11-30;.422639;
2018-12-31;.318414;
2019-01-31;null;
2019-02-28;null;
2019-03-31;.830914;
2019-04-30;.7525;
2019-05-31;.626075;
2019-06-30;.891806;
2019-07-31;.898925;
2019-08-31;.972984;
2019-09-30;.94375;
2019-10-31;.871371;
2019-11-30;.835694;
2019-12-31;.857393;
2020-01-31;.767204;
2020-02-29;.895115;
2020-03-31;.840995;
2020-04-30;.860278;
2020-05-31;.788172;
2020-06-30;.989306;
2020-07-31;1.024597;
2020-08-31;.985081;
2020-09-30;1.031667;
2020-10-31;.983065;
2020-11-30;.803611;
2020-12-31;.599866;
2021-01-31;.649194;
2021-02-28;.678869;
2021-03-31;.125672;
2021-04-30;.221528;
2021-05-31;.177823;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

