Nome: ARAGUAINA
Codigo Estacao: A021
Latitude: -7.10388888
Longitude: -48.20111111
Altitude: 230.76
Situacao: Operante
Data Inicial: 2007-01-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-01-31;null;
2007-02-28;1.043155;
2007-03-31;.814949;
2007-04-30;.840556;
2007-05-31;.800114;
2007-06-30;1.100827;
2007-07-31;1.031557;
2007-08-31;1.431709;
2007-09-30;1.386389;
2007-10-31;.882591;
2007-11-30;.899628;
2007-12-31;.907737;
2008-01-31;.91546;
2008-02-29;.794626;
2008-03-31;.800463;
2008-04-30;.792917;
2008-05-31;.882696;
2008-06-30;1.053889;
2008-07-31;1.186425;
2008-08-31;1.084005;
2008-09-30;1.155139;
2008-10-31;.971336;
2008-11-30;null;
2008-12-31;null;
2009-01-31;.930195;
2009-02-28;.951461;
2009-03-31;.828495;
2009-04-30;.771528;
2009-05-31;.797849;
2009-06-30;.983611;
2009-07-31;1.026747;
2009-08-31;1.064382;
2009-09-30;.945;
2009-10-31;.822845;
2009-11-30;.846111;
2009-12-31;.878091;
2010-01-31;.740852;
2010-02-28;.804167;
2010-03-31;.689919;
2010-04-30;.817361;
2010-05-31;.705242;
2010-06-30;1.012083;
2010-07-31;1.195161;
2010-08-31;1.198714;
2010-09-30;1.260972;
2010-10-31;1.028764;
2010-11-30;.764167;
2010-12-31;.776344;
2011-01-31;.810618;
2011-02-28;.807292;
2011-03-31;.723939;
2011-04-30;.721806;
2011-05-31;.858065;
2011-06-30;.876389;
2011-07-31;1.115995;
2011-08-31;1.061425;
2011-09-30;1.202639;
2011-10-31;.980511;
2011-11-30;.800379;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;.643056;
2012-05-31;.744892;
2012-06-30;.815694;
2012-07-31;1.052419;
2012-08-31;1.407834;
2012-09-30;1.007639;
2012-10-31;.839516;
2012-11-30;.715;
2012-12-31;.731424;
2013-01-31;.892206;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;.974771;
2013-11-30;.843056;
2013-12-31;.660618;
2014-01-31;.650806;
2014-02-28;.608631;
2014-03-31;.566936;
2014-04-30;.604028;
2014-05-31;.564785;
2014-06-30;.781341;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;.824306;
2016-01-31;.781721;
2016-02-29;.884914;
2016-03-31;.787097;
2016-04-30;.694306;
2016-05-31;.599328;
2016-06-30;.803611;
2016-07-31;.918683;
2016-08-31;.920161;
2016-09-30;.950833;
2016-10-31;.753191;
2016-11-30;.635972;
2016-12-31;.637903;
2017-01-31;.585618;
2017-02-28;.564583;
2017-03-31;.477957;
2017-04-30;.413611;
2017-05-31;.638172;
2017-06-30;.756111;
2017-07-31;1.087634;
2017-08-31;.667876;
2017-09-30;.993391;
2017-10-31;.785349;
2017-11-30;.485252;
2017-12-31;.420972;
2018-01-31;.264382;
2018-02-28;.310565;
2018-03-31;.297984;
2018-04-30;.185;
2018-05-31;.479167;
2018-06-30;.323333;
2018-07-31;.733737;
2018-08-31;.123522;
2018-09-30;.088472;
2018-10-31;.081586;
2018-11-30;.1275;
2018-12-31;.116263;
2019-01-31;.231317;
2019-02-28;.247024;
2019-03-31;.252957;
2019-04-30;.163611;
2019-05-31;.046237;
2019-06-30;.588195;
2019-07-31;.593145;
2019-08-31;.777016;
2019-09-30;.144861;
2019-10-31;.092473;
2019-11-30;.089722;
2019-12-31;.202554;
2020-01-31;.44207;
2020-02-29;.419074;
2020-03-31;.39328;
2020-04-30;.387023;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;.376473;
2022-05-31;.109914;
2022-06-30;.136606;
2022-07-31;.125449;
2022-08-31;.297984;
2022-09-30;.368555;
2022-10-31;.204276;
2022-11-30;.215865;
2022-12-31;.057645;

