Nome: ALTO PARAISO DE GOIAS
Codigo Estacao: A024
Latitude: -14.13305554
Longitude: -47.52333332
Altitude: 1264.7
Situacao: Operante
Data Inicial: 2007-06-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;2.537567;
2007-07-31;2.50353;
2007-08-31;3.540638;
2007-09-30;3.203333;
2007-10-31;2.528728;
2007-11-30;2.055;
2007-12-31;2.167473;
2008-01-31;2.026344;
2008-02-29;1.970862;
2008-03-31;1.957642;
2008-04-30;1.926111;
2008-05-31;2.072873;
2008-06-30;2.149028;
2008-07-31;2.690323;
2008-08-31;2.432661;
2008-09-30;2.303611;
2008-10-31;2.571102;
2008-11-30;1.828056;
2008-12-31;2.249269;
2009-01-31;1.986788;
2009-02-28;null;
2009-03-31;null;
2009-04-30;1.944583;
2009-05-31;2.338306;
2009-06-30;2.120417;
2009-07-31;1.890726;
2009-08-31;2.406855;
2009-09-30;2.049444;
2009-10-31;1.782328;
2009-11-30;1.777639;
2009-12-31;1.976344;
2010-01-31;1.564284;
2010-02-28;1.90997;
2010-03-31;1.844355;
2010-04-30;1.763611;
2010-05-31;1.264516;
2010-06-30;1.773333;
2010-07-31;2.867339;
2010-08-31;2.855552;
2010-09-30;3.146806;
2010-10-31;2.014247;
2010-11-30;1.859167;
2010-12-31;1.913844;
2011-01-31;2.065323;
2011-02-28;1.542262;
2011-03-31;1.710855;
2011-04-30;2.160278;
2011-05-31;2.291667;
2011-06-30;2.074921;
2011-07-31;2.76828;
2011-08-31;2.454704;
2011-09-30;2.868333;
2011-10-31;2.281989;
2011-11-30;2.203611;
2011-12-31;1.98078;
2012-01-31;1.960215;
2012-02-29;2.051724;
2012-03-31;1.699275;
2012-04-30;1.797361;
2012-05-31;2.295968;
2012-06-30;2.057935;
2012-07-31;2.410618;
2012-08-31;3.41876;
2012-09-30;2.412222;
2012-10-31;2.163978;
2012-11-30;1.969167;
2012-12-31;1.859677;
2013-01-31;1.956586;
2013-02-28;1.923065;
2013-03-31;1.71175;
2013-04-30;1.935139;
2013-05-31;2.127554;
2013-06-30;2.251061;
2013-07-31;2.21922;
2013-08-31;2.320161;
2013-09-30;2.678472;
2013-10-31;2.085887;
2013-11-30;1.911667;
2013-12-31;2.106721;
2014-01-31;2.022446;
2014-02-28;2.06875;
2014-03-31;1.727823;
2014-04-30;1.669028;
2014-05-31;1.844086;
2014-06-30;2.223889;
2014-07-31;2.398118;
2014-08-31;2.323925;
2014-09-30;2.606806;
2014-10-31;2.786767;
2014-11-30;2.015093;
2014-12-31;1.970985;
2015-01-31;null;
2015-02-28;null;
2015-03-31;1.532583;
2015-04-30;1.702917;
2015-05-31;2.175941;
2015-06-30;2.466389;
2015-07-31;2.354435;
2015-08-31;2.477823;
2015-09-30;2.157917;
2015-10-31;2.275806;
2015-11-30;1.914167;
2015-12-31;1.809409;
2016-01-31;2.322581;
2016-02-29;1.778592;
2016-03-31;1.751747;
2016-04-30;1.896111;
2016-05-31;1.822849;
2016-06-30;2.25875;
2016-07-31;2.511156;
2016-08-31;2.22164;
2016-09-30;2.380556;
2016-10-31;2.340726;
2016-11-30;2.162778;
2016-12-31;2.1875;
2017-01-31;1.644489;
2017-02-28;1.801339;
2017-03-31;1.518279;
2017-04-30;1.87875;
2017-05-31;1.966667;
2017-06-30;2.469053;
2017-07-31;3.732206;
2017-08-31;2.496657;
2017-09-30;3.295513;
2017-10-31;2.676882;
2017-11-30;2.024952;
2017-12-31;1.928226;
2018-01-31;1.708503;
2018-02-28;1.884485;
2018-03-31;1.799462;
2018-04-30;2.386389;
2018-05-31;2.410618;
2018-06-30;1.978182;
2018-07-31;2.065995;
2018-08-31;2.166667;
2018-09-30;2.080882;
2018-10-31;1.76136;
2018-11-30;1.685556;
2018-12-31;1.867894;
2019-01-31;1.550538;
2019-02-28;null;
2019-03-31;1.351081;
2019-04-30;1.085538;
2019-05-31;1.181136;
2019-06-30;2.165314;
2019-07-31;2.275684;
2019-08-31;2.434824;
2019-09-30;2.407778;
2019-10-31;1.744939;
2019-11-30;1.479239;
2019-12-31;1.677273;
2020-01-31;2.22524;
2020-02-29;1.3616;
2020-03-31;1.692876;
2020-04-30;1.791806;
2020-05-31;1.955511;
2020-06-30;2.524366;
2020-07-31;2.278465;
2020-08-31;2.638172;
2020-09-30;2.270368;
2020-10-31;2.081586;
2020-11-30;2.129722;
2020-12-31;1.37043;
2021-01-31;1.647715;
2021-02-28;1.387202;
2021-03-31;1.483736;
2021-04-30;1.704722;
2021-05-31;1.737439;
2021-06-30;1.885767;
2021-07-31;1.910133;
2021-08-31;2.53265;
2021-09-30;2.026874;
2021-10-31;1.846186;
2021-11-30;1.71229;
2021-12-31;1.570699;
2022-01-31;1.887695;
2022-02-28;1.440774;
2022-03-31;1.742467;
2022-04-30;1.819112;
2022-05-31;1.749194;
2022-06-30;1.800018;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;1.829435;
2022-11-30;1.50871;
2022-12-31;null;

