Nome: MINEIROS
Codigo Estacao: A026
Latitude: -17.45472222
Longitude: -52.60111111
Altitude: 862
Situacao: Operante
Data Inicial: 2007-11-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;1.594355;
2008-01-31;1.690457;
2008-02-29;1.294195;
2008-03-31;1.081206;
2008-04-30;1.095694;
2008-05-31;.979147;
2008-06-30;.951667;
2008-07-31;1.073335;
2008-08-31;1.297177;
2008-09-30;1.414722;
2008-10-31;1.586694;
2008-11-30;1.338485;
2008-12-31;1.724731;
2009-01-31;1.500187;
2009-02-28;1.305438;
2009-03-31;1.154839;
2009-04-30;.894305;
2009-05-31;.907598;
2009-06-30;1.107639;
2009-07-31;1.172715;
2009-08-31;1.464785;
2009-09-30;1.668526;
2009-10-31;1.535051;
2009-11-30;1.685694;
2009-12-31;1.648925;
2010-01-31;1.828927;
2010-02-28;null;
2010-03-31;1.3125;
2010-04-30;1.108472;
2010-05-31;.997043;
2010-06-30;.831389;
2010-07-31;1.236828;
2010-08-31;1.221757;
2010-09-30;1.367639;
2010-10-31;1.43414;
2010-11-30;1.330833;
2010-12-31;1.201344;
2011-01-31;1.048656;
2011-02-28;1.223363;
2011-03-31;1.490701;
2011-04-30;1.088611;
2011-05-31;.90336;
2011-06-30;1.159167;
2011-07-31;1.301747;
2011-08-31;1.545565;
2011-09-30;1.628611;
2011-10-31;1.702016;
2011-11-30;1.583889;
2011-12-31;1.347743;
2012-01-31;null;
2012-02-29;null;
2012-03-31;.950403;
2012-04-30;.730609;
2012-05-31;null;
2012-06-30;.775278;
2012-07-31;.824597;
2012-08-31;1.128667;
2012-09-30;1.202639;
2012-10-31;1.159409;
2012-11-30;.993195;
2012-12-31;1.044624;
2013-01-31;1.137231;
2013-02-28;1.054316;
2013-03-31;.923417;
2013-04-30;.710833;
2013-05-31;.733333;
2013-06-30;.708409;
2013-07-31;1.000269;
2013-08-31;1.178091;
2013-09-30;1.487083;
2013-10-31;1.147446;
2013-11-30;.967222;
2013-12-31;1.128629;
2014-01-31;.748387;
2014-02-28;.69628;
2014-03-31;.428763;
2014-04-30;.096806;
2014-05-31;.513575;
2014-06-30;.753889;
2014-07-31;.693952;
2014-08-31;.877823;
2014-09-30;.927778;
2014-10-31;.704839;
2014-11-30;.610556;
2014-12-31;.670968;
2015-01-31;.49505;
2015-02-28;.62619;
2015-03-31;.468188;
2015-04-30;.26625;
2015-05-31;.233602;
2015-06-30;.201667;
2015-07-31;.378898;
2015-08-31;.440323;
2015-09-30;.858889;
2015-10-31;1.471693;
2015-11-30;1.467361;
2015-12-31;1.394892;
2016-01-31;1.805376;
2016-02-29;1.304598;
2016-03-31;1.216801;
2016-04-30;1.017778;
2016-05-31;.961667;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;1.504306;
2016-10-31;1.397142;
2016-11-30;1.221806;
2016-12-31;1.26707;
2017-01-31;1.156586;
2017-02-28;1.257292;
2017-03-31;.960215;
2017-04-30;.875278;
2017-05-31;.722984;
2017-06-30;.993472;
2017-07-31;1.135215;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;1.772939;
2018-06-30;1.789433;
2018-07-31;1.64543;
2018-08-31;2.106048;
2018-09-30;2.20049;
2018-10-31;2.059756;
2018-11-30;2.322681;
2018-12-31;1.953785;
2019-01-31;1.902484;
2019-02-28;2.071869;
2019-03-31;2.072242;
2019-04-30;1.451262;
2019-05-31;1.506586;
2019-06-30;2.068056;
2019-07-31;2.080511;
2019-08-31;2.671469;
2019-09-30;2.601111;
2019-10-31;2.199708;
2019-11-30;2.267829;
2019-12-31;2.059031;
2020-01-31;2.144373;
2020-02-29;2.062606;
2020-03-31;2.056796;
2020-04-30;1.923056;
2020-05-31;1.889919;
2020-06-30;2.288056;
2020-07-31;2.273253;
2020-08-31;2.849118;
2020-09-30;2.609306;
2020-10-31;2.481231;
2020-11-30;2.560955;
2020-12-31;2.217314;
2021-01-31;2.065338;
2021-02-28;1.846784;
2021-03-31;2.169029;
2021-04-30;1.783515;
2021-05-31;1.799866;
2021-06-30;1.875083;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;2.237703;
2021-12-31;2.063175;
2022-01-31;2.279786;
2022-02-28;1.981577;
2022-03-31;1.973491;
2022-04-30;1.813714;
2022-05-31;1.673253;
2022-06-30;1.843382;
2022-07-31;2.214943;
2022-08-31;2.315029;
2022-09-30;2.478854;
2022-10-31;2.229635;
2022-11-30;2.321091;
2022-12-31;2.13292;

