Nome: PARAUNA
Codigo Estacao: A027
Latitude: -16.9625
Longitude: -50.42555554
Altitude: 678.74
Situacao: Operante
Data Inicial: 2008-03-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;1.405417;
2008-05-31;1.37292;
2008-06-30;1.387917;
2008-07-31;1.640188;
2008-08-31;1.810753;
2008-09-30;1.893056;
2008-10-31;1.976478;
2008-11-30;1.60375;
2008-12-31;1.940188;
2009-01-31;1.513815;
2009-02-28;1.49141;
2009-03-31;1.342608;
2009-04-30;1.033056;
2009-05-31;1.226747;
2009-06-30;1.15;
2009-07-31;1.40336;
2009-08-31;1.754973;
2009-09-30;1.467083;
2009-10-31;1.339368;
2009-11-30;1.397222;
2009-12-31;1.566398;
2010-01-31;1.534335;
2010-02-28;1.355208;
2010-03-31;1.392117;
2010-04-30;1.119861;
2010-05-31;1.147984;
2010-06-30;1.130833;
2010-07-31;1.275403;
2010-08-31;1.271026;
2010-09-30;1.519028;
2010-10-31;1.527688;
2010-11-30;1.269583;
2010-12-31;1.127151;
2011-01-31;1.289382;
2011-02-28;1.082129;
2011-03-31;1.099328;
2011-04-30;1.211806;
2011-05-31;1.080633;
2011-06-30;1.279861;
2011-07-31;1.369355;
2011-08-31;1.585753;
2011-09-30;1.706944;
2011-10-31;1.571444;
2011-11-30;null;
2011-12-31;1.489054;
2012-01-31;1.698629;
2012-02-29;null;
2012-03-31;1.096359;
2012-04-30;.977083;
2012-05-31;1.034251;
2012-06-30;1.196727;
2012-07-31;1.252846;
2012-08-31;1.51469;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;1.223387;
2013-01-31;1.771102;
2013-02-28;1.070536;
2013-03-31;1.225528;
2013-04-30;.929137;
2013-05-31;1.154973;
2013-06-30;1.058595;
2013-07-31;1.339353;
2013-08-31;1.423919;
2013-09-30;1.695972;
2013-10-31;1.380417;
2013-11-30;1.296805;
2013-12-31;1.607093;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;.623471;
2014-06-30;.757506;
2014-07-31;.852016;
2014-08-31;.890603;
2014-09-30;.922802;
2014-10-31;1.007796;
2014-11-30;.855139;
2014-12-31;.964247;
2015-01-31;.831721;
2015-02-28;1.017611;
2015-03-31;.679089;
2015-04-30;.371806;
2015-05-31;.508409;
2015-06-30;.600888;
2015-07-31;.64141;
2015-08-31;.793746;
2015-09-30;null;
2015-10-31;1.029006;
2015-11-30;.966048;
2015-12-31;.856545;
2016-01-31;1.350505;
2016-02-29;.822932;
2016-03-31;.809134;
2016-04-30;.816787;
2016-05-31;.571617;
2016-06-30;.61;
2016-07-31;.760484;
2016-08-31;.832258;
2016-09-30;.832083;
2016-10-31;.921237;
2016-11-30;.905694;
2016-12-31;.968683;
2017-01-31;.861828;
2017-02-28;.903274;
2017-03-31;.664516;
2017-04-30;.66;
2017-05-31;.543548;
2017-06-30;.772361;
2017-07-31;1.077285;
2017-08-31;null;
2017-09-30;null;
2017-10-31;.955376;
2017-11-30;.659722;
2017-12-31;.956317;
2018-01-31;.694086;
2018-02-28;.516259;
2018-03-31;.718508;
2018-04-30;.7075;
2018-05-31;.920161;
2018-06-30;.999444;
2018-07-31;1.031183;
2018-08-31;1.033468;
2018-09-30;1.168333;
2018-10-31;1.068817;
2018-11-30;1.291389;
2018-12-31;1.273644;
2019-01-31;1.143414;
2019-02-28;1.255357;
2019-03-31;1.033468;
2019-04-30;.867917;
2019-05-31;.759543;
2019-06-30;1.069191;
2019-07-31;1.157258;
2019-08-31;1.318011;
2019-09-30;1.407639;
2019-10-31;1.292204;
2019-11-30;1.271528;
2019-12-31;1.092204;
2020-01-31;1.460618;
2020-02-29;1.238649;
2020-03-31;.93542;
2020-04-30;.818194;
2020-05-31;.924597;
2020-06-30;1.092222;
2020-07-31;1.091264;
2020-08-31;1.471102;
2020-09-30;1.291944;
2020-10-31;1.302957;
2020-11-30;1.196806;
2020-12-31;1.18293;
2021-01-31;1.021236;
2021-02-28;.968304;
2021-03-31;.931183;
2021-04-30;.867222;
2021-05-31;.867339;
2021-06-30;.934722;
2021-07-31;.946909;
2021-08-31;.993011;
2021-09-30;1.05875;
2021-10-31;1.270161;
2021-11-30;1.168195;
2021-12-31;1.232124;
2022-01-31;1.458199;
2022-02-28;1.086756;
2022-03-31;.900941;
2022-04-30;.78;
2022-05-31;.638482;
2022-06-30;.716806;
2022-07-31;.822177;
2022-08-31;1.202016;
2022-09-30;1.163633;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

