Nome: PIRES DO RIO
Codigo Estacao: A033
Latitude: -17.30416666
Longitude: -48.28416666
Altitude: 757.27
Situacao: Operante
Data Inicial: 2007-10-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;null;
2007-11-30;1.432167;
2007-12-31;1.502168;
2008-01-31;1.441129;
2008-02-29;1.151695;
2008-03-31;1.214734;
2008-04-30;1.025833;
2008-05-31;.953927;
2008-06-30;.97375;
2008-07-31;1.154839;
2008-08-31;1.409946;
2008-09-30;1.501805;
2008-10-31;1.574597;
2008-11-30;1.471111;
2008-12-31;1.455511;
2009-01-31;1.326227;
2009-02-28;1.326346;
2009-03-31;1.085753;
2009-04-30;1.073194;
2009-05-31;1.066129;
2009-06-30;1.066389;
2009-07-31;1.213172;
2009-08-31;1.665726;
2009-09-30;1.301944;
2009-10-31;1.227155;
2009-11-30;1.450556;
2009-12-31;1.563575;
2010-01-31;1.056048;
2010-02-28;1.111012;
2010-03-31;.985887;
2010-04-30;.808472;
2010-05-31;.705511;
2010-06-30;.884444;
2010-07-31;1.301613;
2010-08-31;1.158737;
2010-09-30;1.546528;
2010-10-31;1.062769;
2010-11-30;1.022778;
2010-12-31;.968683;
2011-01-31;1.041667;
2011-02-28;.821429;
2011-03-31;.831216;
2011-04-30;.925417;
2011-05-31;.706183;
2011-06-30;.822887;
2011-07-31;1.017473;
2011-08-31;1.360753;
2011-09-30;1.425278;
2011-10-31;1.403232;
2011-11-30;1.422639;
2011-12-31;.963651;
2012-01-31;1.043145;
2012-02-29;.985201;
2012-03-31;.909455;
2012-04-30;.87875;
2012-05-31;.930487;
2012-06-30;.845833;
2012-07-31;.966263;
2012-08-31;1.506288;
2012-09-30;null;
2012-10-31;null;
2012-11-30;1.594761;
2012-12-31;1.246102;
2013-01-31;1.398253;
2013-02-28;1.169494;
2013-03-31;1.337861;
2013-04-30;1.143472;
2013-05-31;1.0804;
2013-06-30;1.013032;
2013-07-31;1.21655;
2013-08-31;1.46035;
2013-09-30;1.667917;
2013-10-31;1.585484;
2013-11-30;1.43875;
2013-12-31;1.487097;
2014-01-31;1.238038;
2014-02-28;1.257292;
2014-03-31;.962769;
2014-04-30;.795139;
2014-05-31;.727151;
2014-06-30;.851667;
2014-07-31;1.048925;
2014-08-31;1.078956;
2014-09-30;1.474306;
2014-10-31;1.488038;
2014-11-30;1.209722;
2014-12-31;1.102957;
2015-01-31;.956586;
2015-02-28;1.137798;
2015-03-31;.884041;
2015-04-30;.725694;
2015-05-31;.893683;
2015-06-30;.896528;
2015-07-31;.968817;
2015-08-31;1.168683;
2015-09-30;1.047083;
2015-10-31;1.202957;
2015-11-30;1.112778;
2015-12-31;.977688;
2016-01-31;1.049328;
2016-02-29;.930603;
2016-03-31;.929167;
2016-04-30;.906667;
2016-05-31;.619355;
2016-06-30;.65375;
2016-07-31;.774059;
2016-08-31;1.000538;
2016-09-30;.98875;
2016-10-31;1.265188;
2016-11-30;1.055755;
2016-12-31;1.079301;
2017-01-31;.651478;
2017-02-28;1.039286;
2017-03-31;.593414;
2017-04-30;.709167;
2017-05-31;null;
2017-06-30;null;
2017-07-31;.750134;
2017-08-31;1.065054;
2017-09-30;1.580791;
2017-10-31;1.024488;
2017-11-30;null;
2017-12-31;.917608;
2018-01-31;.820564;
2018-02-28;.620089;
2018-03-31;.715457;
2018-04-30;.60625;
2018-05-31;.573925;
2018-06-30;.590411;
2018-07-31;.845296;
2018-08-31;.725672;
2018-09-30;.592917;
2018-10-31;.417403;
2018-11-30;.834444;
2018-12-31;1.07285;
2019-01-31;.560484;
2019-02-28;.520238;
2019-03-31;.611693;
2019-04-30;.275;
2019-05-31;.118011;
2019-06-30;.334583;
2019-07-31;.590995;
2019-08-31;.486694;
2019-09-30;.558798;
2019-10-31;.314738;
2019-11-30;.303889;
2019-12-31;.246505;
2020-01-31;.112634;
2020-02-29;.117098;
2020-03-31;.052994;
2020-04-30;.055462;
2020-05-31;null;
2020-06-30;.071389;
2020-07-31;.12621;
2020-08-31;.198387;
2020-09-30;.342458;
2020-10-31;.317608;
2020-11-30;.075139;
2020-12-31;.04785;
2021-01-31;.06129;
2021-02-28;.051637;
2021-03-31;.1;
2021-04-30;.084445;
2021-05-31;.05914;
2021-06-30;.090972;
2021-07-31;.123387;
2021-08-31;.175806;
2021-09-30;.211111;
2021-10-31;.241667;
2021-11-30;.29125;
2021-12-31;.07043;
2022-01-31;.074328;
2022-02-28;.027976;
2022-03-31;.062366;
2022-04-30;.031944;
2022-05-31;.029704;
2022-06-30;.035972;
2022-07-31;.076882;
2022-08-31;.175485;
2022-09-30;.218333;
2022-10-31;.215018;
2022-11-30;null;
2022-12-31;null;

