Nome: CRISTALINA
Codigo Estacao: A036
Latitude: -16.78499999
Longitude: -47.61305555
Altitude: 1211.08
Situacao: Operante
Data Inicial: 2007-12-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-12-31;null;
2008-01-31;2.90914;
2008-02-29;2.364856;
2008-03-31;2.539345;
2008-04-30;2.111806;
2008-05-31;2.082796;
2008-06-30;2.217917;
2008-07-31;2.252957;
2008-08-31;2.418145;
2008-09-30;2.460417;
2008-10-31;2.777151;
2008-11-30;2.464306;
2008-12-31;2.329167;
2009-01-31;2.050666;
2009-02-28;2.008366;
2009-03-31;1.739919;
2009-04-30;1.867222;
2009-05-31;2.192473;
2009-06-30;1.650833;
2009-07-31;1.873925;
2009-08-31;2.525538;
2009-09-30;1.906341;
2009-10-31;1.99181;
2009-11-30;2.150556;
2009-12-31;2.790188;
2010-01-31;2.326536;
2010-02-28;2.583482;
2010-03-31;2.618011;
2010-04-30;2.507778;
2010-05-31;2.044624;
2010-06-30;2.377083;
2010-07-31;3.236962;
2010-08-31;2.882124;
2010-09-30;3.450833;
2010-10-31;2.528167;
2010-11-30;2.557639;
2010-12-31;2.602554;
2011-01-31;2.784005;
2011-02-28;2.339286;
2011-03-31;2.637384;
2011-04-30;2.618472;
2011-05-31;2.130295;
2011-06-30;2.355417;
2011-07-31;2.824194;
2011-08-31;2.802957;
2011-09-30;3.290972;
2011-10-31;3.069197;
2011-11-30;3.227083;
2011-12-31;2.718414;
2012-01-31;2.64328;
2012-02-29;2.710058;
2012-03-31;2.237097;
2012-04-30;2.276528;
2012-05-31;2.566129;
2012-06-30;2.219897;
2012-07-31;2.482124;
2012-08-31;3.294604;
2012-09-30;2.786528;
2012-10-31;2.766935;
2012-11-30;2.664167;
2012-12-31;2.294086;
2013-01-31;2.470833;
2013-02-28;2.397321;
2013-03-31;2.439861;
2013-04-30;2.282222;
2013-05-31;2.341264;
2013-06-30;2.425707;
2013-07-31;2.57337;
2013-08-31;2.966398;
2013-09-30;3.315972;
2013-10-31;2.84086;
2013-11-30;2.729306;
2013-12-31;2.786425;
2014-01-31;2.656855;
2014-02-28;2.88631;
2014-03-31;2.712097;
2014-04-30;2.281616;
2014-05-31;2.256989;
2014-06-30;2.580694;
2014-07-31;2.864382;
2014-08-31;2.664247;
2014-09-30;3.377917;
2014-10-31;3.306452;
2014-11-30;2.840694;
2014-12-31;2.998387;
2015-01-31;2.408731;
2015-02-28;2.951042;
2015-03-31;2.000269;
2015-04-30;1.901667;
2015-05-31;2.618011;
2015-06-30;2.556806;
2015-07-31;2.629032;
2015-08-31;2.744489;
2015-09-30;2.645139;
2015-10-31;2.849193;
2015-11-30;2.563472;
2015-12-31;2.382971;
2016-01-31;2.97836;
2016-02-29;2.106465;
2016-03-31;2.162769;
2016-04-30;2.061528;
2016-05-31;1.884274;
2016-06-30;2.290139;
2016-07-31;2.449059;
2016-08-31;2.623656;
2016-09-30;2.841944;
2016-10-31;2.922446;
2016-11-30;2.802639;
2016-12-31;2.878226;
2017-01-31;1.818817;
2017-02-28;1.991518;
2017-03-31;1.923387;
2017-04-30;1.967361;
2017-05-31;1.647177;
2017-06-30;2.092778;
2017-07-31;3.152554;
2017-08-31;2.540995;
2017-09-30;3.252778;
2017-10-31;2.801479;
2017-11-30;2.48875;
2017-12-31;3.028187;
2018-01-31;3.668479;
2018-02-28;.838988;
2018-03-31;.095296;
2018-04-30;0;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;0;
2018-11-30;0;
2018-12-31;0;
2019-01-31;0;
2019-02-28;0;
2019-03-31;0;
2019-04-30;0;
2019-05-31;0;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;0;
2019-10-31;0;
2019-11-30;0;
2019-12-31;0;
2020-01-31;0;
2020-02-29;0;
2020-03-31;0;
2020-04-30;0;
2020-05-31;0;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;0;
2020-11-30;0;
2020-12-31;1.666425;
2021-01-31;2.40121;
2021-02-28;2.721248;
2021-03-31;2.487634;
2021-04-30;2.374306;
2021-05-31;2.049328;
2021-06-30;2.424306;
2021-07-31;2.360349;
2021-08-31;2.944355;
2021-09-30;2.830833;
2021-10-31;2.875134;
2021-11-30;3.06375;
2021-12-31;2.808468;
2022-01-31;2.927554;
2022-02-28;2.737054;
2022-03-31;2.622177;
2022-04-30;2.36625;
2022-05-31;2.489954;
2022-06-30;2.222921;
2022-07-31;2.743647;
2022-08-31;2.972715;
2022-09-30;3.084167;
2022-10-31;2.899059;
2022-11-30;2.883333;
2022-12-31;3.137634;

