Nome: SILVANIA
Codigo Estacao: A037
Latitude: -16.67972221
Longitude: -48.61805554
Altitude: 952
Situacao: Operante
Data Inicial: 2010-10-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-10-31;null;
2010-11-30;1.465694;
2010-12-31;1.422715;
2011-01-31;1.416936;
2011-02-28;1.215327;
2011-03-31;1.366512;
2011-04-30;1.20375;
2011-05-31;1.090457;
2011-06-30;1.185139;
2011-07-31;1.265323;
2011-08-31;1.442602;
2011-09-30;1.534181;
2011-10-31;1.59281;
2011-11-30;1.636189;
2011-12-31;1.375249;
2012-01-31;1.307773;
2012-02-29;1.322247;
2012-03-31;1.196091;
2012-04-30;1.149149;
2012-05-31;1.166363;
2012-06-30;1.197361;
2012-07-31;1.221647;
2012-08-31;1.564277;
2012-09-30;1.419982;
2012-10-31;1.353606;
2012-11-30;1.459559;
2012-12-31;1.275012;
2013-01-31;1.317847;
2013-02-28;1.159172;
2013-03-31;1.284806;
2013-04-30;1.139444;
2013-05-31;1.126478;
2013-06-30;1.008371;
2013-07-31;1.280108;
2013-08-31;1.396909;
2013-09-30;1.723194;
2013-10-31;1.387798;
2013-11-30;1.380744;
2013-12-31;1.447738;
2014-01-31;1.179669;
2014-02-28;null;
2014-03-31;null;
2014-04-30;1.076414;
2014-05-31;1.020564;
2014-06-30;1.100833;
2014-07-31;1.161962;
2014-08-31;1.183199;
2014-09-30;1.427911;
2014-10-31;1.436156;
2014-11-30;1.271111;
2014-12-31;1.247446;
2015-01-31;1.147785;
2015-02-28;1.219792;
2015-03-31;1.052596;
2015-04-30;1.009167;
2015-05-31;1.042608;
2015-06-30;1.069306;
2015-07-31;1.102419;
2015-08-31;1.266801;
2015-09-30;1.339167;
2015-10-31;1.252285;
2015-11-30;1.462917;
2015-12-31;1.21922;
2016-01-31;1.197715;
2016-02-29;1.096839;
2016-03-31;1.101613;
2016-04-30;1.147361;
2016-05-31;1.004839;
2016-06-30;1.202917;
2016-07-31;1.217204;
2016-08-31;1.30672;
2016-09-30;1.447361;
2016-10-31;1.406944;
2016-11-30;null;
2016-12-31;1.214516;
2017-01-31;1.095161;
2017-02-28;1.153571;
2017-03-31;1.077016;
2017-04-30;1.134028;
2017-05-31;1.010794;
2017-06-30;1.27002;
2017-07-31;1.537842;
2017-08-31;1.313172;
2017-09-30;1.507905;
2017-10-31;1.451907;
2017-11-30;1.230787;
2017-12-31;1.035903;
2018-01-31;1.002151;
2018-02-28;.943148;
2018-03-31;1.003898;
2018-04-30;1.155278;
2018-05-31;1.086559;
2018-06-30;.952778;
2018-07-31;1.085349;
2018-08-31;1.30457;
2018-09-30;1.354028;
2018-10-31;1.261156;
2018-11-30;1.074028;
2018-12-31;1.057258;
2019-01-31;1.044893;
2019-02-28;.954762;
2019-03-31;1.107796;
2019-04-30;.877917;
2019-05-31;.881726;
2019-06-30;.96622;
2019-07-31;1.140188;
2019-08-31;1.254436;
2019-09-30;1.22625;
2019-10-31;1.184274;
2019-11-30;1.119583;
2019-12-31;1.023925;
2020-01-31;.925193;
2020-02-29;.887787;
2020-03-31;.931855;
2020-04-30;.990833;
2020-05-31;.894086;
2020-06-30;.879722;
2020-07-31;1.064785;
2020-08-31;1.225;
2020-09-30;1.140278;
2020-10-31;1.074462;
2020-11-30;1.059861;
2020-12-31;.846371;
2021-01-31;.871371;
2021-02-28;.794643;
2021-03-31;.858064;
2021-04-30;.839306;
2021-05-31;.727957;
2021-06-30;.88625;
2021-07-31;1.024059;
2021-08-31;1.05336;
2021-09-30;.953611;
2021-10-31;.681855;
2021-11-30;.699306;
2021-12-31;.748253;
2022-01-31;.729839;
2022-02-28;.745982;
2022-03-31;.815323;
2022-04-30;.844306;
2022-05-31;.843952;
2022-06-30;.815417;
2022-07-31;.930645;
2022-08-31;1.136962;
2022-09-30;1.05125;
2022-10-31;1.022446;
2022-11-30;.925664;
2022-12-31;null;

