Nome: FORMOSO DO ARAGUAIA
Codigo Estacao: A039
Latitude: -11.88749999
Longitude: -49.60833333
Altitude: 215.2
Situacao: Operante
Data Inicial: 2008-04-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.688914;
2008-06-30;2.16625;
2008-07-31;2.405645;
2008-08-31;2.455914;
2008-09-30;2.062917;
2008-10-31;2.095161;
2008-11-30;1.689511;
2008-12-31;1.815102;
2009-01-31;1.68435;
2009-02-28;1.495816;
2009-03-31;1.442143;
2009-04-30;1.420314;
2009-05-31;1.680164;
2009-06-30;1.918021;
2009-07-31;2.060084;
2009-08-31;2.42681;
2009-09-30;1.911974;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;1.675941;
2010-06-30;2.096667;
2010-07-31;2.670699;
2010-08-31;2.658044;
2010-09-30;2.654583;
2010-10-31;1.718011;
2010-11-30;1.648333;
2010-12-31;1.578495;
2011-01-31;1.220968;
2011-02-28;1.377667;
2011-03-31;1.430044;
2011-04-30;1.441944;
2011-05-31;1.668683;
2011-06-30;1.69875;
2011-07-31;2.125538;
2011-08-31;2.126882;
2011-09-30;2.355278;
2011-10-31;1.899193;
2011-11-30;1.626944;
2011-12-31;1.504839;
2012-01-31;1.515323;
2012-02-29;1.527012;
2012-03-31;1.353763;
2012-04-30;1.310139;
2012-05-31;1.769624;
2012-06-30;1.838333;
2012-07-31;2.148118;
2012-08-31;2.727227;
2012-09-30;2.152083;
2012-10-31;1.813575;
2012-11-30;1.282083;
2012-12-31;1.046909;
2013-01-31;1.219355;
2013-02-28;1.359524;
2013-03-31;1.407306;
2013-04-30;1.357361;
2013-05-31;1.443414;
2013-06-30;1.66899;
2013-07-31;1.929704;
2013-08-31;2.28078;
2013-09-30;null;
2013-10-31;1.761962;
2013-11-30;1.547083;
2013-12-31;1.510618;
2014-01-31;1.199866;
2014-02-28;1.397321;
2014-03-31;null;
2014-04-30;1.453194;
2014-05-31;1.47621;
2014-06-30;1.840278;
2014-07-31;2.213038;
2014-08-31;2.263038;
2014-09-30;1.929028;
2014-10-31;1.843952;
2014-11-30;1.496111;
2014-12-31;1.6125;
2015-01-31;1.350619;
2015-02-28;1.516667;
2015-03-31;1.505079;
2015-04-30;1.304028;
2015-05-31;1.59543;
2015-06-30;1.941389;
2015-07-31;1.956989;
2015-08-31;2.252419;
2015-09-30;1.700139;
2015-10-31;1.560081;
2015-11-30;1.520909;
2015-12-31;null;
2016-01-31;null;
2016-02-29;1.495833;
2016-03-31;1.435081;
2016-04-30;1.394167;
2016-05-31;1.414382;
2016-06-30;1.818056;
2016-07-31;1.916532;
2016-08-31;1.924328;
2016-09-30;1.884444;
2016-10-31;1.773725;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;1.799444;
2017-07-31;2.285484;
2017-08-31;1.993952;
2017-09-30;2.728333;
2017-10-31;1.824328;
2017-11-30;1.510556;
2017-12-31;1.486828;
2018-01-31;1.441129;
2018-02-28;1.457738;
2018-03-31;1.400829;
2018-04-30;1.384937;
2018-05-31;1.6125;
2018-06-30;1.674795;
2018-07-31;1.896278;
2018-08-31;2.011805;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;1.502746;
2019-02-28;null;
2019-03-31;1.389919;
2019-04-30;1.277222;
2019-05-31;1.245027;
2019-06-30;1.675833;
2019-07-31;1.874194;
2019-08-31;2.069624;
2019-09-30;1.924444;
2019-10-31;1.700134;
2019-11-30;1.451528;
2019-12-31;1.510887;
2020-01-31;1.572849;
2020-02-29;1.38908;
2020-03-31;1.394086;
2020-04-30;1.328056;
2020-05-31;1.558333;
2020-06-30;1.82625;
2020-07-31;1.971909;
2020-08-31;2.074462;
2020-09-30;2.15125;
2020-10-31;1.623118;
2020-11-30;1.564444;
2020-12-31;1.433602;
2021-01-31;1.430277;
2021-02-28;1.581132;
2021-03-31;null;
2021-04-30;1.393277;
2021-05-31;1.263504;
2021-06-30;1.615062;
2021-07-31;1.778163;
2021-08-31;2.298853;
2021-09-30;1.668225;
2021-10-31;1.608633;
2021-11-30;1.478282;
2021-12-31;1.675028;
2022-01-31;1.678054;
2022-02-28;1.35594;
2022-03-31;1.286869;
2022-04-30;1.260139;
2022-05-31;1.443145;
2022-06-30;1.59788;
2022-07-31;1.936913;
2022-08-31;2.056282;
2022-09-30;1.823484;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

