Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2012-10-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-10-31;null;
2012-11-30;3.232639;
2012-12-31;null;
2013-01-31;null;
2013-02-28;2.835268;
2013-03-31;2.678694;
2013-04-30;2.972194;
2013-05-31;3.26707;
2013-06-30;3.634634;
2013-07-31;4.265662;
2013-08-31;4.242876;
2013-09-30;4.396389;
2013-10-31;4.075;
2013-11-30;3.534583;
2013-12-31;3.424059;
2014-01-31;3.068548;
2014-02-28;2.966964;
2014-03-31;2.60024;
2014-04-30;2.634444;
2014-05-31;3.382796;
2014-06-30;3.650181;
2014-07-31;4.222744;
2014-08-31;4.19439;
2014-09-30;3.88875;
2014-10-31;4.367339;
2014-11-30;3.32375;
2014-12-31;3.416263;
2015-01-31;3.138143;
2015-02-28;3.073065;
2015-03-31;2.347319;
2015-04-30;2.526301;
2015-05-31;3.461425;
2015-06-30;3.94625;
2015-07-31;4.13871;
2015-08-31;4.134946;
2015-09-30;3.885039;
2015-10-31;4.047364;
2015-11-30;3.213611;
2015-12-31;3.391711;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;3.428763;
2016-06-30;3.618056;
2016-07-31;3.816667;
2016-08-31;3.953226;
2016-09-30;3.948056;
2016-10-31;3.917111;
2016-11-30;3.586111;
2016-12-31;3.407661;
2017-01-31;2.565685;
2017-02-28;2.648661;
2017-03-31;2.520161;
2017-04-30;3.139722;
2017-05-31;3.16371;
2017-06-30;3.760972;
2017-07-31;4.35336;
2017-08-31;3.656183;
2017-09-30;4.951945;
2017-10-31;4.476478;
2017-11-30;3.347222;
2017-12-31;3.437903;
2018-01-31;2.547312;
2018-02-28;2.693601;
2018-03-31;2.669086;
2018-04-30;3.180417;
2018-05-31;3.851882;
2018-06-30;3.995695;
2018-07-31;3.719086;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;3.427778;
2018-12-31;3.459946;
2019-01-31;2.850403;
2019-02-28;2.301637;
2019-03-31;2.541532;
2019-04-30;2.725556;
2019-05-31;2.949194;
2019-06-30;3.56375;
2019-07-31;3.724034;
2019-08-31;4.623083;
2019-09-30;3.972917;
2019-10-31;3.564393;
2019-11-30;3.134444;
2019-12-31;3.36922;
2020-01-31;2.647043;
2020-02-29;2.450862;
2020-03-31;2.521505;
2020-04-30;3.132917;
2020-05-31;3.405525;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;4.156989;
2022-09-30;3.742222;
2022-10-31;3.930779;
2022-11-30;3.2825;
2022-12-31;3.153629;

