Nome: MARIANOPOLIS DO TO
Codigo Estacao: A041
Latitude: -9.57638888
Longitude: -49.72333332
Altitude: 186.69
Situacao: Pane
Data Inicial: 2012-11-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-11-30;null;
2012-12-31;1.664399;
2013-01-31;1.679193;
2013-02-28;1.556845;
2013-03-31;1.59925;
2013-04-30;1.393195;
2013-05-31;1.378927;
2013-06-30;1.356061;
2013-07-31;1.656586;
2013-08-31;1.794221;
2013-09-30;2.023889;
2013-10-31;1.854435;
2013-11-30;1.810694;
2013-12-31;1.730108;
2014-01-31;1.60578;
2014-02-28;1.579613;
2014-03-31;1.562097;
2014-04-30;1.4875;
2014-05-31;1.435753;
2014-06-30;1.655;
2014-07-31;2.035215;
2014-08-31;2.007661;
2014-09-30;null;
2014-10-31;2.168011;
2014-11-30;2.010278;
2014-12-31;1.875929;
2015-01-31;1.596102;
2015-02-28;1.841815;
2015-03-31;1.808114;
2015-04-30;1.496659;
2015-05-31;1.647177;
2015-06-30;1.675;
2015-07-31;1.905242;
2015-08-31;1.997984;
2015-09-30;2.055694;
2015-10-31;1.868414;
2015-11-30;1.897083;
2015-12-31;null;
2016-01-31;null;
2016-02-29;1.868247;
2016-03-31;1.780779;
2016-04-30;1.42262;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;2.049425;
2016-11-30;1.850946;
2016-12-31;1.85121;
2017-01-31;1.735122;
2017-02-28;2.008333;
2017-03-31;1.599194;
2017-04-30;1.407361;
2017-05-31;1.278091;
2017-06-30;1.684583;
2017-07-31;2.259274;
2017-08-31;1.884543;
2017-09-30;2.529722;
2017-10-31;2.297984;
2017-11-30;2.060694;
2017-12-31;1.788342;
2018-01-31;1.709274;
2018-02-28;1.781548;
2018-03-31;1.751613;
2018-04-30;1.45125;
2018-05-31;1.574597;
2018-06-30;1.677222;
2018-07-31;1.708064;
2018-08-31;2.00121;
2018-09-30;1.817778;
2018-10-31;1.836559;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.706574;
2019-04-30;1.468333;
2019-05-31;1.281052;
2019-06-30;1.753042;
2019-07-31;1.876344;
2019-08-31;2.078037;
2019-09-30;2.046528;
2019-10-31;1.825199;
2019-11-30;1.742102;
2019-12-31;1.71786;
2020-01-31;1.833125;
2020-02-29;1.913082;
2020-03-31;1.846182;
2020-04-30;1.6575;
2020-05-31;1.545755;
2020-06-30;1.773611;
2020-07-31;1.875658;
2020-08-31;1.935916;
2020-09-30;2.131159;
2020-10-31;1.920421;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;1.549502;
2021-05-31;1.324087;
2021-06-30;1.560216;
2021-07-31;1.86032;
2021-08-31;1.973011;
2021-09-30;1.922332;
2021-10-31;1.982381;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

