Nome: BRAZLANDIA
Codigo Estacao: A042
Latitude: -15.59972221
Longitude: -48.1311111
Altitude: 1143
Situacao: Operante
Data Inicial: 2017-07-18
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-07-31;null;
2017-08-31;2.88285;
2017-09-30;3.601932;
2017-10-31;3.065655;
2017-11-30;2.34946;
2017-12-31;2.138174;
2018-01-31;2.071704;
2018-02-28;2.228811;
2018-03-31;1.856667;
2018-04-30;2.132965;
2018-05-31;2.537441;
2018-06-30;2.448702;
2018-07-31;2.520968;
2018-08-31;2.52164;
2018-09-30;2.48128;
2018-10-31;2.019857;
2018-11-30;2.180226;
2018-12-31;2.391207;
2019-01-31;null;
2019-02-28;1.931295;
2019-03-31;1.639312;
2019-04-30;1.520833;
2019-05-31;1.952016;
2019-06-30;2.596944;
2019-07-31;2.702016;
2019-08-31;2.76228;
2019-09-30;2.567083;
2019-10-31;2.164002;
2019-11-30;2.120254;
2019-12-31;2.175089;
2020-01-31;2.551613;
2020-02-29;1.855891;
2020-03-31;1.961156;
2020-04-30;1.871111;
2020-05-31;2.11371;
2020-06-30;2.360694;
2020-07-31;2.525538;
2020-08-31;2.710753;
2020-09-30;2.556909;
2020-10-31;2.363454;
2020-11-30;2.24;
2020-12-31;1.866851;
2021-01-31;1.784274;
2021-02-28;1.844096;
2021-03-31;1.83147;
2021-04-30;1.730453;
2021-05-31;1.718683;
2021-06-30;2.162361;
2021-07-31;2.389113;
2021-08-31;2.78629;
2021-09-30;2.284028;
2021-10-31;2.298387;
2021-11-30;1.999583;
2021-12-31;1.782258;
2022-01-31;2.159409;
2022-02-28;1.457315;
2022-03-31;1.654167;
2022-04-30;1.917778;
2022-05-31;2.095161;
2022-06-30;1.9425;
2022-07-31;2.171505;
2022-08-31;2.457124;
2022-09-30;2.283472;
2022-10-31;2.501344;
2022-11-30;2.025417;
2022-12-31;1.824731;

