Nome: AGUAS EMENDADAS
Codigo Estacao: A045
Latitude: -15.596491
Longitude: -47.625801
Altitude: 1030.36
Situacao: Operante
Data Inicial: 2008-10-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-10-31;2.639167;
2008-11-30;2.036806;
2008-12-31;1.928763;
2009-01-31;1.971762;
2009-02-28;1.91734;
2009-03-31;1.722043;
2009-04-30;1.890417;
2009-05-31;1.905108;
2009-06-30;2.008194;
2009-07-31;2.264785;
2009-08-31;2.713172;
2009-09-30;2.177917;
2009-10-31;1.829454;
2009-11-30;1.702083;
2009-12-31;1.956855;
2010-01-31;1.907066;
2010-02-28;2.058631;
2010-03-31;1.882749;
2010-04-30;2.184167;
2010-05-31;1.956586;
2010-06-30;2.324028;
2010-07-31;2.748253;
2010-08-31;2.802904;
2010-09-30;2.85;
2010-10-31;2.01922;
2010-11-30;1.778056;
2010-12-31;1.803898;
2011-01-31;2.011156;
2011-02-28;1.651637;
2011-03-31;1.799425;
2011-04-30;2.091806;
2011-05-31;2.203419;
2011-06-30;2.06;
2011-07-31;2.420915;
2011-08-31;2.571887;
2011-09-30;2.712778;
2011-10-31;2.093385;
2011-11-30;1.999583;
2011-12-31;1.808871;
2012-01-31;1.916713;
2012-02-29;2.022126;
2012-03-31;1.889627;
2012-04-30;1.758472;
2012-05-31;2.28871;
2012-06-30;2.145519;
2012-07-31;2.368414;
2012-08-31;3.181413;
2012-09-30;2.623056;
2012-10-31;2.405107;
2012-11-30;1.844306;
2012-12-31;1.756048;
2013-01-31;1.781963;
2013-02-28;1.917857;
2013-03-31;1.776917;
2013-04-30;1.856944;
2013-05-31;1.984946;
2013-06-30;2.053927;
2013-07-31;2.343589;
2013-08-31;2.673387;
2013-09-30;2.684028;
2013-10-31;2.274059;
2013-11-30;1.953472;
2013-12-31;1.84785;
2014-01-31;1.997984;
2014-02-28;2.031994;
2014-03-31;1.744489;
2014-04-30;1.719438;
2014-05-31;1.79664;
2014-06-30;2.095833;
2014-07-31;2.34664;
2014-08-31;2.403629;
2014-09-30;2.5;
2014-10-31;2.484005;
2014-11-30;1.720695;
2014-12-31;1.92043;
2015-01-31;1.813575;
2015-02-28;1.912202;
2015-03-31;1.615;
2015-04-30;1.541528;
2015-05-31;1.919086;
2015-06-30;2.268472;
2015-07-31;2.145296;
2015-08-31;2.358833;
2015-09-30;null;
2015-10-31;2.142473;
2015-11-30;1.846181;
2015-12-31;1.891774;
2016-01-31;1.866157;
2016-02-29;1.798276;
2016-03-31;1.82386;
2016-04-30;2.060577;
2016-05-31;1.884821;
2016-06-30;2.083472;
2016-07-31;2.241801;
2016-08-31;2.295296;
2016-09-30;2.284028;
2016-10-31;1.987029;
2016-11-30;2.007007;
2016-12-31;2.032365;
2017-01-31;1.698375;
2017-02-28;1.820229;
2017-03-31;1.545105;
2017-04-30;1.89462;
2017-05-31;1.794477;
2017-06-30;2.3265;
2017-07-31;2.947849;
2017-08-31;2.276771;
2017-09-30;2.910062;
2017-10-31;2.520293;
2017-11-30;1.943339;
2017-12-31;null;
2018-01-31;1.810285;
2018-02-28;1.842864;
2018-03-31;1.60735;
2018-04-30;1.945743;
2018-05-31;2.049983;
2018-06-30;1.935126;
2018-07-31;2.122984;
2018-08-31;2.064382;
2018-09-30;2.128581;
2018-10-31;1.741304;
2018-11-30;1.757147;
2018-12-31;1.830552;
2019-01-31;1.931013;
2019-02-28;1.649572;
2019-03-31;1.687205;
2019-04-30;1.412126;
2019-05-31;1.627151;
2019-06-30;2.228889;
2019-07-31;2.164247;
2019-08-31;2.361667;
2019-09-30;2.262639;
2019-10-31;1.984091;
2019-11-30;1.755771;
2019-12-31;1.824621;
2020-01-31;1.76677;
2020-02-29;1.578824;
2020-03-31;1.70161;
2020-04-30;1.740139;
2020-05-31;1.643548;
2020-06-30;1.990417;
2020-07-31;2.217549;
2020-08-31;2.55886;
2020-09-30;2.273055;
2020-10-31;1.914294;
2020-11-30;1.809988;
2020-12-31;1.56262;
2021-01-31;1.653672;
2021-02-28;1.580721;
2021-03-31;1.667286;
2021-04-30;1.644583;
2021-05-31;1.62836;
2021-06-30;1.894306;
2021-07-31;2.027957;
2021-08-31;2.376088;
2021-09-30;2.087749;
2021-10-31;1.902183;
2021-11-30;1.720344;
2021-12-31;1.565401;
2022-01-31;1.818167;
2022-02-28;null;
2022-03-31;1.701122;
2022-04-30;1.8925;
2022-05-31;1.797446;
2022-06-30;1.886111;
2022-07-31;2.155645;
2022-08-31;2.063038;
2022-09-30;2.010972;
2022-10-31;2.184543;
2022-11-30;null;
2022-12-31;null;

