Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2017-02-06
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;2.105096;
2017-06-30;2.592389;
2017-07-31;3.294086;
2017-08-31;2.482582;
2017-09-30;3.003952;
2017-10-31;2.759691;
2017-11-30;2.452134;
2017-12-31;1.905446;
2018-01-31;2.000619;
2018-02-28;2.042236;
2018-03-31;1.912129;
2018-04-30;2.378502;
2018-05-31;2.299296;
2018-06-30;2.075703;
2018-07-31;2.24207;
2018-08-31;2.332077;
2018-09-30;2.326232;
2018-10-31;2.16256;
2018-11-30;2.247862;
2018-12-31;1.925117;
2019-01-31;2.133468;
2019-02-28;1.817952;
2019-03-31;2.198151;
2019-04-30;1.692415;
2019-05-31;1.867742;
2019-06-30;2.503714;
2019-07-31;2.396237;
2019-08-31;2.708629;
2019-09-30;2.61625;
2019-10-31;2.416896;
2019-11-30;2.156063;
2019-12-31;2.154529;
2020-01-31;1.821768;
2020-02-29;1.878936;
2020-03-31;2.213957;
2020-04-30;2.321806;
2020-05-31;2.040071;
2020-06-30;2.381806;
2020-07-31;2.495296;
2020-08-31;2.853898;
2020-09-30;2.543472;
2020-10-31;2.459898;
2020-11-30;2.306997;
2020-12-31;1.859015;
2021-01-31;2.087356;
2021-02-28;1.7878;
2021-03-31;2.07798;
2021-04-30;2.098454;
2021-05-31;1.896774;
2021-06-30;2.185417;
2021-07-31;2.313979;
2021-08-31;2.805295;
2021-09-30;2.419885;
2021-10-31;2.429896;
2021-11-30;2.149383;
2021-12-31;1.958507;
2022-01-31;2.006855;
2022-02-28;1.909097;
2022-03-31;2.209946;
2022-04-30;2.110635;
2022-05-31;2.04328;
2022-06-30;2.179583;
2022-07-31;2.421371;
2022-08-31;2.661048;
2022-09-30;2.451534;
2022-10-31;2.706667;
2022-11-30;null;
2022-12-31;1.973582;

