Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-07-31;null;
2016-08-31;2.115457;
2016-09-30;2.073333;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;2.024028;
2017-07-31;2.712366;
2017-08-31;1.967473;
2017-09-30;2.550139;
2017-10-31;2.304998;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;1.967222;
2018-07-31;2.127151;
2018-08-31;1.909409;
2018-09-30;1.946806;
2018-10-31;1.92729;
2018-11-30;1.910986;
2018-12-31;1.786589;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;1.746011;
2019-12-31;1.8375;
2020-01-31;1.883462;
2020-02-29;1.828898;
2020-03-31;1.949352;
2020-04-30;1.809058;
2020-05-31;1.776344;
2020-06-30;2.288611;
2020-07-31;2.478612;
2020-08-31;2.514912;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.75186;
2022-05-31;1.788844;
2022-06-30;1.80129;
2022-07-31;2.20502;
2022-08-31;2.18414;
2022-09-30;2.192183;
2022-10-31;2.045332;
2022-11-30;2.144981;
2022-12-31;1.674639;

