Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2015-08-18
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;
2015-09-30;1.872639;
2015-10-31;1.969355;
2015-11-30;1.805556;
2015-12-31;1.833871;
2016-01-31;2.184964;
2016-02-29;1.719971;
2016-03-31;1.645296;
2016-04-30;1.563611;
2016-05-31;1.520968;
2016-06-30;1.662917;
2016-07-31;1.758468;
2016-08-31;1.942473;
2016-09-30;1.917361;
2016-10-31;2.027881;
2016-11-30;1.950139;
2016-12-31;1.849328;
2017-01-31;1.652758;
2017-02-28;1.85878;
2017-03-31;1.457748;
2017-04-30;null;
2017-05-31;null;
2017-06-30;1.757361;
2017-07-31;1.854167;
2017-08-31;1.923387;
2017-09-30;2.31125;
2017-10-31;2.174462;
2017-11-30;1.787778;
2017-12-31;1.754436;
2018-01-31;1.742608;
2018-02-28;1.760417;
2018-03-31;1.553629;
2018-04-30;1.445121;
2018-05-31;1.558468;
2018-06-30;1.662576;
2018-07-31;1.631322;
2018-08-31;null;
2018-09-30;null;
2018-10-31;2.033173;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;1.809052;
2019-08-31;1.965457;
2019-09-30;2.073732;
2019-10-31;1.999756;
2019-11-30;1.759195;
2019-12-31;1.82019;
2020-01-31;1.889826;
2020-02-29;1.655316;
2020-03-31;1.611021;
2020-04-30;1.435139;
2020-05-31;1.513172;
2020-06-30;1.646389;
2020-07-31;1.693993;
2020-08-31;1.861828;
2020-09-30;1.951806;
2020-10-31;1.945565;
2020-11-30;1.749728;
2020-12-31;null;
2021-01-31;1.680946;
2021-02-28;1.782864;
2021-03-31;1.443579;
2021-04-30;1.518467;
2021-05-31;1.449071;
2021-06-30;1.676263;
2021-07-31;1.79907;
2021-08-31;1.992642;
2021-09-30;1.815126;
2021-10-31;1.828037;
2021-11-30;1.843753;
2021-12-31;2.014129;
2022-01-31;2.029666;
2022-02-28;1.69438;
2022-03-31;1.615909;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;2.000043;
2022-12-31;1.781471;

