Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2018-01-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-01-31;null;
2018-02-28;1.99289;
2018-03-31;1.981608;
2018-04-30;1.81125;
2018-05-31;1.629683;
2018-06-30;1.548172;
2018-07-31;1.644893;
2018-08-31;2.156317;
2018-09-30;2.393599;
2018-10-31;2.554961;
2018-11-30;2.499958;
2018-12-31;2.267251;
2019-01-31;1.759613;
2019-02-28;1.984207;
2019-03-31;1.928296;
2019-04-30;1.486111;
2019-05-31;1.322177;
2019-06-30;1.762917;
2019-07-31;1.963978;
2019-08-31;2.149907;
2019-09-30;2.556528;
2019-10-31;2.608088;
2019-11-30;2.427762;
2019-12-31;1.949486;
2020-01-31;2.153986;
2020-02-29;2.088512;
2020-03-31;2.009958;
2020-04-30;1.825972;
2020-05-31;1.535484;
2020-06-30;1.584445;
2020-07-31;1.941129;
2020-08-31;2.47043;
2020-09-30;2.303515;
2020-10-31;2.721505;
2020-11-30;2.3775;
2020-12-31;1.776713;
2021-01-31;1.594954;
2021-02-28;2.050772;
2021-03-31;1.896752;
2021-04-30;1.504861;
2021-05-31;1.150134;
2021-06-30;1.456806;
2021-07-31;1.550403;
2021-08-31;1.833871;
2021-09-30;2.237996;
2021-10-31;null;
2021-11-30;2.396518;
2021-12-31;2.038667;
2022-01-31;1.955475;
2022-02-28;1.582806;
2022-03-31;1.691592;
2022-04-30;1.381347;
2022-05-31;1.274462;
2022-06-30;1.210698;
2022-07-31;1.553889;
2022-08-31;1.971067;
2022-09-30;2.324214;
2022-10-31;2.646189;
2022-11-30;2.266861;
2022-12-31;2.349692;

