Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Operante
Data Inicial: 2008-08-04
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;null;
2008-09-30;.519333;
2008-10-31;.489651;
2008-11-30;.334632;
2008-12-31;.290591;
2009-01-31;.277004;
2009-02-28;.30533;
2009-03-31;.25793;
2009-04-30;.290556;
2009-05-31;null;
2009-06-30;.401131;
2009-07-31;.359543;
2009-08-31;.44543;
2009-09-30;.575;
2009-10-31;.501724;
2009-11-30;.433611;
2009-12-31;.426613;
2010-01-31;.467265;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;.708796;
2013-02-28;.595685;
2013-03-31;.577639;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;.828226;
2014-09-30;.894583;
2014-10-31;.876613;
2014-11-30;.944028;
2014-12-31;.980108;
2015-01-31;.803021;
2015-02-28;.818304;
2015-03-31;.810972;
2015-04-30;.808889;
2015-05-31;.783064;
2015-06-30;.687778;
2015-07-31;.778226;
2015-08-31;.757392;
2015-09-30;.844306;
2015-10-31;1.065995;
2015-11-30;.984444;
2015-12-31;.90793;
2016-01-31;.725538;
2016-02-29;.613075;
2016-03-31;.765054;
2016-04-30;.879444;
2016-05-31;.853226;
2016-06-30;.854583;
2016-07-31;.555645;
2016-08-31;.608333;
2016-09-30;.640972;
2016-10-31;.511559;
2016-11-30;.574306;
2016-12-31;.490322;
2017-01-31;.319086;
2017-02-28;.448512;
2017-03-31;.303495;
2017-04-30;.377083;
2017-05-31;.258871;
2017-06-30;null;
2017-07-31;.50423;
2017-08-31;.451613;
2017-09-30;.384722;
2017-10-31;.616532;
2017-11-30;.403889;
2017-12-31;.426479;
2018-01-31;.448118;
2018-02-28;.300446;
2018-03-31;.350806;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;.53056;
2018-10-31;.342245;
2018-11-30;.39833;
2018-12-31;.390184;
2019-01-31;.309956;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;.764382;
2019-08-31;.812903;
2019-09-30;.851528;
2019-10-31;.789247;
2019-11-30;.720833;
2019-12-31;.715726;
2020-01-31;.752016;
2020-02-29;.611351;
2020-03-31;.519892;
2020-04-30;.44875;
2020-05-31;.531183;
2020-06-30;.530238;
2020-07-31;.584469;
2020-08-31;.693548;
2020-09-30;.741389;
2020-10-31;.795699;
2020-11-30;.669444;
2020-12-31;.712366;
2021-01-31;.70578;
2021-02-28;.609375;
2021-03-31;.658065;
2021-04-30;.670833;
2021-05-31;.609946;
2021-06-30;.566817;
2021-07-31;.709846;
2021-08-31;.691667;
2021-09-30;.746944;
2021-10-31;.727554;
2021-11-30;.703472;
2021-12-31;.683737;
2022-01-31;.645296;
2022-02-28;.611905;
2022-03-31;.640726;
2022-04-30;.593611;
2022-05-31;.5875;
2022-06-30;null;
2022-07-31;.562899;
2022-08-31;.725134;
2022-09-30;.881806;
2022-10-31;.788844;
2022-11-30;.734722;
2022-12-31;.748925;

