Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 220
Situacao: Pane
Data Inicial: 2015-05-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-05-31;null;
2015-06-30;.855;
2015-07-31;.84422;
2015-08-31;.904032;
2015-09-30;.930833;
2015-10-31;1.042742;
2015-11-30;1.060139;
2015-12-31;.997984;
2016-01-31;.879167;
2016-02-29;.904598;
2016-03-31;.982258;
2016-04-30;.924861;
2016-05-31;.917742;
2016-06-30;1.089583;
2016-07-31;.773247;
2016-08-31;1.020296;
2016-09-30;1.008472;
2016-10-31;1.027517;
2016-11-30;1.149861;
2016-12-31;1.100941;
2017-01-31;.963575;
2017-02-28;1.059375;
2017-03-31;.975807;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;.786494;
2017-10-31;1.074059;
2017-11-30;.967639;
2017-12-31;1.03375;
2018-01-31;1.008468;
2018-02-28;.938086;
2018-03-31;.886694;
2018-04-30;.902917;
2018-05-31;.820161;
2018-06-30;null;
2018-07-31;null;
2018-08-31;.959016;
2018-09-30;.896111;
2018-10-31;.971774;
2018-11-30;.887639;
2018-12-31;1.000941;
2019-01-31;.81129;
2019-02-28;.822768;
2019-03-31;.77957;
2019-04-30;.765694;
2019-05-31;.780242;
2019-06-30;null;
2019-07-31;null;
2019-08-31;.842602;
2019-09-30;.7725;
2019-10-31;.788172;
2019-11-30;.809028;
2019-12-31;.793683;
2020-01-31;.983065;
2020-02-29;.811494;
2020-03-31;.725538;
2020-04-30;.856806;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

