Nome: BOCA DO ACRE
Codigo Estacao: A110
Latitude: -8.77666666
Longitude: -67.33249999
Altitude: 111.98
Situacao: Operante
Data Inicial: 2008-07-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;
2008-08-31;1.018414;
2008-09-30;1.277361;
2008-10-31;1.45369;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;1.296772;
2009-04-30;1.273808;
2009-05-31;1.031482;
2009-06-30;null;
2009-07-31;1.105809;
2009-08-31;1.140362;
2009-09-30;1.467393;
2009-10-31;1.40498;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;.923522;
2011-06-30;.853333;
2011-07-31;.91828;
2011-08-31;1.101882;
2011-09-30;1.059722;
2011-10-31;1.025403;
2011-11-30;1.099861;
2011-12-31;1.104973;
2012-01-31;1.225672;
2012-02-29;1.160201;
2012-03-31;1.169086;
2012-04-30;1.098195;
2012-05-31;.724597;
2012-06-30;.841111;
2012-07-31;.895833;
2012-08-31;1.080895;
2012-09-30;1.158333;
2012-10-31;1.190054;
2012-11-30;1.204861;
2012-12-31;1.222715;
2013-01-31;1.213348;
2013-02-28;1.35504;
2013-03-31;1.271111;
2013-04-30;1.15987;
2013-05-31;1.059615;
2013-06-30;.834356;
2013-07-31;.979926;
2013-08-31;1.236571;
2013-09-30;1.389173;
2013-10-31;1.196505;
2013-11-30;1.269008;
2013-12-31;1.364294;
2014-01-31;1.261249;
2014-02-28;1.241141;
2014-03-31;1.270219;
2014-04-30;1.075025;
2014-05-31;1.165396;
2014-06-30;1.088938;
2014-07-31;1.151709;
2014-08-31;1.045071;
2014-09-30;1.164424;
2014-10-31;1.156395;
2014-11-30;1.240108;
2014-12-31;1.182153;
2015-01-31;1.087999;
2015-02-28;1.073536;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;1.1175;
2015-12-31;1.040995;
2016-01-31;1.081317;
2016-02-29;.939122;
2016-03-31;.791801;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;1.079301;
2016-11-30;1.247361;
2016-12-31;1.124194;
2017-01-31;.985215;
2017-02-28;1.141071;
2017-03-31;1.048656;
2017-04-30;1.154722;
2017-05-31;.95457;
2017-06-30;.927361;
2017-07-31;.962231;
2017-08-31;1.043011;
2017-09-30;.984444;
2017-10-31;1.214919;
2017-11-30;1.125417;
2017-12-31;1.175672;
2018-01-31;1.181586;
2018-02-28;1.248661;
2018-03-31;1.152016;
2018-04-30;1.058056;
2018-05-31;1.094624;
2018-06-30;1.130417;
2018-07-31;.975;
2018-08-31;1.188306;
2018-09-30;1.103472;
2018-10-31;1.156048;
2018-11-30;1.104583;
2018-12-31;1.130108;
2019-01-31;1.151344;
2019-02-28;1.029762;
2019-03-31;.997581;
2019-04-30;1.042639;
2019-05-31;.790054;
2019-06-30;.689306;
2019-07-31;1.034946;
2019-08-31;1.11129;
2019-09-30;.986944;
2019-10-31;1.10457;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;1.363038;
2022-11-30;1.285417;
2022-12-31;1.294355;

