Nome: COARI
Codigo Estacao: A117
Latitude: -4.09749999
Longitude: -63.14527777
Altitude: 33.84
Situacao: Pane
Data Inicial: 2008-04-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.156142;
2008-06-30;1.049348;
2008-07-31;1.092742;
2008-08-31;1.100403;
2008-09-30;1.310417;
2008-10-31;1.157796;
2008-11-30;1.186576;
2008-12-31;1.256183;
2009-01-31;1.186886;
2009-02-28;1.436391;
2009-03-31;1.280242;
2009-04-30;1.301805;
2009-05-31;1.338844;
2009-06-30;1.095139;
2009-07-31;1.113979;
2009-08-31;1.130992;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;.828931;
2010-09-30;.846667;
2010-10-31;.899826;
2010-11-30;null;
2010-12-31;.918011;
2011-01-31;.968817;
2011-02-28;1.145238;
2011-03-31;1.080428;
2011-04-30;.740556;
2011-05-31;.733737;
2011-06-30;.805833;
2011-07-31;.830645;
2011-08-31;1.04422;
2011-09-30;.874306;
2011-10-31;.950134;
2011-11-30;1.062917;
2011-12-31;1.121237;
2012-01-31;1.402285;
2012-02-29;1.423563;
2012-03-31;1.113038;
2012-04-30;.991389;
2012-05-31;.923656;
2012-06-30;1.121528;
2012-07-31;.952016;
2012-08-31;.919412;
2012-09-30;1.137917;
2012-10-31;.983737;
2012-11-30;.959444;
2012-12-31;1.186021;
2013-01-31;1.104032;
2013-02-28;1.043155;
2013-03-31;1.325444;
2013-04-30;1.0425;
2013-05-31;1.079301;
2013-06-30;.982412;
2013-07-31;1.095296;
2013-08-31;.49328;
2013-09-30;0;
2013-10-31;null;
2013-11-30;1.347361;
2013-12-31;1.372312;
2014-01-31;1.555511;
2014-02-28;1.534524;
2014-03-31;1.565188;
2014-04-30;1.311667;
2014-05-31;1.30121;
2014-06-30;1.199314;
2014-07-31;1.248576;
2014-08-31;1.097271;
2014-09-30;1.357361;
2014-10-31;1.380192;
2014-11-30;1.320278;
2014-12-31;1.349866;
2015-01-31;1.452636;
2015-02-28;1.597768;
2015-03-31;1.502985;
2015-04-30;1.271839;
2015-05-31;1.263244;
2015-06-30;1.190586;
2015-07-31;null;
2015-08-31;1.401543;
2015-09-30;1.345139;
2015-10-31;1.316398;
2015-11-30;1.24625;
2015-12-31;1.192742;
2016-01-31;1.428898;
2016-02-29;1.716379;
2016-03-31;1.369489;
2016-04-30;1.314583;
2016-05-31;1.014382;
2016-06-30;.966667;
2016-07-31;.99207;
2016-08-31;1.228226;
2016-09-30;1.151111;
2016-10-31;1.169729;
2016-11-30;1.230139;
2016-12-31;1.077823;
2017-01-31;1.103226;
2017-02-28;null;
2017-03-31;null;
2017-04-30;1.083611;
2017-05-31;1;
2017-06-30;.984583;
2017-07-31;1.046237;
2017-08-31;1.084274;
2017-09-30;.975833;
2017-10-31;1.28172;
2017-11-30;1.228333;
2017-12-31;1.309677;
2018-01-31;1.30672;
2018-02-28;1.414881;
2018-03-31;1.295833;
2018-04-30;1.154444;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;1.294892;
2019-02-28;1.394662;
2019-03-31;1.457258;
2019-04-30;.968194;
2019-05-31;.965977;
2019-06-30;.859722;
2019-07-31;.939516;
2019-08-31;.912772;
2019-09-30;1.088056;
2019-10-31;1.011033;
2019-11-30;1.045205;
2019-12-31;.978401;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;.984466;
2022-05-31;1.029009;
2022-06-30;.89904;
2022-07-31;.886805;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

