Nome: MANACAPURU
Codigo Estacao: A119
Latitude: -3.29472221
Longitude: -60.62833332
Altitude: 36.57
Situacao: Operante
Data Inicial: 2008-04-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.410753;
2008-06-30;1.306069;
2008-07-31;1.480511;
2008-08-31;1.513038;
2008-09-30;1.632361;
2008-10-31;1.498118;
2008-11-30;1.425634;
2008-12-31;1.529032;
2009-01-31;1.419255;
2009-02-28;1.644846;
2009-03-31;1.605511;
2009-04-30;1.571389;
2009-05-31;1.441263;
2009-06-30;1.304583;
2009-07-31;1.408871;
2009-08-31;1.664785;
2009-09-30;1.920694;
2009-10-31;1.682361;
2009-11-30;1.811944;
2009-12-31;1.439113;
2010-01-31;1.789101;
2010-02-28;1.611458;
2010-03-31;1.726882;
2010-04-30;1.457917;
2010-05-31;1.490995;
2010-06-30;1.3525;
2010-07-31;1.369758;
2010-08-31;1.148412;
2010-09-30;1.547222;
2010-10-31;1.715591;
2010-11-30;1.562083;
2010-12-31;1.199059;
2011-01-31;1.702151;
2011-02-28;1.49003;
2011-03-31;1.541825;
2011-04-30;1.414444;
2011-05-31;1.495968;
2011-06-30;1.702083;
2011-07-31;1.037634;
2011-08-31;1.152823;
2011-09-30;1.088472;
2011-10-31;1.18414;
2011-11-30;1.280272;
2011-12-31;.952016;
2012-01-31;.997849;
2012-02-29;1.154741;
2012-03-31;1.170027;
2012-04-30;.975972;
2012-05-31;1.04879;
2012-06-30;1.025278;
2012-07-31;1.047849;
2012-08-31;.897275;
2012-09-30;1.031528;
2012-10-31;1.078763;
2012-11-30;1.043056;
2012-12-31;1.206452;
2013-01-31;1.133602;
2013-02-28;.830804;
2013-03-31;0;
2013-04-30;0;
2013-05-31;0;
2013-06-30;0;
2013-07-31;0;
2013-08-31;0;
2013-09-30;.523939;
2013-10-31;1.543952;
2013-11-30;1.610695;
2013-12-31;1.406452;
2014-01-31;1.616532;
2014-02-28;1.603235;
2014-03-31;1.644109;
2014-04-30;1.473194;
2014-05-31;1.440438;
2014-06-30;1.437639;
2014-07-31;1.363978;
2014-08-31;1.368011;
2014-09-30;1.531667;
2014-10-31;1.403226;
2014-11-30;1.47125;
2014-12-31;null;
2015-01-31;1.453216;
2015-02-28;1.785566;
2015-03-31;1.577618;
2015-04-30;1.432361;
2015-05-31;1.331452;
2015-06-30;1.441667;
2015-07-31;1.539382;
2015-08-31;1.798656;
2015-09-30;1.904861;
2015-10-31;1.80672;
2015-11-30;1.485556;
2015-12-31;1.327285;
2016-01-31;.464785;
2016-02-29;0;
2016-03-31;0;
2016-04-30;.247803;
2016-05-31;1.31586;
2016-06-30;1.309722;
2016-07-31;1.335618;
2016-08-31;1.539785;
2016-09-30;1.367627;
2016-10-31;1.651714;
2016-11-30;1.405314;
2016-12-31;1.312469;
2017-01-31;null;
2017-02-28;1.438686;
2017-03-31;1.46828;
2017-04-30;1.3775;
2017-05-31;1.328629;
2017-06-30;1.273056;
2017-07-31;1.465054;
2017-08-31;1.538441;
2017-09-30;1.326528;
2017-10-31;1.503629;
2017-11-30;1.552639;
2017-12-31;1.566129;
2018-01-31;1.612769;
2018-02-28;1.71622;
2018-03-31;1.591935;
2018-04-30;1.453194;
2018-05-31;1.366129;
2018-06-30;1.377222;
2018-07-31;1.384409;
2018-08-31;1.397446;
2018-09-30;1.556111;
2018-10-31;1.578763;
2018-11-30;1.527083;
2018-12-31;1.4875;
2019-01-31;1.552823;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.5325;
2019-05-31;1.283287;
2019-06-30;1.234306;
2019-07-31;1.361425;
2019-08-31;1.3768;
2019-09-30;1.506528;
2019-10-31;1.399322;
2019-11-30;1.37625;
2019-12-31;1.378629;
2020-01-31;1.448019;
2020-02-29;1.659483;
2020-03-31;1.634029;
2020-04-30;1.352917;
2020-05-31;1.269758;
2020-06-30;1.107361;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;1.419579;
2021-02-28;1.608812;
2021-03-31;1.479845;
2021-04-30;1.278684;
2021-05-31;1.179167;
2021-06-30;1.256111;
2021-07-31;1.236559;
2021-08-31;1.284409;
2021-09-30;1.388732;
2021-10-31;1.483836;
2021-11-30;1.395646;
2021-12-31;1.265112;
2022-01-31;1.567465;
2022-02-28;1.31647;
2022-03-31;1.402756;
2022-04-30;1.300694;
2022-05-31;1.379658;
2022-06-30;1.24651;
2022-07-31;1.475403;
2022-08-31;1.527823;
2022-09-30;1.408122;
2022-10-31;1.57569;
2022-11-30;1.626926;
2022-12-31;1.528406;

