Nome: ITACOATIARA
Codigo Estacao: A121
Latitude: -3.13333333
Longitude: -58.48277777
Altitude: 41.54
Situacao: Operante
Data Inicial: 2008-04-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.010425;
2008-06-30;.865912;
2008-07-31;.875941;
2008-08-31;1.010618;
2008-09-30;1.139167;
2008-10-31;1.102688;
2008-11-30;1.038339;
2008-12-31;1.125;
2009-01-31;1.067029;
2009-02-28;1.043344;
2009-03-31;1.062903;
2009-04-30;.943472;
2009-05-31;.909812;
2009-06-30;.873889;
2009-07-31;.913844;
2009-08-31;1.155914;
2009-09-30;1.315;
2009-10-31;1.273132;
2009-11-30;1.451667;
2009-12-31;1.195564;
2010-01-31;1.116361;
2010-02-28;1.075;
2010-03-31;1.201478;
2010-04-30;.964861;
2010-05-31;.972312;
2010-06-30;.7375;
2010-07-31;1.087769;
2010-08-31;1.025586;
2010-09-30;1.256667;
2010-10-31;1.021236;
2010-11-30;1.18125;
2010-12-31;1.043011;
2011-01-31;1.028629;
2011-02-28;.922281;
2011-03-31;1.092179;
2011-04-30;.6925;
2011-05-31;.725672;
2011-06-30;.766667;
2011-07-31;.72043;
2011-08-31;.95336;
2011-09-30;.988889;
2011-10-31;1.015054;
2011-11-30;.982917;
2011-12-31;.843011;
2012-01-31;.737363;
2012-02-29;null;
2012-03-31;.918889;
2012-04-30;.852083;
2012-05-31;.878091;
2012-06-30;.98625;
2012-07-31;.895968;
2012-08-31;.980972;
2012-09-30;1.097222;
2012-10-31;1.220863;
2012-11-30;1.153321;
2012-12-31;1.112643;
2013-01-31;1.063926;
2013-02-28;.982213;
2013-03-31;.963237;
2013-04-30;1.073448;
2013-05-31;.597847;
2013-06-30;.000556;
2013-07-31;.001747;
2013-08-31;.000538;
2013-09-30;.000417;
2013-10-31;.000807;
2013-11-30;.001389;
2013-12-31;.001613;
2014-01-31;.001479;
2014-02-28;.000446;
2014-03-31;.001075;
2014-04-30;.000694;
2014-05-31;.306471;
2014-06-30;1.030556;
2014-07-31;1.002016;
2014-08-31;1.07715;
2014-09-30;1.434722;
2014-10-31;1.183065;
2014-11-30;1.09;
2014-12-31;1.025538;
2015-01-31;.974164;
2015-02-28;1.141518;
2015-03-31;1.016992;
2015-04-30;1.000417;
2015-05-31;.922312;
2015-06-30;.908472;
2015-07-31;1.026075;
2015-08-31;1.334005;
2015-09-30;1.555139;
2015-10-31;1.364382;
2015-11-30;1.277222;
2015-12-31;1.393145;
2016-01-31;1.307527;
2016-02-29;1.255891;
2016-03-31;null;
2016-04-30;null;
2016-05-31;.911962;
2016-06-30;.801944;
2016-07-31;.988978;
2016-08-31;1.210753;
2016-09-30;1.124028;
2016-10-31;.972043;
2016-11-30;1.100556;
2016-12-31;.973253;
2017-01-31;1.034543;
2017-02-28;.99747;
2017-03-31;.950672;
2017-04-30;.912778;
2017-05-31;.854167;
2017-06-30;.810556;
2017-07-31;.931989;
2017-08-31;1.213441;
2017-09-30;1.165694;
2017-10-31;1.073387;
2017-11-30;.965;
2017-12-31;.905108;
2018-01-31;.922043;
2018-02-28;1.026339;
2018-03-31;1.040188;
2018-04-30;.968611;
2018-05-31;.823521;
2018-06-30;.858056;
2018-07-31;.890457;
2018-08-31;1.025403;
2018-09-30;1.039306;
2018-10-31;1.074731;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.037231;
2019-04-30;.827412;
2019-05-31;.683871;
2019-06-30;.634861;
2019-07-31;.808065;
2019-08-31;.840844;
2019-09-30;1.046377;
2019-10-31;.947259;
2019-11-30;.829028;
2019-12-31;.796371;
2020-01-31;.812769;
2020-02-29;.846327;
2020-03-31;.930949;
2020-04-30;.751528;
2020-05-31;.617204;
2020-06-30;.608611;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;.653086;
2021-02-28;.863846;
2021-03-31;.86738;
2021-04-30;.849028;
2021-05-31;.876852;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;1.140673;
2021-11-30;1.109656;
2021-12-31;.993952;
2022-01-31;1.0961;
2022-02-28;.937425;
2022-03-31;.956159;
2022-04-30;.928859;
2022-05-31;1.054821;
2022-06-30;.981941;
2022-07-31;1.107835;
2022-08-31;1.271745;
2022-09-30;1.19788;
2022-10-31;1.217082;
2022-11-30;1.303296;
2022-12-31;1.12407;

