Nome: RIO URUBU
Codigo Estacao: A125
Latitude: -2.6336111
Longitude: -59.60055555
Altitude: 112.84
Situacao: Operante
Data Inicial: 2008-06-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;.654703;
2008-08-31;.67164;
2008-09-30;.724028;
2008-10-31;.766941;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;.650219;
2009-06-30;null;
2009-07-31;.702957;
2009-08-31;.725;
2009-09-30;.819722;
2009-10-31;.740948;
2009-11-30;.85375;
2009-12-31;.722849;
2010-01-31;.700831;
2010-02-28;.609226;
2010-03-31;.75121;
2010-04-30;.449445;
2010-05-31;.457527;
2010-06-30;.420833;
2010-07-31;.472849;
2010-08-31;.488955;
2010-09-30;.617603;
2010-10-31;.567876;
2010-11-30;.511389;
2010-12-31;.424153;
2011-01-31;.575941;
2011-02-28;.528125;
2011-03-31;.51283;
2011-04-30;.476945;
2011-05-31;.382392;
2011-06-30;.537361;
2011-07-31;.574866;
2011-08-31;.631586;
2011-09-30;.595278;
2011-10-31;.568011;
2011-11-30;.53375;
2011-12-31;.54747;
2012-01-31;.560081;
2012-02-29;.568637;
2012-03-31;.513542;
2012-04-30;.671528;
2012-05-31;.734005;
2012-06-30;.728889;
2012-07-31;.543817;
2012-08-31;.691302;
2012-09-30;.711945;
2012-10-31;.763575;
2012-11-30;.7375;
2012-12-31;.771909;
2013-01-31;.808333;
2013-02-28;.724702;
2013-03-31;.721;
2013-04-30;.674444;
2013-05-31;.608657;
2013-06-30;.701364;
2013-07-31;.669861;
2013-08-31;.663172;
2013-09-30;.749583;
2013-10-31;.853629;
2013-11-30;.834583;
2013-12-31;.84664;
2014-01-31;.896909;
2014-02-28;.761607;
2014-03-31;.833199;
2014-04-30;.489583;
2014-05-31;.435887;
2014-06-30;.614861;
2014-07-31;.617742;
2014-08-31;.602419;
2014-09-30;.755972;
2014-10-31;.659005;
2014-11-30;.641945;
2014-12-31;.670833;
2015-01-31;.616392;
2015-02-28;.726786;
2015-03-31;.620083;
2015-04-30;.572639;
2015-05-31;.525134;
2015-06-30;.543889;
2015-07-31;.591936;
2015-08-31;.764113;
2015-09-30;.937639;
2015-10-31;.989785;
2015-11-30;.876667;
2015-12-31;.841398;
2016-01-31;.991129;
2016-02-29;1.000431;
2016-03-31;.859677;
2016-04-30;.757361;
2016-05-31;.680107;
2016-06-30;.631528;
2016-07-31;.657796;
2016-08-31;.733333;
2016-09-30;.656111;
2016-10-31;null;
2016-11-30;null;
2016-12-31;.627586;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;.655288;
2017-08-31;.690188;
2017-09-30;.572083;
2017-10-31;.706452;
2017-11-30;.612083;
2017-12-31;.54174;
2018-01-31;.73816;
2018-02-28;null;
2018-03-31;null;
2018-04-30;.564861;
2018-05-31;.627957;
2018-06-30;.62625;
2018-07-31;.575;
2018-08-31;.493952;
2018-09-30;.637361;
2018-10-31;.778226;
2018-11-30;.606806;
2018-12-31;.658468;
2019-01-31;.816263;
2019-02-28;.715179;
2019-03-31;.790457;
2019-04-30;.617083;
2019-05-31;.53078;
2019-06-30;.536806;
2019-07-31;.517742;
2019-08-31;.63172;
2019-09-30;.735417;
2019-10-31;.586022;
2019-11-30;.572778;
2019-12-31;.495161;
2020-01-31;.668414;
2020-02-29;.76681;
2020-03-31;.684409;
2020-04-30;.540695;
2020-05-31;.473925;
2020-06-30;.444427;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;.227285;
2021-11-30;.470556;
2021-12-31;.609812;
2022-01-31;.634543;
2022-02-28;.6375;
2022-03-31;.582258;
2022-04-30;.507222;
2022-05-31;.494624;
2022-06-30;.271111;
2022-07-31;.222043;
2022-08-31;.199059;
2022-09-30;.2075;
2022-10-31;.294624;
2022-11-30;.199583;
2022-12-31;.250538;

