Nome: BARCELOS
Codigo Estacao: A128
Latitude: -0.98722221
Longitude: -62.92416666
Altitude: 29.88
Situacao: Operante
Data Inicial: 2008-04-18
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;.965118;
2008-06-30;.922917;
2008-07-31;.86707;
2008-08-31;.817473;
2008-09-30;.933611;
2008-10-31;.906048;
2008-11-30;.887258;
2008-12-31;.89664;
2009-01-31;.913114;
2009-02-28;1.155587;
2009-03-31;1.060349;
2009-04-30;.995278;
2009-05-31;.939382;
2009-06-30;.944167;
2009-07-31;.85;
2009-08-31;.822715;
2009-09-30;.719028;
2009-10-31;.807176;
2009-11-30;.910139;
2009-12-31;1.302554;
2010-01-31;1.306036;
2010-02-28;1.166964;
2010-03-31;1.100672;
2010-04-30;.862917;
2010-05-31;.848521;
2010-06-30;.790417;
2010-07-31;.896102;
2010-08-31;.791878;
2010-09-30;.841111;
2010-10-31;1.016398;
2010-11-30;.961528;
2010-12-31;1;
2011-01-31;1.175134;
2011-02-28;1.061756;
2011-03-31;1.081075;
2011-04-30;.986111;
2011-05-31;.72164;
2011-06-30;.560278;
2011-07-31;.591801;
2011-08-31;.747177;
2011-09-30;.604861;
2011-10-31;.741936;
2011-11-30;.640417;
2011-12-31;.653495;
2012-01-31;.806668;
2012-02-29;.887356;
2012-03-31;.673656;
2012-04-30;.44875;
2012-05-31;.433468;
2012-06-30;.520278;
2012-07-31;.498925;
2012-08-31;.534428;
2012-09-30;.456111;
2012-10-31;.497984;
2012-11-30;.472096;
2012-12-31;.61707;
2013-01-31;.907661;
2013-02-28;.676935;
2013-03-31;.755444;
2013-04-30;.724167;
2013-05-31;.549866;
2013-06-30;null;
2013-07-31;null;
2013-08-31;.704167;
2013-09-30;null;
2013-10-31;.809812;
2013-11-30;.849861;
2013-12-31;1.116935;
2014-01-31;1.075;
2014-02-28;1.052679;
2014-03-31;.891264;
2014-04-30;.79625;
2014-05-31;.726344;
2014-06-30;.430139;
2014-07-31;.648656;
2014-08-31;.669489;
2014-09-30;.651944;
2014-10-31;.653091;
2014-11-30;.6225;
2014-12-31;.956317;
2015-01-31;.929237;
2015-02-28;.999405;
2015-03-31;.83252;
2015-04-30;.31125;
2015-05-31;.109812;
2015-06-30;.377083;
2015-07-31;.570564;
2015-08-31;.59879;
2015-09-30;.31;
2015-10-31;.39664;
2015-11-30;.758472;
2015-12-31;1.127957;
2016-01-31;1.41371;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;.946774;
2017-04-30;.995694;
2017-05-31;.711925;
2017-06-30;null;
2017-07-31;.93378;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;1.035081;
2019-01-31;1.160753;
2019-02-28;1.363885;
2019-03-31;1.161699;
2019-04-30;.985417;
2019-05-31;.751344;
2019-06-30;.704445;
2019-07-31;.741129;
2019-08-31;.712136;
2019-09-30;.763472;
2019-10-31;.894472;
2019-11-30;.886965;
2019-12-31;.851952;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;.789306;
2022-07-31;.753935;
2022-08-31;.808065;
2022-09-30;.711878;
2022-10-31;.789995;
2022-11-30;.757321;
2022-12-31;.95912;

