Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2011-08-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-08-31;null;
2011-09-30;.961012;
2011-10-31;.933871;
2011-11-30;.951667;
2011-12-31;.929301;
2012-01-31;.885484;
2012-02-29;.922845;
2012-03-31;.918414;
2012-04-30;.909444;
2012-05-31;.852285;
2012-06-30;.874306;
2012-07-31;.883199;
2012-08-31;.918568;
2012-09-30;.9575;
2012-10-31;.907124;
2012-11-30;.916944;
2012-12-31;.875941;
2013-01-31;.906183;
2013-02-28;.919048;
2013-03-31;.897861;
2013-04-30;.906389;
2013-05-31;.864113;
2013-06-30;.806124;
2013-07-31;.958725;
2013-08-31;.95457;
2013-09-30;.945694;
2013-10-31;.866532;
2013-11-30;.907917;
2013-12-31;.827419;
2014-01-31;.85457;
2014-02-28;.871577;
2014-03-31;.94086;
2014-04-30;.893349;
2014-05-31;.91885;
2014-06-30;.802361;
2014-07-31;.91112;
2014-08-31;.836752;
2014-09-30;.913194;
2014-10-31;.866532;
2014-11-30;.823194;
2014-12-31;.849462;
2015-01-31;.856761;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;.895296;
2015-11-30;.819445;
2015-12-31;.791532;
2016-01-31;null;
2016-02-29;.758929;
2016-03-31;.841801;
2016-04-30;.879444;
2016-05-31;.821102;
2016-06-30;.84505;
2016-07-31;.778763;
2016-08-31;.862366;
2016-09-30;.894444;
2016-10-31;.835723;
2016-11-30;.802917;
2016-12-31;.776478;
2017-01-31;.752016;
2017-02-28;.794223;
2017-03-31;.799328;
2017-04-30;.782083;
2017-05-31;.775134;
2017-06-30;.792222;
2017-07-31;.802016;
2017-08-31;.800742;
2017-09-30;.771528;
2017-10-31;.82957;
2017-11-30;.755417;
2017-12-31;.787097;
2018-01-31;.781855;
2018-02-28;.803274;
2018-03-31;.722984;
2018-04-30;.785139;
2018-05-31;.746371;
2018-06-30;.839722;
2018-07-31;.78172;
2018-08-31;.847984;
2018-09-30;.785139;
2018-10-31;.788844;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

