Nome: PORTO WALTER
Codigo Estacao: A136
Latitude: -8.26722221
Longitude: -72.74777777
Altitude: 205.35
Situacao: Pane
Data Inicial: 2009-10-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-10-31;null;
2009-11-30;1.660833;
2009-12-31;1.649866;
2010-01-31;1.536107;
2010-02-28;1.44989;
2010-03-31;1.300538;
2010-04-30;1.280695;
2010-05-31;1.187903;
2010-06-30;1.115278;
2010-07-31;1.234005;
2010-08-31;1.14311;
2010-09-30;1.358037;
2010-10-31;1.44422;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;1.258889;
2011-05-31;1.17597;
2011-06-30;1.141528;
2011-07-31;1.168548;
2011-08-31;1.284812;
2011-09-30;1.338735;
2011-10-31;1.373983;
2011-11-30;1.475694;
2011-12-31;1.429301;
2012-01-31;1.671505;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;1.152419;
2012-06-30;1.185;
2012-07-31;1.075941;
2012-08-31;1.193587;
2012-09-30;1.429444;
2012-10-31;1.479973;
2012-11-30;1.496443;
2012-12-31;1.371237;
2013-01-31;1.432393;
2013-02-28;1.402083;
2013-03-31;1.330778;
2013-04-30;1.2125;
2013-05-31;1.166667;
2013-06-30;null;
2013-07-31;1.19974;
2013-08-31;1.29086;
2013-09-30;1.269722;
2013-10-31;1.366263;
2013-11-30;1.377232;
2013-12-31;1.603056;
2014-01-31;1.528091;
2014-02-28;1.340431;
2014-03-31;1.314892;
2014-04-30;1.245139;
2014-05-31;1.186367;
2014-06-30;1.238124;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;1.526747;
2015-01-31;1.44156;
2015-02-28;1.374204;
2015-03-31;1.264901;
2015-04-30;1.198676;
2015-05-31;1.142502;
2015-06-30;1.043611;
2015-07-31;1.114312;
2015-08-31;1.159689;
2015-09-30;1.248472;
2015-10-31;1.328652;
2015-11-30;1.381944;
2015-12-31;1.35756;
2016-01-31;1.354547;
2016-02-29;1.301724;
2016-03-31;1.214937;
2016-04-30;1.294661;
2016-05-31;1.138979;
2016-06-30;1.331727;
2016-07-31;1.116164;
2016-08-31;1.176821;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;1.12086;
2017-10-31;1.436813;
2017-11-30;1.395942;
2017-12-31;1.570565;
2018-01-31;1.467284;
2018-02-28;1.374541;
2018-03-31;1.322984;
2018-04-30;1.290682;
2018-05-31;1.09183;
2018-06-30;1.153195;
2018-07-31;1.08871;
2018-08-31;1.154301;
2018-09-30;1.298472;
2018-10-31;1.329973;
2018-11-30;1.313333;
2018-12-31;1.536156;
2019-01-31;1.320833;
2019-02-28;1.266816;
2019-03-31;1.203898;
2019-04-30;1.235;
2019-05-31;1.137576;
2019-06-30;null;
2019-07-31;1.145296;
2019-08-31;1.232148;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;1.405401;
2020-01-31;1.48172;
2020-02-29;1.33477;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

