Nome: FEIJO
Codigo Estacao: A138
Latitude: -8.14277777
Longitude: -70.3436111
Altitude: 157.17
Situacao: Pane
Data Inicial: 2009-09-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-09-30;null;
2009-10-31;1.56319;
2009-11-30;1.452785;
2009-12-31;1.489167;
2010-01-31;1.474293;
2010-02-28;1.45506;
2010-03-31;1.443022;
2010-04-30;1.372361;
2010-05-31;1.386021;
2010-06-30;1.219813;
2010-07-31;1.494489;
2010-08-31;1.252893;
2010-09-30;1.406667;
2010-10-31;1.663038;
2010-11-30;1.457361;
2010-12-31;1.508468;
2011-01-31;1.489651;
2011-02-28;1.395536;
2011-03-31;1.317994;
2011-04-30;1.335;
2011-05-31;1.406195;
2011-06-30;1.278056;
2011-07-31;1.234882;
2011-08-31;1.413172;
2011-09-30;1.444167;
2011-10-31;1.474866;
2011-11-30;1.459752;
2011-12-31;1.381317;
2012-01-31;1.454436;
2012-02-29;1.449569;
2012-03-31;1.399807;
2012-04-30;1.355912;
2012-05-31;1.294758;
2012-06-30;1.31;
2012-07-31;1.222446;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;1.406667;
2012-12-31;1.42836;
2013-01-31;1.384677;
2013-02-28;1.50744;
2013-03-31;1.493438;
2013-04-30;1.421389;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;1.483602;
2013-09-30;1.451806;
2013-10-31;1.358871;
2013-11-30;1.478889;
2013-12-31;1.438464;
2014-01-31;1.534097;
2014-02-28;1.382589;
2014-03-31;1.420418;
2014-04-30;null;
2014-05-31;null;
2014-06-30;1.384167;
2014-07-31;1.30336;
2014-08-31;1.343843;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;1.194758;
2015-01-31;1.361027;
2015-02-28;1.500595;
2015-03-31;1.347554;
2015-04-30;1.376111;
2015-05-31;1.281305;
2015-06-30;1.150695;
2015-07-31;1.13913;
2015-08-31;1.192742;
2015-09-30;1.391667;
2015-10-31;1.563441;
2015-11-30;1.411389;
2015-12-31;1.395699;
2016-01-31;1.36312;
2016-02-29;1.411782;
2016-03-31;1.386425;
2016-04-30;1.398949;
2016-05-31;1.364895;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;1.421529;
2016-11-30;1.570972;
2016-12-31;1.484946;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;1.227361;
2017-10-31;1.396909;
2017-11-30;1.500132;
2017-12-31;1.50155;
2018-01-31;1.474059;
2018-02-28;1.379464;
2018-03-31;1.387582;
2018-04-30;1.363056;
2018-05-31;1.252428;
2018-06-30;1.277222;
2018-07-31;1.235081;
2018-08-31;1.432392;
2018-09-30;1.443472;
2018-10-31;1.353091;
2018-11-30;1.423195;
2018-12-31;1.430645;
2019-01-31;1.4137;
2019-02-28;1.409013;
2019-03-31;1.322733;
2019-04-30;1.258472;
2019-05-31;1.30121;
2019-06-30;1.164028;
2019-07-31;1.291532;
2019-08-31;1.222984;
2019-09-30;1.323611;
2019-10-31;1.381498;
2019-11-30;1.44936;
2019-12-31;1.351613;
2020-01-31;1.452957;
2020-02-29;1.367104;
2020-03-31;1.34979;
2020-04-30;1.305139;
2020-05-31;1.311022;
2020-06-30;1.131667;
2020-07-31;1.163172;
2020-08-31;1.301882;
2020-09-30;1.352222;
2020-10-31;1.435887;
2020-11-30;1.371806;
2020-12-31;1.440849;
2021-01-31;1.576648;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

