Nome: EPITACIOLANDIA
Codigo Estacao: A140
Latitude: -11.02388888
Longitude: -68.73527777
Altitude: 224.5
Situacao: Pane
Data Inicial: 2009-09-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-09-30;null;
2009-10-31;null;
2009-11-30;1.041379;
2009-12-31;null;
2010-01-31;null;
2010-02-28;1.029176;
2010-03-31;.982361;
2010-04-30;1.011856;
2010-05-31;1.057393;
2010-06-30;.877778;
2010-07-31;1.094518;
2010-08-31;1.064891;
2010-09-30;1.026806;
2010-10-31;1.082258;
2010-11-30;1.111512;
2010-12-31;1.181577;
2011-01-31;1.099132;
2011-02-28;.961653;
2011-03-31;.904302;
2011-04-30;.939306;
2011-05-31;1.040092;
2011-06-30;.899306;
2011-07-31;.996236;
2011-08-31;1.146236;
2011-09-30;1.148333;
2011-10-31;1.095565;
2011-11-30;1.004722;
2011-12-31;1.01922;
2012-01-31;1.043952;
2012-02-29;.938937;
2012-03-31;.989651;
2012-04-30;.901389;
2012-05-31;.804435;
2012-06-30;.961528;
2012-07-31;.966916;
2012-08-31;.990707;
2012-09-30;1.026111;
2012-10-31;.975134;
2012-11-30;1.037917;
2012-12-31;1.013038;
2013-01-31;1.039785;
2013-02-28;.940625;
2013-03-31;.948806;
2013-04-30;.934028;
2013-05-31;.924059;
2013-06-30;.762803;
2013-07-31;.868683;
2013-08-31;1.132258;
2013-09-30;1.050139;
2013-10-31;.982392;
2013-11-30;.991111;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;.90215;
2014-04-30;.892083;
2014-05-31;.918548;
2014-06-30;.977361;
2014-07-31;.972849;
2014-08-31;.93172;
2014-09-30;.891944;
2014-10-31;.885215;
2014-11-30;1.00125;
2014-12-31;.980914;
2015-01-31;.903664;
2015-02-28;.95372;
2015-03-31;.894581;
2015-04-30;.837917;
2015-05-31;.841935;
2015-06-30;.796667;
2015-07-31;.955278;
2015-08-31;.928226;
2015-09-30;null;
2015-10-31;null;
2015-11-30;1.008611;
2015-12-31;.909543;
2016-01-31;.891129;
2016-02-29;.882184;
2016-03-31;.938172;
2016-04-30;.968611;
2016-05-31;.946505;
2016-06-30;1.048333;
2016-07-31;.897581;
2016-08-31;1.03414;
2016-09-30;1.104861;
2016-10-31;.969852;
2016-11-30;1.045972;
2016-12-31;.991398;
2017-01-31;.951075;
2017-02-28;1.014732;
2017-03-31;.91371;
2017-04-30;1.017917;
2017-05-31;.848253;
2017-06-30;.868194;
2017-07-31;.938978;
2017-08-31;1.016801;
2017-09-30;1.0091;
2017-10-31;1.087097;
2017-11-30;.968056;
2017-12-31;1.01465;
2018-01-31;.931183;
2018-02-28;.940036;
2018-03-31;.906317;
2018-04-30;.863225;
2018-05-31;.865188;
2018-06-30;.932341;
2018-07-31;.967163;
2018-08-31;.98988;
2018-09-30;.938963;
2018-10-31;.920833;
2018-11-30;.932283;
2018-12-31;.977957;
2019-01-31;.926613;
2019-02-28;.917857;
2019-03-31;.925117;
2019-04-30;.846437;
2019-05-31;.885215;
2019-06-30;.812222;
2019-07-31;.935887;
2019-08-31;1.03724;
2019-09-30;.954438;
2019-10-31;.923387;
2019-11-30;.914444;
2019-12-31;.890188;
2020-01-31;.895161;
2020-02-29;.905204;
2020-03-31;.803316;
2020-04-30;.890106;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

