Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.302086;
2004-02-29;1.851374;
2004-03-31;1.851747;
2004-04-30;1.896514;
2004-05-31;2.20793;
2004-06-30;2.128992;
2004-07-31;2.179687;
2004-08-31;2.4723;
2004-09-30;2.92407;
2004-10-31;2.877092;
2004-11-30;3.044728;
2004-12-31;2.503893;
2005-01-31;2.222692;
2005-02-28;1.973813;
2005-03-31;1.878494;
2005-04-30;1.834948;
2005-05-31;1.768025;
2005-06-30;2.130426;
2005-07-31;2.21534;
2005-08-31;2.670924;
2005-09-30;3.193171;
2005-10-31;3.138431;
2005-11-30;3.070778;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;1.914197;
2006-04-30;1.403676;
2006-05-31;null;
2006-06-30;1.834191;
2006-07-31;2.072855;
2006-08-31;2.424368;
2006-09-30;2.842633;
2006-10-31;2.918315;
2006-11-30;2.353732;
2006-12-31;2.270717;
2007-01-31;2.163038;
2007-02-28;1.798958;
2007-03-31;1.637821;
2007-04-30;1.582337;
2007-05-31;1.689939;
2007-06-30;2.023907;
2007-07-31;2.129839;
2007-08-31;2.767796;
2007-09-30;2.869396;
2007-10-31;2.64664;
2007-11-30;2.739903;
2007-12-31;1.904704;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;1.240278;
2008-05-31;1.595395;
2008-06-30;null;
2008-07-31;1.911111;
2008-08-31;1.984543;
2008-09-30;2.167083;
2008-10-31;2.315037;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;1.611544;
2009-07-31;2.00921;
2009-08-31;2.321371;
2009-09-30;2.551806;
2009-10-31;2.404697;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;1.959589;
2010-04-30;null;
2010-05-31;1.526594;
2010-06-30;1.525762;
2010-07-31;1.853264;
2010-08-31;1.974654;
2010-09-30;2.425079;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;1.830092;
2011-07-31;1.715188;
2011-08-31;2.103629;
2011-09-30;2.327361;
2011-10-31;2.342595;
2011-11-30;2.220278;
2011-12-31;2.305306;
2012-01-31;1.906317;
2012-02-29;null;
2012-03-31;1.358409;
2012-04-30;1.460972;
2012-05-31;1.790457;
2012-06-30;1.635489;
2012-07-31;1.816532;
2012-08-31;2.15745;
2012-09-30;2.268194;
2012-10-31;2.194489;
2012-11-30;2.158056;
2012-12-31;1.663172;
2013-01-31;1.477823;
2013-02-28;1.369792;
2013-03-31;1.411083;
2013-04-30;1.225972;
2013-05-31;1.280645;
2013-06-30;1.613725;
2013-07-31;1.511693;
2013-08-31;1.737366;
2013-09-30;2.018889;
2013-10-31;2.324328;
2013-11-30;2.033611;
2013-12-31;2.032661;
2014-01-31;1.629839;
2014-02-28;1.491518;
2014-03-31;1.338978;
2014-04-30;1.138889;
2014-05-31;1.177823;
2014-06-30;1.621389;
2014-07-31;1.862769;
2014-08-31;1.911828;
2014-09-30;2.168472;
2014-10-31;2.16371;
2014-11-30;2.355139;
2014-12-31;2.546635;
2015-01-31;null;
