Nome: BALSAS
Codigo Estacao: A204
Latitude: -7.45555555
Longitude: -46.02749999
Altitude: 271.03
Situacao: Operante
Data Inicial: 2007-10-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;null;
2007-11-30;null;
2007-12-31;1.781845;
2008-01-31;1.481586;
2008-02-29;1.411063;
2008-03-31;1.369907;
2008-04-30;1.4775;
2008-05-31;1.944331;
2008-06-30;2.262802;
2008-07-31;2.54328;
2008-08-31;2.449328;
2008-09-30;2.280556;
2008-10-31;2.167473;
2008-11-30;1.691944;
2008-12-31;1.447832;
2009-01-31;1.435618;
2009-02-28;1.356818;
2009-03-31;1.09328;
2009-04-30;1.320556;
2009-05-31;1.463307;
2009-06-30;1.635;
2009-07-31;1.916263;
2009-08-31;2.185081;
2009-09-30;2.04375;
2009-10-31;1.651006;
2009-11-30;1.540695;
2009-12-31;1.541263;
2010-01-31;1.632392;
2010-02-28;1.620982;
2010-03-31;1.291667;
2010-04-30;1.334861;
2010-05-31;1.315995;
2010-06-30;1.810404;
2010-07-31;2.099866;
2010-08-31;2.365918;
2010-09-30;2.418152;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;.989657;
2011-04-30;1.130278;
2011-05-31;1.599462;
2011-06-30;1.715;
2011-07-31;1.988306;
2011-08-31;2.043952;
2011-09-30;2.283472;
2011-10-31;1.925269;
2011-11-30;1.426944;
2011-12-31;1.175538;
2012-01-31;1.136922;
2012-02-29;1.359914;
2012-03-31;1.103629;
2012-04-30;1.03875;
2012-05-31;1.293145;
2012-06-30;1.476805;
2012-07-31;2.046505;
2012-08-31;2.521697;
2012-09-30;2.127083;
2012-10-31;1.973925;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;1.261859;
2013-03-31;1.105444;
2013-04-30;1.141111;
2013-05-31;1.045699;
2013-06-30;1.13;
2013-07-31;1.654839;
2013-08-31;1.794489;
2013-09-30;1.751389;
2013-10-31;1.601882;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;.829758;
2015-04-30;.845;
2015-05-31;.376075;
2015-06-30;1.191868;
2015-07-31;1.672768;
2015-08-31;1.696055;
2015-09-30;1.553883;
2015-10-31;.793747;
2015-11-30;.149415;
2015-12-31;null;
2016-01-31;null;
2016-02-29;1.624383;
2016-03-31;1.244489;
2016-04-30;1.192083;
2016-05-31;1.218952;
2016-06-30;1.440694;
2016-07-31;1.759812;
2016-08-31;1.67836;
2016-09-30;1.579028;
2016-10-31;1.531294;
2016-11-30;1.307361;
2016-12-31;1.094624;
2017-01-31;1.002285;
2017-02-28;1.15625;
2017-03-31;1.043952;
2017-04-30;1.169167;
2017-05-31;1.238844;
2017-06-30;1.539444;
2017-07-31;1.959543;
2017-08-31;1.670968;
2017-09-30;2.256667;
2017-10-31;1.733065;
2017-11-30;1.304583;
2017-12-31;.83871;
2018-01-31;.789247;
2018-02-28;.615625;
2018-03-31;.758871;
2018-04-30;.829028;
2018-05-31;null;
2018-06-30;1.184226;
2018-07-31;1.210215;
2018-08-31;1.305914;
2018-09-30;1.171945;
2018-10-31;1.129973;
2018-11-30;1.257639;
2018-12-31;1.254704;
2019-01-31;.945699;
2019-02-28;.756399;
2019-03-31;.683468;
2019-04-30;.708889;
2019-05-31;.995161;
2019-06-30;1.436528;
2019-07-31;1.345296;
2019-08-31;1.616129;
2019-09-30;1.38375;
2019-10-31;.942607;
2019-11-30;.792639;
2019-12-31;.684978;
2020-01-31;.541532;
2020-02-29;.538649;
2020-03-31;.723656;
2020-04-30;.721806;
2020-05-31;.897464;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;1.699731;
2022-09-30;1.609306;
2022-10-31;1.531989;
2022-11-30;1.133194;
2022-12-31;1.002823;

