Nome: CHAPADINHA
Codigo Estacao: A206
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Operante
Data Inicial: 2008-09-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;2.118145;
2008-11-30;2.132222;
2008-12-31;1.841959;
2009-01-31;1.716053;
2009-02-28;1.56131;
2009-03-31;1.500806;
2009-04-30;1.295417;
2009-05-31;1.254973;
2009-06-30;1.512639;
2009-07-31;1.662097;
2009-08-31;1.942876;
2009-09-30;2.117778;
2009-10-31;2.070329;
2009-11-30;2.26125;
2009-12-31;2.171909;
2010-01-31;1.824695;
2010-02-28;1.894345;
2010-03-31;1.69785;
2010-04-30;1.459444;
2010-05-31;1.475269;
2010-06-30;1.61125;
2010-07-31;1.621237;
2010-08-31;1.724106;
2010-09-30;1.889861;
2010-10-31;1.96641;
2010-11-30;1.958333;
2010-12-31;1.76586;
2011-01-31;1.586962;
2011-02-28;1.501934;
2011-03-31;1.526213;
2011-04-30;1.415278;
2011-05-31;1.49664;
2011-06-30;1.636559;
2011-07-31;1.716398;
2011-08-31;1.909812;
2011-09-30;1.944445;
2011-10-31;1.899866;
2011-11-30;1.921451;
2011-12-31;2.112066;
2012-01-31;1.873744;
2012-02-29;1.676944;
2012-03-31;1.652659;
2012-04-30;1.724722;
2012-05-31;1.821505;
2012-06-30;1.860694;
2012-07-31;1.776882;
2012-08-31;1.874654;
2012-09-30;2.09;
2012-10-31;2.088441;
2012-11-30;2.112361;
2012-12-31;2.022043;
2013-01-31;1.806586;
2013-02-28;1.866369;
2013-03-31;1.696306;
2013-04-30;1.479444;
2013-05-31;1.504032;
2013-06-30;1.611086;
2013-07-31;1.668321;
2013-08-31;1.836022;
2013-09-30;2.214861;
2013-10-31;2.293414;
2013-11-30;2.086111;
2013-12-31;2.07621;
2014-01-31;1.881586;
2014-02-28;1.712351;
2014-03-31;1.714516;
2014-04-30;1.533333;
2014-05-31;1.431048;
2014-06-30;1.567917;
2014-07-31;null;
2014-08-31;null;
2014-09-30;2.118194;
2014-10-31;2.114516;
2014-11-30;null;
2014-12-31;null;
2015-01-31;2.03674;
2015-02-28;1.812351;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;2.237639;
2015-10-31;2.329436;
2015-11-30;2.435417;
2015-12-31;2.557392;
2016-01-31;1.786156;
2016-02-29;1.843678;
2016-03-31;1.631317;
2016-04-30;1.597917;
2016-05-31;1.763172;
2016-06-30;1.672778;
2016-07-31;1.699731;
2016-08-31;1.927957;
2016-09-30;2.124306;
2016-10-31;2.343017;
2016-11-30;2.373889;
2016-12-31;2.200672;
2017-01-31;null;
2017-02-28;null;
2017-03-31;1.579167;
2017-04-30;1.588056;
2017-05-31;1.640995;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;2.220833;
2017-12-31;2.278879;
2018-01-31;1.880242;
2018-02-28;1.551339;
2018-03-31;null;
2018-04-30;null;
2018-05-31;1.465726;
2018-06-30;1.632917;
2018-07-31;1.678763;
2018-08-31;1.938441;
2018-09-30;2.131806;
2018-10-31;2.112366;
2018-11-30;2.026528;
2018-12-31;1.63487;
2019-01-31;1.690323;
2019-02-28;1.435714;
2019-03-31;1.384274;
2019-04-30;1.370694;
2019-05-31;1.54328;
2019-06-30;1.557657;
2019-07-31;1.753869;
2019-08-31;1.929598;
2019-09-30;2.1425;
2019-10-31;2.120968;
2019-11-30;2.091528;
2019-12-31;2.082796;
2020-01-31;1.529301;
2020-02-29;1.524713;
2020-03-31;1.437018;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.4005;
2022-05-31;1.442473;
2022-06-30;1.575688;
2022-07-31;1.637903;
2022-08-31;1.78293;
2022-09-30;1.932083;
2022-10-31;2.103898;
2022-11-30;1.765278;
2022-12-31;1.786962;

