Nome: GRAJAU
Codigo Estacao: A207
Latitude: -5.81611111
Longitude: -46.16222222
Altitude: 232.29
Situacao: Operante
Data Inicial: 2008-09-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;1.728898;
2008-11-30;1.638696;
2008-12-31;1.449597;
2009-01-31;1.488429;
2009-02-28;1.4074;
2009-03-31;1.360349;
2009-04-30;1.298472;
2009-05-31;1.280242;
2009-06-30;1.610556;
2009-07-31;1.734946;
2009-08-31;1.749866;
2009-09-30;1.709028;
2009-10-31;1.626006;
2009-11-30;1.769444;
2009-12-31;1.709005;
2010-01-31;1.559922;
2010-02-28;1.544494;
2010-03-31;1.450269;
2010-04-30;1.420972;
2010-05-31;1.383333;
2010-06-30;1.674028;
2010-07-31;1.755242;
2010-08-31;1.719946;
2010-09-30;1.918889;
2010-10-31;1.72715;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.334396;
2011-04-30;1.277083;
2011-05-31;1.561022;
2011-06-30;1.60375;
2011-07-31;1.656183;
2011-08-31;1.718683;
2011-09-30;1.763889;
2011-10-31;1.690995;
2011-11-30;1.521293;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;1.310139;
2012-05-31;1.408333;
2012-06-30;1.389028;
2012-07-31;1.529839;
2012-08-31;1.791167;
2012-09-30;1.781667;
2012-10-31;1.652016;
2012-11-30;1.532361;
2012-12-31;1.390457;
2013-01-31;1.533736;
2013-02-28;1.416964;
2013-03-31;1.329333;
2013-04-30;1.297778;
2013-05-31;1.370833;
2013-06-30;1.433523;
2013-07-31;1.65;
2013-08-31;1.729973;
2013-09-30;1.745694;
2013-10-31;1.749059;
2013-11-30;1.46625;
2013-12-31;1.443952;
2014-01-31;1.474866;
2014-02-28;1.368899;
2014-03-31;1.372715;
2014-04-30;1.390695;
2014-05-31;1.511425;
2014-06-30;1.709306;
2014-07-31;1.797849;
2014-08-31;1.701747;
2014-09-30;1.733194;
2014-10-31;1.693817;
2014-11-30;1.622778;
2014-12-31;1.556452;
2015-01-31;1.368455;
2015-02-28;1.437946;
2015-03-31;1.380108;
2015-04-30;1.262361;
2015-05-31;1.459409;
2015-06-30;1.701944;
2015-07-31;1.77285;
2015-08-31;1.778049;
2015-09-30;1.766049;
2015-10-31;null;
2015-11-30;1.786389;
2015-12-31;1.822312;
2016-01-31;1.466801;
2016-02-29;1.642529;
2016-03-31;1.4;
2016-04-30;1.390833;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;1.629839;
2018-06-30;1.751528;
2018-07-31;1.696774;
2018-08-31;1.662231;
2018-09-30;1.70875;
2018-10-31;1.656452;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

