Nome: FLORESTA DO ARAGUAIA
Codigo Estacao: A208
Latitude: -7.56176
Longitude: -49.69884
Altitude: 188.09
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2009-05-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.061594;
2008-06-30;1.132548;
2008-07-31;null;
2008-08-31;1.603314;
2008-09-30;1.660139;
2008-10-31;1.670161;
2008-11-30;1.220417;
2008-12-31;1.361021;
2009-01-31;1.329704;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;

