Nome: MEDICILANDIA
Codigo Estacao: A209
Latitude: -3.51083333
Longitude: -52.96333333
Altitude: 251.68
Situacao: Operante
Data Inicial: 2008-02-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;
2008-03-31;.925772;
2008-04-30;.780972;
2008-05-31;.759005;
2008-06-30;null;
2008-07-31;null;
2008-08-31;.942608;
2008-09-30;1.032917;
2008-10-31;1.072177;
2008-11-30;1.042083;
2008-12-31;.830511;
2009-01-31;.8625;
2009-02-28;.840855;
2009-03-31;.831855;
2009-04-30;.829306;
2009-05-31;.778629;
2009-06-30;.831528;
2009-07-31;.805376;
2009-08-31;.979435;
2009-09-30;1.091389;
2009-10-31;1.036782;
2009-11-30;1.062361;
2009-12-31;1.033871;
2010-01-31;.864553;
2010-02-28;.967411;
2010-03-31;.854839;
2010-04-30;.708472;
2010-05-31;.66371;
2010-06-30;.890694;
2010-07-31;.721909;
2010-08-31;.764626;
2010-09-30;.917917;
2010-10-31;1.000941;
2010-11-30;.828472;
2010-12-31;.694489;
2011-01-31;.633871;
2011-02-28;.745089;
2011-03-31;.668323;
2011-04-30;.533056;
2011-05-31;.591667;
2011-06-30;.759444;
2011-07-31;.898253;
2011-08-31;.781317;
2011-09-30;.859722;
2011-10-31;.860215;
2011-11-30;.888611;
2011-12-31;.910215;
2012-01-31;.782527;
2012-02-29;.600718;
2012-03-31;.653898;
2012-04-30;.525833;
2012-05-31;.472715;
2012-06-30;.454861;
2012-07-31;.60578;
2012-08-31;.830031;
2012-09-30;.793056;
2012-10-31;.709946;
2012-11-30;.752361;
2012-12-31;.584409;
2013-01-31;.558333;
2013-02-28;.530506;
2013-03-31;.436056;
2013-04-30;.425;
2013-05-31;.306586;
2013-06-30;.473914;
2013-07-31;.43629;
2013-08-31;.427285;
2013-09-30;.492778;
2013-10-31;.531586;
2013-11-30;.443333;
2013-12-31;.456855;
2014-01-31;.504167;
2014-02-28;.438095;
2014-03-31;.419758;
2014-04-30;.39125;
2014-05-31;.327688;
2014-06-30;.41375;
2014-07-31;.5125;
2014-08-31;.55336;
2014-09-30;.576528;
2014-10-31;.587231;
2014-11-30;.51375;
2014-12-31;.563844;
2015-01-31;.594355;
2015-02-28;.536607;
2015-03-31;.468952;
2015-04-30;.444306;
2015-05-31;.341532;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;.560139;
2015-10-31;.593683;
2015-11-30;.613472;
2015-12-31;.7125;
2016-01-31;.625941;
2016-02-29;.755316;
2016-03-31;.391801;
2016-04-30;.336528;
2016-05-31;.298656;
2016-06-30;.431726;
2016-07-31;null;
2016-08-31;.486328;
2016-09-30;.445556;
2016-10-31;.474942;
2016-11-30;.443194;
2016-12-31;.411425;
2017-01-31;.372849;
2017-02-28;.317411;
2017-03-31;.269892;
2017-04-30;.255972;
2017-05-31;.281405;
2017-06-30;null;
2017-07-31;null;
2017-08-31;.432392;
2017-09-30;.533472;
2017-10-31;.584005;
2017-11-30;.586111;
2017-12-31;.483199;
2018-01-31;.384543;
2018-02-28;.306696;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;.341123;
2018-09-30;.354547;
2018-10-31;.393145;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;.401344;
2019-09-30;.362083;
2019-10-31;.277554;
2019-11-30;.283333;
2019-12-31;.244355;
2020-01-31;.2375;
2020-02-29;.255891;
2020-03-31;.224866;
2020-04-30;.203472;
2020-05-31;.258064;
2020-06-30;.424722;
2020-07-31;.648522;
2020-08-31;.879839;
2020-09-30;.906806;
2020-10-31;1.118145;
2020-11-30;.852923;
2020-12-31;.889982;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;.538038;
2022-08-31;.664516;
2022-09-30;.977222;
2022-10-31;.797177;
2022-11-30;.663611;
2022-12-31;.595296;

