Nome: PLACAS
Codigo Estacao: A211
Latitude: -3.86416666
Longitude: -54.21638888
Altitude: 100.45
Situacao: Operante
Data Inicial: 2008-02-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;
2008-03-31;.845525;
2008-04-30;.742917;
2008-05-31;.700806;
2008-06-30;.954595;
2008-07-31;1.008737;
2008-08-31;.975941;
2008-09-30;.991528;
2008-10-31;.824328;
2008-11-30;.952083;
2008-12-31;.797177;
2009-01-31;.903407;
2009-02-28;.93497;
2009-03-31;.922581;
2009-04-30;.7425;
2009-05-31;.871505;
2009-06-30;1.027222;
2009-07-31;1.065591;
2009-08-31;1.164247;
2009-09-30;1.230556;
2009-10-31;1.113218;
2009-11-30;1.115278;
2009-12-31;1.214785;
2010-01-31;1.109677;
2010-02-28;1.138244;
2010-03-31;1.212903;
2010-04-30;.871528;
2010-05-31;.861425;
2010-06-30;.807917;
2010-07-31;.926613;
2010-08-31;.860918;
2010-09-30;1.000417;
2010-10-31;1.126023;
2010-11-30;.896806;
2010-12-31;.867742;
2011-01-31;.888333;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;.89892;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;.786156;
2012-04-30;.625278;
2012-05-31;.773925;
2012-06-30;.755556;
2012-07-31;.694893;
2012-08-31;.813111;
2012-09-30;.967778;
2012-10-31;.852554;
2012-11-30;.845694;
2012-12-31;.87379;
2013-01-31;.906586;
2013-02-28;.937283;
2013-03-31;.816512;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;.494892;
2013-08-31;.614516;
2013-09-30;.689167;
2013-10-31;.690054;
2013-11-30;.660417;
2013-12-31;.627151;
2014-01-31;.702688;
2014-02-28;.577083;
2014-03-31;.653763;
2014-04-30;.573194;
2014-05-31;.486828;
2014-06-30;.67442;
2014-07-31;null;
2014-08-31;null;
2014-09-30;.919828;
2014-10-31;.891667;
2014-11-30;.74;
2014-12-31;.899328;
2015-01-31;.856381;
2015-02-28;.847917;
2015-03-31;.678898;
2015-04-30;.772639;
2015-05-31;.619086;
2015-06-30;.720139;
2015-07-31;.693817;
2015-08-31;.916129;
2015-09-30;.972083;
2015-10-31;1.018011;
2015-11-30;.879306;
2015-12-31;1.052419;
2016-01-31;1.021505;
2016-02-29;.847558;
2016-03-31;.572984;
2016-04-30;.746667;
2016-05-31;.853226;
2016-06-30;.85875;
2016-07-31;.878226;
2016-08-31;1.043952;
2016-09-30;null;
2016-10-31;.844612;
2016-11-30;.789722;
2016-12-31;.64086;
2017-01-31;.493011;
2017-02-28;.42753;
2017-03-31;.514516;
2017-04-30;.434583;
2017-05-31;.532661;
2017-06-30;.642639;
2017-07-31;.722984;
2017-08-31;.890323;
2017-09-30;1.017083;
2017-10-31;.972715;
2017-11-30;.830278;
2017-12-31;.679435;
2018-01-31;.559409;
2018-02-28;.372321;
2018-03-31;.543414;
2018-04-30;.403472;
2018-05-31;.457392;
2018-06-30;.58625;
2018-07-31;.552957;
2018-08-31;.641082;
2018-09-30;.640139;
2018-10-31;.781933;
2018-11-30;.722613;
2018-12-31;.489943;
2019-01-31;.443286;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;.64548;
2019-09-30;.740139;
2019-10-31;.568952;
2019-11-30;.564583;
2019-12-31;.628629;
2020-01-31;.632661;
2020-02-29;.578736;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;.914785;
2022-08-31;.867742;
2022-09-30;.889444;
2022-10-31;.670564;
2022-11-30;.721806;
2022-12-31;.801479;

