Nome: RONDON DO PARA
Codigo Estacao: A214
Latitude: -4.82749999
Longitude: -48.1736111
Altitude: 203
Situacao: Operante
Data Inicial: 2008-04-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.389101;
2008-06-30;1.501443;
2008-07-31;1.770296;
2008-08-31;1.738575;
2008-09-30;1.850139;
2008-10-31;1.80793;
2008-11-30;1.560556;
2008-12-31;1.334408;
2009-01-31;1.436454;
2009-02-28;1.434781;
2009-03-31;1.365323;
2009-04-30;1.416944;
2009-05-31;1.232796;
2009-06-30;1.494722;
2009-07-31;1.631855;
2009-08-31;1.81922;
2009-09-30;1.839583;
2009-10-31;1.798677;
2009-11-30;1.89625;
2009-12-31;1.70457;
2010-01-31;1.598214;
2010-02-28;1.669196;
2010-03-31;1.261559;
2010-04-30;1.016111;
2010-05-31;1.002957;
2010-06-30;1.244028;
2010-07-31;1.353091;
2010-08-31;1.441286;
2010-09-30;1.594861;
2010-10-31;1.464516;
2010-11-30;1.196528;
2010-12-31;1.087946;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.042117;
2011-04-30;.940139;
2011-05-31;1.143145;
2011-06-30;1.362639;
2011-07-31;1.41922;
2011-08-31;1.415726;
2011-09-30;1.614306;
2011-10-31;1.472177;
2011-11-30;1.297778;
2011-12-31;1.370565;
2012-01-31;1.326508;
2012-02-29;1.246121;
2012-03-31;1.192742;
2012-04-30;1.121806;
2012-05-31;1.156855;
2012-06-30;1.16875;
2012-07-31;1.246237;
2012-08-31;1.43798;
2012-09-30;1.609722;
2012-10-31;1.503898;
2012-11-30;1.342083;
2012-12-31;1.210887;
2013-01-31;1.129032;
2013-02-28;1.208025;
2013-03-31;1.232861;
2013-04-30;1.045139;
2013-05-31;.999194;
2013-06-30;1.064811;
2013-07-31;1.13629;
2013-08-31;1.250403;
2013-09-30;1.538889;
2013-10-31;1.495833;
2013-11-30;1.319028;
2013-12-31;1.262634;
2014-01-31;1.268414;
2014-02-28;1.123512;
2014-03-31;1.227419;
2014-04-30;1.114444;
2014-05-31;1.035753;
2014-06-30;1.126389;
2014-07-31;1.26371;
2014-08-31;1.612769;
2014-09-30;1.69875;
2014-10-31;1.423925;
2014-11-30;1.243056;
2014-12-31;1.145833;
2015-01-31;1.055955;
2015-02-28;1.027679;
2015-03-31;.947715;
2015-04-30;.945972;
2015-05-31;.890726;
2015-06-30;.930278;
2015-07-31;.951075;
2015-08-31;.645833;
2015-09-30;.795;
2015-10-31;.830107;
2015-11-30;.582222;
2015-12-31;.868817;
2016-01-31;.300672;
2016-02-29;.685393;
2016-03-31;.400372;
2016-04-30;null;
2016-05-31;.367473;
2016-06-30;1.122778;
2016-07-31;1.14207;
2016-08-31;1.267742;
2016-09-30;.648889;
2016-10-31;.23258;
2016-11-30;.31;
2016-12-31;1.066263;
2017-01-31;.954028;
2017-02-28;null;
2017-03-31;.989919;
2017-04-30;.951944;
2017-05-31;1.052232;
2017-06-30;1.636389;
2017-07-31;1.938441;
2017-08-31;1.641264;
2017-09-30;1.838194;
2017-10-31;1.904839;
2017-11-30;1.57375;
2017-12-31;1.444086;
2018-01-31;1.421818;
2018-02-28;null;
2018-03-31;1.227833;
2018-04-30;1.007222;
2018-05-31;.792204;
2018-06-30;null;
2018-07-31;null;
2018-08-31;1.174059;
2018-09-30;1.129861;
2018-10-31;1.020027;
2018-11-30;1.116528;
2018-12-31;.938172;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;.87125;
2019-05-31;.920296;
2019-06-30;1.424306;
2019-07-31;1.372177;
2019-08-31;1.535753;
2019-09-30;1.531528;
2019-10-31;1.402957;
2019-11-30;1.264167;
2019-12-31;1.370296;
2020-01-31;1.315726;
2020-02-29;1.248276;
2020-03-31;1.255645;
2020-04-30;1.236667;
2020-05-31;1.17836;
2020-06-30;1.484167;
2020-07-31;1.751613;
2020-08-31;1.798925;
2020-09-30;1.906945;
2020-10-31;1.869489;
2020-11-30;1.4825;
2020-12-31;1.381048;
2021-01-31;1.288307;
2021-02-28;1.383333;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

