Nome: SAO FELIX DO XINGU
Codigo Estacao: A216
Latitude: -6.63972221
Longitude: -51.95694444
Altitude: 211
Situacao: Pane
Data Inicial: 2016-11-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;null;
2016-12-31;1.440591;
2017-01-31;1.539516;
2017-02-28;1.688393;
2017-03-31;1.612903;
2017-04-30;1.400966;
2017-05-31;1.429623;
2017-06-30;1.657222;
2017-07-31;2.092204;
2017-08-31;1.760081;
2017-09-30;1.830278;
2017-10-31;1.976882;
2017-11-30;1.623333;
2017-12-31;1.530511;
2018-01-31;1.515485;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;1.393056;
2018-06-30;1.540417;
2018-07-31;1.60578;
2018-08-31;1.620161;
2018-09-30;1.632917;
2018-10-31;1.547715;
2018-11-30;1.443472;
2018-12-31;1.461425;
2019-01-31;1.466532;
2019-02-28;1.481994;
2019-03-31;1.523387;
2019-04-30;1.378889;
2019-05-31;1.363306;
2019-06-30;1.553472;
2019-07-31;1.629301;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;1.574;
2020-01-31;1.673522;
2020-02-29;1.559626;
2020-03-31;1.800672;
2020-04-30;1.63125;
2020-05-31;1.604839;
2020-06-30;1.683642;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;1.659274;
2021-02-28;1.6;
2021-03-31;1.572177;
2021-04-30;1.447639;
2021-05-31;1.51828;
2021-06-30;1.528333;
2021-07-31;1.818414;
2021-08-31;1.885081;
2021-09-30;1.709195;
2021-10-31;1.693952;
2021-11-30;1.660139;
2021-12-31;1.640995;
2022-01-31;1.627554;
2022-02-28;1.637649;
2022-03-31;1.545027;
2022-04-30;1.540417;
2022-05-31;1.548253;
2022-06-30;1.555556;
2022-07-31;1.913137;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

