Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Operante
Data Inicial: 2008-11-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-11-30;null;
2008-12-31;3.827577;
2009-01-31;3.328179;
2009-02-28;2.715901;
2009-03-31;2.291532;
2009-04-30;1.807778;
2009-05-31;1.564651;
2009-06-30;2.255694;
2009-07-31;3.273253;
2009-08-31;4.026344;
2009-09-30;4.813611;
2009-10-31;4.289224;
2009-11-30;4.816528;
2009-12-31;4.238038;
2010-01-31;3.38654;
2010-02-28;4.114732;
2010-03-31;3.208737;
2010-04-30;2.608611;
2010-05-31;2.851075;
2010-06-30;2.515833;
2010-07-31;3.049059;
2010-08-31;4.121848;
2010-09-30;4.677222;
2010-10-31;4.006317;
2010-11-30;4.330972;
2010-12-31;3.501478;
2011-01-31;2.917607;
2011-02-28;2.675744;
2011-03-31;2.433569;
2011-04-30;2.094028;
2011-05-31;1.990457;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;4.319306;
2011-10-31;4.232392;
2011-11-30;4.294583;
2011-12-31;4.471102;
2012-01-31;3.940977;
2012-02-29;3.232615;
2012-03-31;3.134812;
2012-04-30;3.248333;
2012-05-31;3.748253;
2012-06-30;3.504063;
2012-07-31;3.929167;
2012-08-31;4.153591;
2012-09-30;4.7275;
2012-10-31;5.080511;
2012-11-30;4.324167;
2012-12-31;4.328226;
2013-01-31;3.597312;
2013-02-28;3.847173;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;3.175429;
2013-07-31;3.30793;
2013-08-31;4.242742;
2013-09-30;4.894722;
2013-10-31;4.946774;
2013-11-30;4.829861;
2013-12-31;4.481317;
2014-01-31;3.680645;
2014-02-28;3.375149;
2014-03-31;3.233737;
2014-04-30;2.763194;
2014-05-31;2.40914;
2014-06-30;3.578889;
2014-07-31;4.163995;
2014-08-31;4.526478;
2014-09-30;5.075;
2014-10-31;5.284005;
2014-11-30;4.71875;
2014-12-31;4.169489;
2015-01-31;3.409537;
2015-02-28;2.30506;
2015-03-31;1.788441;
2015-04-30;1.434167;
2015-05-31;2.617608;
2015-06-30;2.696806;
2015-07-31;3.727016;
2015-08-31;4.467876;
2015-09-30;5.265;
2015-10-31;5.393101;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;3.700694;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;4.601075;
2017-01-31;3.880645;
2017-02-28;2.735417;
2017-03-31;2.148118;
2017-04-30;2.230278;
2017-05-31;2.731317;
2017-06-30;2.711944;
2017-07-31;1.52043;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;0;
2017-12-31;0;
2018-01-31;0;
2018-02-28;0;
2018-03-31;null;
2018-04-30;null;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;0;
2018-11-30;0;
2018-12-31;0;
2019-01-31;0;
2019-02-28;0;
2019-03-31;0;
2019-04-30;0;
2019-05-31;0;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;0;
2019-10-31;0;
2019-11-30;0;
2019-12-31;0;
2020-01-31;0;
2020-02-29;0;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

