Nome: TURIACU
Codigo Estacao: A219
Latitude: -1.66111111
Longitude: -45.37249999
Altitude: 35.86
Situacao: Pane
Data Inicial: 2008-06-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;2.224731;
2008-08-31;3.142204;
2008-09-30;3.624444;
2008-10-31;3.977419;
2008-11-30;3.942778;
2008-12-31;3.50215;
2009-01-31;2.992269;
2009-02-28;2.282346;
2009-03-31;2.242339;
2009-04-30;1.991111;
2009-05-31;1.501075;
2009-06-30;1.990972;
2009-07-31;2.478226;
2009-08-31;3.110618;
2009-09-30;3.845;
2009-10-31;3.791236;
2009-11-30;4.013333;
2009-12-31;3.701478;
2010-01-31;2.756048;
2010-02-28;3.013244;
2010-03-31;2.732527;
2010-04-30;1.409306;
2010-05-31;1.620833;
2010-06-30;1.513889;
2010-07-31;1.631048;
2010-08-31;2.564994;
2010-09-30;3.287488;
2010-10-31;3.285215;
2010-11-30;2.392639;
2010-12-31;2.347581;
2011-01-31;1.726075;
2011-02-28;1.201637;
2011-03-31;1.235298;
2011-04-30;1.228333;
2011-05-31;.877823;
2011-06-30;1.340278;
2011-07-31;1.873925;
2011-08-31;2.469624;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;3.672581;
2012-01-31;3.408065;
2012-02-29;2.754885;
2012-03-31;2.661559;
2012-04-30;2.859861;
2012-05-31;2.895833;
2012-06-30;2.749028;
2012-07-31;2.754301;
2012-08-31;3.119393;
2012-09-30;3.74375;
2012-10-31;3.851882;
2012-11-30;3.884445;
2012-12-31;3.694086;
2013-01-31;3.68293;
2013-02-28;3.304911;
2013-03-31;3.423194;
2013-04-30;2.607917;
2013-05-31;1.963979;
2013-06-30;2.37048;
2013-07-31;2.120296;
2013-08-31;3.121237;
2013-09-30;3.55125;
2013-10-31;2.969489;
2013-11-30;1.851667;
2013-12-31;1.653763;
2014-01-31;1.62836;
2014-02-28;1.108929;
2014-03-31;1.116801;
2014-04-30;.693472;
2014-05-31;.73871;
2014-06-30;.647083;
2014-07-31;.68172;
2014-08-31;.266129;
2014-09-30;.824583;
2014-10-31;.994624;
2014-11-30;1.334583;
2014-12-31;1.325941;
2015-01-31;1.646745;
2015-02-28;1.165327;
2015-03-31;.602419;
2015-04-30;.600695;
2015-05-31;.250672;
2015-06-30;.291111;
2015-07-31;.384812;
2015-08-31;.588038;
2015-09-30;1.202083;
2015-10-31;1.479167;
2015-11-30;1.677006;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;2.645699;
2016-04-30;2.371667;
2016-05-31;2.48078;
2016-06-30;2.324167;
2016-07-31;2.475;
2016-08-31;3.042204;
2016-09-30;3.548055;
2016-10-31;3.554897;
2016-11-30;3.62875;
2016-12-31;3.364516;
2017-01-31;2.721505;
2017-02-28;2.49122;
2017-03-31;1.903763;
2017-04-30;1.994444;
2017-05-31;2.014247;
2017-06-30;1.821389;
2017-07-31;1.794086;
2017-08-31;2.919758;
2017-09-30;3.195833;
2017-10-31;3.574866;
2017-11-30;3.43125;
2017-12-31;3.244086;
2018-01-31;2.799328;
2018-02-28;2.214583;
2018-03-31;2.627361;
2018-04-30;1.562202;
2018-05-31;1.846909;
2018-06-30;1.921167;
2018-07-31;2.206317;
2018-08-31;2.860887;
2018-09-30;3.229583;
2018-10-31;3.324194;
2018-11-30;3.314444;
2018-12-31;2.261156;
2019-01-31;2.527285;
2019-02-28;2.141518;
2019-03-31;1.898118;
2019-04-30;1.741667;
2019-05-31;1.725538;
2019-06-30;1.718195;
2019-07-31;1.943817;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;3.159167;
2019-12-31;3.507161;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.468781;
2022-05-31;1.377016;
2022-06-30;1.488851;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

