Nome: ALTO PARNAIBA
Codigo Estacao: A223
Latitude: -9.10833333
Longitude: -45.93194443
Altitude: 283.69
Situacao: Operante
Data Inicial: 2008-06-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;1.252439;
2008-07-31;1.34543;
2008-08-31;1.262769;
2008-09-30;1.194028;
2008-10-31;1.385081;
2008-11-30;.965417;
2008-12-31;.914516;
2009-01-31;.910122;
2009-02-28;.750541;
2009-03-31;.6911;
2009-04-30;.71875;
2009-05-31;.834508;
2009-06-30;1.067083;
2009-07-31;1.102016;
2009-08-31;1.136425;
2009-09-30;1.023611;
2009-10-31;.865086;
2009-11-30;.959583;
2009-12-31;.933871;
2010-01-31;.910292;
2010-02-28;1.033185;
2010-03-31;.885972;
2010-04-30;null;
2010-05-31;.853091;
2010-06-30;1.252917;
2010-07-31;1.452823;
2010-08-31;1.299819;
2010-09-30;1.455417;
2010-10-31;.959274;
2010-11-30;.917639;
2010-12-31;.847312;
2011-01-31;.843952;
2011-02-28;.722917;
2011-03-31;.74336;
2011-04-30;.829444;
2011-05-31;.932258;
2011-06-30;.973056;
2011-07-31;1.150672;
2011-08-31;.989516;
2011-09-30;1.201667;
2011-10-31;1.070699;
2011-11-30;null;
2011-12-31;.878898;
2012-01-31;.813172;
2012-02-29;.75158;
2012-03-31;.62621;
2012-04-30;.657778;
2012-05-31;.789919;
2012-06-30;.737917;
2012-07-31;1.040995;
2012-08-31;1.562231;
2012-09-30;1.205556;
2012-10-31;1.095296;
2012-11-30;.814722;
2012-12-31;.745027;
2013-01-31;.791801;
2013-02-28;.754018;
2013-03-31;.679028;
2013-04-30;.633056;
2013-05-31;.728764;
2013-06-30;.776476;
2013-07-31;.972849;
2013-08-31;.997849;
2013-09-30;1.092083;
2013-10-31;null;
2013-11-30;null;
2013-12-31;.882393;
2014-01-31;.834812;
2014-02-28;.866369;
2014-03-31;.75672;
2014-04-30;.695694;
2014-05-31;.841129;
2014-06-30;1.045676;
2014-07-31;1.250403;
2014-08-31;1.249462;
2014-09-30;1.12875;
2014-10-31;1.329839;
2014-11-30;.887518;
2014-12-31;.963306;
2015-01-31;.899182;
2015-02-28;.894494;
2015-03-31;.639516;
2015-04-30;.725139;
2015-05-31;.979839;
2015-06-30;1.140833;
2015-07-31;1.302151;
2015-08-31;1.338575;
2015-09-30;1.014444;
2015-10-31;1.255914;
2015-11-30;1.013333;
2015-12-31;1.086559;
2016-01-31;.830107;
2016-02-29;1.030891;
2016-03-31;.67836;
2016-04-30;.720694;
2016-05-31;.718145;
2016-06-30;1.096667;
2016-07-31;1.186559;
2016-08-31;1.046909;
2016-09-30;1.010139;
2016-10-31;1.14889;
2016-11-30;.948195;
2016-12-31;.776882;
2017-01-31;.581855;
2017-02-28;.701339;
2017-03-31;.668011;
2017-04-30;.647917;
2017-05-31;.560753;
2017-06-30;.852917;
2017-07-31;1.222984;
2017-08-31;.949194;
2017-09-30;1.645972;
2017-10-31;1.06586;
2017-11-30;.842917;
2017-12-31;.854704;
2018-01-31;.862097;
2018-02-28;.803571;
2018-03-31;.772312;
2018-04-30;.862639;
2018-05-31;1.135081;
2018-06-30;1.129861;
2018-07-31;1.081855;
2018-08-31;1.008468;
2018-09-30;.834861;
2018-10-31;.791532;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;1.232222;
2019-07-31;.959543;
2019-08-31;1.243145;
2019-09-30;.935695;
2019-10-31;.87957;
2019-11-30;.727361;
2019-12-31;1.033468;
2020-01-31;.700134;
2020-02-29;.690086;
2020-03-31;.763441;
2020-04-30;.808611;
2020-05-31;.762231;
2020-06-30;.995;
2020-07-31;1.049462;
2020-08-31;.928091;
2020-09-30;1.006945;
2020-10-31;.773118;
2020-11-30;.911945;
2020-12-31;.837903;
2021-01-31;.857796;
2021-02-28;.805655;
2021-03-31;.741532;
2021-04-30;.644861;
2021-05-31;.850806;
2021-06-30;.704861;
2021-07-31;.881183;
2021-08-31;1.036265;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;1.214113;
2022-09-30;.880139;
2022-10-31;.98128;
2022-11-30;null;
2022-12-31;null;

