Nome: ESTREITO
Codigo Estacao: A224
Latitude: -6.65333333
Longitude: -47.41833332
Altitude: 182.96
Situacao: Operante
Data Inicial: 2008-02-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;
2008-03-31;1.126698;
2008-04-30;.976389;
2008-05-31;1.220506;
2008-06-30;1.486225;
2008-07-31;1.746371;
2008-08-31;1.630511;
2008-09-30;1.584324;
2008-10-31;1.450806;
2008-11-30;1.301727;
2008-12-31;1.19422;
2009-01-31;1.277332;
2009-02-28;1.244156;
2009-03-31;1.041398;
2009-04-30;1.059167;
2009-05-31;1.085887;
2009-06-30;1.331944;
2009-07-31;1.27379;
2009-08-31;1.39422;
2009-09-30;1.309722;
2009-10-31;1.255604;
2009-11-30;1.217917;
2009-12-31;1.205376;
2010-01-31;1.115481;
2010-02-28;1.083929;
2010-03-31;.931989;
2010-04-30;1.103333;
2010-05-31;.763978;
2010-06-30;1.25625;
2010-07-31;1.487097;
2010-08-31;1.560688;
2010-09-30;1.524861;
2010-10-31;1.399194;
2010-11-30;1.178056;
2010-12-31;1.048521;
2011-01-31;.960753;
2011-02-28;.895685;
2011-03-31;.845242;
2011-04-30;.790556;
2011-05-31;.339651;
2011-06-30;.675417;
2011-07-31;1.283737;
2011-08-31;1.310349;
2011-09-30;1.494583;
2011-10-31;1.443683;
2011-11-30;1.125417;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;1.015278;
2012-05-31;1.140188;
2012-06-30;1.039583;
2012-07-31;1.26922;
2012-08-31;1.779359;
2012-09-30;1.295157;
2012-10-31;1.103495;
2012-11-30;1.049583;
2012-12-31;1.123387;
2013-01-31;1.275403;
2013-02-28;1.116071;
2013-03-31;1.000472;
2013-04-30;1.018055;
2013-05-31;1.122043;
2013-06-30;1.148574;
2013-07-31;1.287366;
2013-08-31;1.363978;
2013-09-30;1.309306;
2013-10-31;1.525;
2013-11-30;1.135;
2013-12-31;1.06084;
2014-01-31;.935753;
2014-02-28;.773214;
2014-03-31;.923656;
2014-04-30;.75788;
2014-05-31;.77912;
2014-06-30;1.066824;
2014-07-31;1.230329;
2014-08-31;1.393548;
2014-09-30;1.380411;
2014-10-31;1.133725;
2014-11-30;1.051111;
2014-12-31;.84386;
2015-01-31;.764388;
2015-02-28;.792113;
2015-03-31;.641994;
2015-04-30;.557778;
2015-05-31;.648253;
2015-06-30;.966515;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;.808883;
2015-12-31;.754769;
2016-01-31;.745507;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;.983871;
2016-06-30;1.429306;
2016-07-31;1.753226;
2016-08-31;1.636828;
2016-09-30;1.528889;
2016-10-31;1.357568;
2016-11-30;1.240278;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;.756048;
2017-04-30;.608611;
2017-05-31;.884677;
2017-06-30;1.349583;
2017-07-31;1.811828;
2017-08-31;1.281317;
2017-09-30;1.823194;
2017-10-31;1.271774;
2017-11-30;.999028;
2017-12-31;.816398;
2018-01-31;.686156;
2018-02-28;.807738;
2018-03-31;.721909;
2018-04-30;.637083;
2018-05-31;.822043;
2018-06-30;1.150556;
2018-07-31;1.222434;
2018-08-31;null;
2018-09-30;null;
2018-10-31;1.019892;
2018-11-30;.922639;
2018-12-31;.75914;
2019-01-31;.713978;
2019-02-28;.672917;
2019-03-31;.722984;
2019-04-30;.638333;
2019-05-31;.707527;
2019-06-30;1.204722;
2019-07-31;1.335753;
2019-08-31;1.497043;
2019-09-30;1.297361;
2019-10-31;1.120968;
2019-11-30;1.031806;
2019-12-31;1.141398;
2020-01-31;.942473;
2020-02-29;.745546;
2020-03-31;.703226;
2020-04-30;.643056;
2020-05-31;.774059;
2020-06-30;1.270139;
2020-07-31;1.324866;
2020-08-31;1.425;
2020-09-30;1.303194;
2020-10-31;.797581;
2020-11-30;.671444;
2020-12-31;.51371;
2021-01-31;.5625;
2021-02-28;.678869;
2021-03-31;.721505;
2021-04-30;.628611;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;1.386425;
2022-09-30;1.234444;
2022-10-31;1.023656;
2022-11-30;1.017778;
2022-12-31;.747312;

