Nome: BRAGANCA
Codigo Estacao: A226
Latitude: -1.04722221
Longitude: -46.78583333
Altitude: 41
Situacao: Operante
Data Inicial: 2008-03-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;1.405833;
2008-05-31;1.559274;
2008-06-30;1.662675;
2008-07-31;1.832124;
2008-08-31;2.125134;
2008-09-30;2.448611;
2008-10-31;2.614516;
2008-11-30;2.252917;
2008-12-31;2.056855;
2009-01-31;1.620138;
2009-02-28;.874916;
2009-03-31;.771505;
2009-04-30;.399167;
2009-05-31;.076882;
2009-06-30;.229444;
2009-07-31;.063575;
2009-08-31;.125;
2009-09-30;.324861;
2009-10-31;.220402;
2009-11-30;.374861;
2009-12-31;.392608;
2010-01-31;.100073;
2010-02-28;.233185;
2010-03-31;.179289;
2010-04-30;.037083;
2010-05-31;.041398;
2010-06-30;.047639;
2010-07-31;.051613;
2010-08-31;.588441;
2010-09-30;1.836944;
2010-10-31;1.777285;
2010-11-30;1.800695;
2010-12-31;.971774;
2011-01-31;1.523118;
2011-02-28;6.48497;
2011-03-31;1.412901;
2011-04-30;1.357361;
2011-05-31;1.532392;
2011-06-30;1.653031;
2011-07-31;1.759274;
2011-08-31;2.059812;
2011-09-30;2.367917;
2011-10-31;2.1831;
2011-11-30;2.371796;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;1.408404;
2012-04-30;1.527494;
2012-05-31;null;
2012-06-30;null;
2012-07-31;1.952675;
2012-08-31;2.121275;
2012-09-30;2.384287;
2012-10-31;2.60457;
2012-11-30;2.12997;
2012-12-31;2.083514;
2013-01-31;1.692473;
2013-02-28;1.740017;
2013-03-31;1.548556;
2013-04-30;1.308708;
2013-05-31;1.442473;
2013-06-30;1.589956;
2013-07-31;1.60104;
2013-08-31;1.827232;
2013-09-30;2.377222;
2013-10-31;2.342362;
2013-11-30;2.250809;
2013-12-31;2.138926;
2014-01-31;1.614785;
2014-02-28;1.356399;
2014-03-31;1.254885;
2014-04-30;.951449;
2014-05-31;.939423;
2014-06-30;1.413985;
2014-07-31;1.648206;
2014-08-31;2.105078;
2014-09-30;2.078333;
2014-10-31;1.989516;
2014-11-30;1.984167;
2014-12-31;2.204973;
2015-01-31;1.512634;
2015-02-28;1.415916;
2015-03-31;.953682;
2015-04-30;1.104861;
2015-05-31;1.282661;
2015-06-30;.687778;
2015-07-31;.000134;
2015-08-31;0;
2015-09-30;.852778;
2015-10-31;2.206709;
2015-11-30;1.965278;
2015-12-31;2.188978;
2016-01-31;1.482563;
2016-02-29;null;
2016-03-31;null;
2016-04-30;1.340778;
2016-05-31;null;
2016-06-30;null;
2016-07-31;1.115767;
2016-08-31;1.621371;
2016-09-30;1.722083;
2016-10-31;1.942473;
2016-11-30;2.234499;
2016-12-31;1.424994;
2017-01-31;.95;
2017-02-28;.956548;
2017-03-31;.703091;
2017-04-30;.705103;
2017-05-31;.935753;
2017-06-30;1.088333;
2017-07-31;1.231317;
2017-08-31;1.760747;
2017-09-30;2.705139;
2017-10-31;2.778763;
2017-11-30;2.436944;
2017-12-31;2.189247;
2018-01-31;1.719758;
2018-02-28;1.414583;
2018-03-31;1.537769;
2018-04-30;1.039306;
2018-05-31;.971336;
2018-06-30;1.578671;
2018-07-31;1.632661;
2018-08-31;1.61371;
2018-09-30;2.099783;
2018-10-31;2.004377;
2018-11-30;2.061667;
2018-12-31;1.262634;
2019-01-31;null;
2019-02-28;.811309;
2019-03-31;.82957;
2019-04-30;.642639;
2019-05-31;.952554;
2019-06-30;1.205972;
2019-07-31;1.465323;
2019-08-31;1.800134;
2019-09-30;2.192361;
2019-10-31;2.174193;
2019-11-30;1.813977;
2019-12-31;1.937634;
2020-01-31;.929839;
2020-02-29;.80704;
2020-03-31;.939651;
2020-04-30;.897361;
2020-05-31;1.162097;
2020-06-30;1.308611;
2020-07-31;1.445833;
2020-08-31;1.89543;
2020-09-30;2.216111;
2020-10-31;1.929874;
2020-11-30;1.737361;
2020-12-31;1.842339;
2021-01-31;1.643952;
2021-02-28;1.326339;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;.198842;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;.316044;
2022-01-31;.176642;
2022-02-28;.152698;
2022-03-31;.024141;
2022-04-30;.046738;
2022-05-31;.076686;
2022-06-30;.112476;
2022-07-31;.213902;
2022-08-31;.22164;
2022-09-30;.487222;
2022-10-31;.716532;
2022-11-30;.197917;
2022-12-31;.258199;

