Nome: SOURE
Codigo Estacao: A227
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.54
Situacao: Pane
Data Inicial: 2008-04-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.57351;
2008-06-30;1.631836;
2008-07-31;2.289516;
2008-08-31;2.812366;
2008-09-30;3.231667;
2008-10-31;3.318952;
2008-11-30;3.088333;
2008-12-31;2.672849;
2009-01-31;2.251888;
2009-02-28;1.92086;
2009-03-31;1.781989;
2009-04-30;1.59875;
2009-05-31;1.316936;
2009-06-30;1.84875;
2009-07-31;2.689651;
2009-08-31;3.176613;
2009-09-30;3.590417;
2009-10-31;3.304167;
2009-11-30;3.707778;
2009-12-31;3.374866;
2010-01-31;2.571966;
2010-02-28;2.853423;
2010-03-31;2.433199;
2010-04-30;1.597083;
2010-05-31;1.697312;
2010-06-30;1.742222;
2010-07-31;2.154973;
2010-08-31;2.528207;
2010-09-30;3.280556;
2010-10-31;2.77957;
2010-11-30;2.849583;
2010-12-31;2.217473;
2011-01-31;1.723522;
2011-02-28;1.534226;
2011-03-31;1.453689;
2011-04-30;1.176111;
2011-05-31;.69328;
2011-06-30;.860417;
2011-07-31;.520968;
2011-08-31;2.344086;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;.592747;
2012-03-31;.439458;
2012-04-30;.46875;
2012-05-31;.928629;
2012-06-30;.687083;
2012-07-31;.667339;
2012-08-31;.752438;
2012-09-30;1.131944;
2012-10-31;1.147984;
2012-11-30;.653194;
2012-12-31;.493683;
2013-01-31;.239247;
2013-02-28;.13497;
2013-03-31;1.692139;
2013-04-30;1.67875;
2013-05-31;1.780645;
2013-06-30;2.312942;
2013-07-31;2.06828;
2013-08-31;2.756989;
2013-09-30;3.216111;
2013-10-31;3.327554;
2013-11-30;3.115139;
2013-12-31;3.173521;
2014-01-31;2.366398;
2014-02-28;1.945387;
2014-03-31;1.993817;
2014-04-30;1.826111;
2014-05-31;1.527151;
2014-06-30;2.360139;
2014-07-31;1.237634;
2014-08-31;2.944355;
2014-09-30;3.304167;
2014-10-31;3.24207;
2014-11-30;3.304583;
2014-12-31;3.502285;
2015-01-31;2.873428;
2015-02-28;2.394345;
2015-03-31;1.682527;
2015-04-30;1.874444;
2015-05-31;2.188172;
2015-06-30;2.531111;
2015-07-31;2.850538;
2015-08-31;3.173422;
2015-09-30;null;
2015-10-31;null;
2015-11-30;3.450139;
2015-12-31;3.486559;
2016-01-31;2.758333;
2016-02-29;2.441667;
2016-03-31;2.003495;
2016-04-30;2.120972;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.451882;
2016-08-31;2.975403;
2016-09-30;3.164306;
2016-10-31;3.226508;
2016-11-30;3.431111;
2016-12-31;2.730645;
2017-01-31;1.987634;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;3.164823;
2017-09-30;null;
2017-10-31;null;
2017-11-30;3.407639;
2017-12-31;2.870968;
2018-01-31;2.362366;
2018-02-28;1.644494;
2018-03-31;2.268952;
2018-04-30;1.478056;
2018-05-31;1.709274;
2018-06-30;2.505;
2018-07-31;2.639516;
2018-08-31;2.939919;
2018-09-30;3.313194;
2018-10-31;3.213172;
2018-11-30;3.286528;
2018-12-31;1.757393;
2019-01-31;2.126882;
2019-02-28;1.750744;
2019-03-31;1.615054;
2019-04-30;1.667336;
2019-05-31;2.070132;
2019-06-30;2.494306;
2019-07-31;2.578495;
2019-08-31;3.027688;
2019-09-30;3.441111;
2019-10-31;3.354704;
2019-11-30;3.119861;
2019-12-31;3.398253;
2020-01-31;1.684677;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

