Nome: TUCURUI
Codigo Estacao: A229
Latitude: -3.82277777
Longitude: -49.67499999
Altitude: 137.94
Situacao: Operante
Data Inicial: 2008-02-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;
2008-03-31;null;
2008-04-30;1.15375;
2008-05-31;1.096879;
2008-06-30;1.206636;
2008-07-31;1.455108;
2008-08-31;1.535753;
2008-09-30;1.712222;
2008-10-31;1.685484;
2008-11-30;1.516944;
2008-12-31;1.369758;
2009-01-31;1.153401;
2009-02-28;1.344785;
2009-03-31;1.176075;
2009-04-30;.754583;
2009-05-31;.70121;
2009-06-30;1.158056;
2009-07-31;1.381183;
2009-08-31;1.745565;
2009-09-30;1.918472;
2009-10-31;1.758764;
2009-11-30;1.758611;
2009-12-31;1.419624;
2010-01-31;1.244343;
2010-02-28;1.414137;
2010-03-31;1.247177;
2010-04-30;1.101033;
2010-05-31;1.096774;
2010-06-30;1.277083;
2010-07-31;1.391398;
2010-08-31;1.612903;
2010-09-30;1.84625;
2010-10-31;1.722896;
2010-11-30;1.48875;
2010-12-31;1.331048;
2011-01-31;1.16922;
2011-02-28;.901339;
2011-03-31;1.139425;
2011-04-30;.754028;
2011-05-31;.784812;
2011-06-30;1.030417;
2011-07-31;.917742;
2011-08-31;1.162366;
2011-09-30;1.279487;
2011-10-31;1.282092;
2011-11-30;1.042083;
2011-12-31;1.23016;
2012-01-31;.885349;
2012-02-29;.878717;
2012-03-31;.674182;
2012-04-30;.498889;
2012-05-31;.55121;
2012-06-30;.831111;
2012-07-31;1.342789;
2012-08-31;1.144259;
2012-09-30;null;
2012-10-31;null;
2012-11-30;1.418333;
2012-12-31;1.186466;
2013-01-31;.712798;
2013-02-28;.622917;
2013-03-31;.721667;
2013-04-30;.690006;
2013-05-31;.519735;
2013-06-30;.575707;
2013-07-31;.583777;
2013-08-31;.776747;
2013-09-30;.920139;
2013-10-31;1.015726;
2013-11-30;1.033194;
2013-12-31;.871283;
2014-01-31;.720699;
2014-02-28;.895905;
2014-03-31;.62836;
2014-04-30;.678098;
2014-05-31;.754032;
2014-06-30;.510604;
2014-07-31;.745927;
2014-08-31;.80457;
2014-09-30;.969306;
2014-10-31;.866398;
2014-11-30;.976528;
2014-12-31;1.127016;
2015-01-31;.713978;
2015-02-28;.73497;
2015-03-31;.720699;
2015-04-30;.573889;
2015-05-31;.282124;
2015-06-30;.229167;
2015-07-31;null;
2015-08-31;null;
2015-09-30;.820994;
2015-10-31;1.144355;
2015-11-30;1.068611;
2015-12-31;.977016;
2016-01-31;.674328;
2016-02-29;.836638;
2016-03-31;.481183;
2016-04-30;.408333;
2016-05-31;.430242;
2016-06-30;.666667;
2016-07-31;.657637;
2016-08-31;.844893;
2016-09-30;.671111;
2016-10-31;.713172;
2016-11-30;.603611;
2016-12-31;.407796;
2017-01-31;.332258;
2017-02-28;.281548;
2017-03-31;.296102;
2017-04-30;.182083;
2017-05-31;.230376;
2017-06-30;.109028;
2017-07-31;.422581;
2017-08-31;.241935;
2017-09-30;.61875;
2017-10-31;.576747;
2017-11-30;.328195;
2017-12-31;.321102;
2018-01-31;.255511;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;.339722;
2018-07-31;.27621;
2018-08-31;.278091;
2018-09-30;.439028;
2018-10-31;.458064;
2018-11-30;.683194;
2018-12-31;.513119;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;.518011;
2019-09-30;.623194;
2019-10-31;.472581;
2019-11-30;.350139;
2019-12-31;.44086;
2020-01-31;.289382;
2020-02-29;.425431;
2020-03-31;.319355;
2020-04-30;.267222;
2020-05-31;.190457;
2020-06-30;.433333;
2020-07-31;.212097;
2020-08-31;.406048;
2020-09-30;.561111;
2020-10-31;.535618;
2020-11-30;.472361;
2020-12-31;.451747;
2021-01-31;.448521;
2021-02-28;.404167;
2021-03-31;.263306;
2021-04-30;.231945;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;.479032;
2022-08-31;.401478;
2022-09-30;.35625;
2022-10-31;.254301;
2022-11-30;.137222;
2022-12-31;.220296;

