Nome: SERRA DOS CARAJAS
Codigo Estacao: A230
Latitude: -6.07749999
Longitude: -50.14222221
Altitude: 707
Situacao: Pane
Data Inicial: 2008-09-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;3.31234;
2008-10-31;3.295296;
2008-11-30;2.967123;
2008-12-31;2.622984;
2009-01-31;2.813453;
2009-02-28;2.776318;
2009-03-31;2.856855;
2009-04-30;2.848056;
2009-05-31;2.82285;
2009-06-30;3.053889;
2009-07-31;2.992876;
2009-08-31;3.217742;
2009-09-30;3.402083;
2009-10-31;2.98046;
2009-11-30;3.050797;
2009-12-31;2.911425;
2010-01-31;3.039064;
2010-02-28;3.159673;
2010-03-31;2.80793;
2010-04-30;2.611944;
2010-05-31;2.722043;
2010-06-30;2.949444;
2010-07-31;2.998521;
2010-08-31;3.134457;
2010-09-30;3.415694;
2010-10-31;3.222715;
2010-11-30;3.009583;
2010-12-31;3.057527;
2011-01-31;2.873522;
2011-02-28;2.811607;
2011-03-31;3.005006;
2011-04-30;2.415972;
2011-05-31;2.842742;
2011-06-30;2.98125;
2011-07-31;2.883199;
2011-08-31;3.151613;
2011-09-30;3.451111;
2011-10-31;3.150806;
2011-11-30;2.99875;
2011-12-31;2.794624;
2012-01-31;2.905231;
2012-02-29;2.856609;
2012-03-31;2.854646;
2012-04-30;2.659028;
2012-05-31;2.759274;
2012-06-30;2.814861;
2012-07-31;2.984005;
2012-08-31;3.331202;
2012-09-30;3.413056;
2012-10-31;3.393145;
2012-11-30;2.662083;
2012-12-31;2.734524;
2013-01-31;null;
2013-02-28;2.96059;
2013-03-31;2.626441;
2013-04-30;2.574445;
2013-05-31;2.663575;
2013-06-30;2.673721;
2013-07-31;2.735753;
2013-08-31;2.81371;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;2.724359;
2014-04-30;null;
2014-05-31;null;
2014-06-30;3.123302;
2014-07-31;2.691263;
2014-08-31;3.045161;
2014-09-30;3.455972;
2014-10-31;3.071774;
2014-11-30;2.949396;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;0;
2015-06-30;2.043889;
2015-07-31;2.818817;
2015-08-31;3.202688;
2015-09-30;3.692289;
2015-10-31;null;
2015-11-30;null;
2015-12-31;3.091766;
2016-01-31;3.319624;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;2.453472;
2016-06-30;2.767469;
2016-07-31;2.944489;
2016-08-31;3.315432;
2016-09-30;3.315417;
2016-10-31;2.913046;
2016-11-30;2.97657;
2016-12-31;2.803676;
2017-01-31;2.819343;
2017-02-28;2.758977;
2017-03-31;2.573005;
2017-04-30;2.37945;
2017-05-31;2.66026;
2017-06-30;2.89416;
2017-07-31;3.316667;
2017-08-31;3.22356;
2017-09-30;3.126398;
2017-10-31;3.617767;
2017-11-30;2.827445;
2017-12-31;2.667787;
2018-01-31;2.722104;
2018-02-28;2.81248;
2018-03-31;2.600304;
2018-04-30;2.413822;
2018-05-31;2.479135;
2018-06-30;2.638284;
2018-07-31;2.594355;
2018-08-31;2.701017;
2018-09-30;2.940613;
2018-10-31;2.723415;
2018-11-30;2.399257;
2018-12-31;2.703689;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;2.410996;
2019-05-31;2.456303;
2019-06-30;2.593418;
2019-07-31;2.71874;
2019-08-31;2.779924;
2019-09-30;3.068985;
2019-10-31;2.593285;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;2.323003;
2022-02-28;2.4349;
2022-03-31;2.299205;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

