Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.3386111
Longitude: -50.35027777
Altitude: 176.75
Situacao: Pane
Data Inicial: 2008-05-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;
2008-06-30;1.323661;
2008-07-31;1.364785;
2008-08-31;1.404973;
2008-09-30;1.504445;
2008-10-31;1.468145;
2008-11-30;1.279444;
2008-12-31;1.234812;
2009-01-31;1.328781;
2009-02-28;1.213285;
2009-03-31;1.181989;
2009-04-30;1.102917;
2009-05-31;1.128419;
2009-06-30;1.233889;
2009-07-31;1.247849;
2009-08-31;1.500403;
2009-09-30;1.425833;
2009-10-31;1.353592;
2009-11-30;1.287083;
2009-12-31;1.461559;
2010-01-31;1.3101;
2010-02-28;1.430804;
2010-03-31;1.154032;
2010-04-30;.969444;
2010-05-31;1.009274;
2010-06-30;1.237778;
2010-07-31;1.425;
2010-08-31;1.426135;
2010-09-30;1.394445;
2010-10-31;1.551882;
2010-11-30;1.346528;
2010-12-31;1.437097;
2011-01-31;1.349731;
2011-02-28;1.194792;
2011-03-31;1.07283;
2011-04-30;1.127917;
2011-05-31;1.071236;
2011-06-30;1.342795;
2011-07-31;null;
2011-08-31;null;
2011-09-30;1.627778;
2011-10-31;1.531855;
2011-11-30;1.410972;
2011-12-31;1.240054;
2012-01-31;.984005;
2012-02-29;1.000575;
2012-03-31;.964218;
2012-04-30;.71875;
2012-05-31;.998656;
2012-06-30;.896944;
2012-07-31;1.117339;
2012-08-31;1.422216;
2012-09-30;1.294325;
2012-10-31;null;
2012-11-30;null;
2012-12-31;1.434543;
2013-01-31;1.366398;
2013-02-28;1.298661;
2013-03-31;1.244083;
2013-04-30;1.096667;
2013-05-31;1.109543;
2013-06-30;1.216515;
2013-07-31;1.515188;
2013-08-31;1.633199;
2013-09-30;1.663333;
2013-10-31;1.470833;
2013-11-30;1.401806;
2013-12-31;1.264516;
2014-01-31;1.06129;
2014-02-28;1.226042;
2014-03-31;.946371;
2014-04-30;.767222;
2014-05-31;.727419;
2014-06-30;.972778;
2014-07-31;1.177823;
2014-08-31;1.208065;
2014-09-30;1.027222;
2014-10-31;1.167876;
2014-11-30;.995139;
2014-12-31;.893952;
2015-01-31;.814843;
2015-02-28;1.010417;
2015-03-31;1.066667;
2015-04-30;.744445;
2015-05-31;1.211156;
2015-06-30;1.074028;
2015-07-31;1.262769;
2015-08-31;1.24176;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;1.139382;
2016-01-31;1.221102;
2016-02-29;1.092672;
2016-03-31;1.026075;
2016-04-30;1.004861;
2016-05-31;.846102;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;1.016076;
2016-11-30;1.106528;
2016-12-31;1.075269;
2017-01-31;1.045565;
2017-02-28;1.007441;
2017-03-31;1.052823;
2017-04-30;.730972;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;1.370694;
2017-11-30;1.19904;
2017-12-31;.96129;
2018-01-31;.95336;
2018-02-28;1.079613;
2018-03-31;1.027688;
2018-04-30;.971806;
2018-05-31;1.147446;
2018-06-30;1.162361;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;1.192133;
2018-12-31;1.142043;
2019-01-31;1.063844;
2019-02-28;1.274298;
2019-03-31;1.044892;
2019-04-30;1.176805;
2019-05-31;1.102957;
2019-06-30;1.471389;
2019-07-31;1.430645;
2019-08-31;1.579973;
2019-09-30;1.564722;
2019-10-31;1.363441;
2019-11-30;1.268889;
2019-12-31;1.324462;
2020-01-31;1.329839;
2020-02-29;1.284483;
2020-03-31;.850941;
2020-04-30;.594167;
2020-05-31;.771505;
2020-06-30;.526235;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

