Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Pane
Data Inicial: 2008-07-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;
2008-08-31;1.730242;
2008-09-30;1.86875;
2008-10-31;1.838038;
2008-11-30;1.691111;
2008-12-31;1.405108;
2009-01-31;1.548521;
2009-02-28;1.669501;
2009-03-31;1.681048;
2009-04-30;1.588762;
2009-05-31;1.462769;
2009-06-30;1.377222;
2009-07-31;1.458404;
2009-08-31;1.684274;
2009-09-30;1.924306;
2009-10-31;1.940512;
2009-11-30;1.84;
2009-12-31;1.653226;
2010-01-31;1.696736;
2010-02-28;1.650524;
2010-03-31;1.710349;
2010-04-30;1.532778;
2010-05-31;1.32836;
2010-06-30;1.361528;
2010-07-31;1.406989;
2010-08-31;1.57379;
2010-09-30;1.917083;
2010-10-31;1.915726;
2010-11-30;1.704861;
2010-12-31;1.62285;
2011-01-31;1.654769;
2011-02-28;1.644197;
2011-03-31;1.665688;
2011-04-30;1.492778;
2011-05-31;1.431457;
2011-06-30;1.505417;
2011-07-31;1.433474;
2011-08-31;1.58629;
2011-09-30;1.859583;
2011-10-31;1.780637;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;1.209802;
2012-07-31;1.229973;
2012-08-31;1.395411;
2012-09-30;1.639028;
2012-10-31;1.509946;
2012-11-30;1.429444;
2012-12-31;1.353629;
2013-01-31;1.333871;
2013-02-28;1.385714;
2013-03-31;1.444833;
2013-04-30;1.26375;
2013-05-31;1.206989;
2013-06-30;1.220417;
2013-07-31;1.203343;
2013-08-31;1.288038;
2013-09-30;1.522222;
2013-10-31;1.544086;
2013-11-30;1.368611;
2013-12-31;1.397043;
2014-01-31;1.373522;
2014-02-28;1.465774;
2014-03-31;1.450269;
2014-04-30;1.36375;
2014-05-31;1.224328;
2014-06-30;1.208889;
2014-07-31;1.235618;
2014-08-31;1.439785;
2014-09-30;1.609167;
2014-10-31;1.492473;
2014-11-30;1.420278;
2014-12-31;1.416532;
2015-01-31;1.371909;
2015-02-28;1.364583;
2015-03-31;1.375806;
2015-04-30;1.365;
2015-05-31;1.238306;
2015-06-30;1.235695;
2015-07-31;1.276344;
2015-08-31;1.413172;
2015-09-30;1.64875;
2015-10-31;1.670565;
2015-11-30;1.443055;
2015-12-31;1.531989;
2016-01-31;1.58078;
2016-02-29;1.475287;
2016-03-31;1.339247;
2016-04-30;1.228056;
2016-05-31;1.166398;
2016-06-30;1.165695;
2016-07-31;1.239209;
2016-08-31;1.504301;
2016-09-30;1.464028;
2016-10-31;1.564458;
2016-11-30;1.558194;
2016-12-31;1.412634;
2017-01-31;1.380511;
2017-02-28;1.256696;
2017-03-31;1.265726;
2017-04-30;1.179861;
2017-05-31;1.17836;
2017-06-30;1.179076;
2017-07-31;1.326069;
2017-08-31;1.472061;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;1.351667;
2018-01-31;1.35793;
2018-02-28;1.256994;
2018-03-31;1.326882;
2018-04-30;1.15875;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;1.285887;
2020-02-29;1.266092;
2020-03-31;1.260484;
2020-04-30;1.263611;
2020-05-31;1.205108;
2020-06-30;1.2734;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;1.188115;
2022-07-31;1.269635;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

