Nome: CAMETA
Codigo Estacao: A236
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.92
Situacao: Pane
Data Inicial: 2008-06-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;1.560753;
2008-08-31;1.892473;
2008-09-30;1.927778;
2008-10-31;2.011425;
2008-11-30;2.003194;
2008-12-31;1.508871;
2009-01-31;1.529915;
2009-02-28;1.451275;
2009-03-31;1.404167;
2009-04-30;1.385556;
2009-05-31;1.169624;
2009-06-30;1.296111;
2009-07-31;1.825485;
2009-08-31;2.033737;
2009-09-30;2.379028;
2009-10-31;2.296181;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;1.232083;
2010-05-31;1.273521;
2010-06-30;1.354445;
2010-07-31;1.412634;
2010-08-31;1.731989;
2010-09-30;1.886389;
2010-10-31;1.906989;
2010-11-30;1.893889;
2010-12-31;1.531048;
2011-01-31;1.341532;
2011-02-28;1.370685;
2011-03-31;1.362598;
2011-04-30;1.167639;
2011-05-31;1.243182;
2011-06-30;1.623283;
2011-07-31;1.549755;
2011-08-31;1.922446;
2011-09-30;2.025556;
2011-10-31;2.052495;
2011-11-30;1.931884;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;1.552957;
2012-04-30;1.468569;
2012-05-31;1.705265;
2012-06-30;1.629179;
2012-07-31;1.539919;
2012-08-31;1.599709;
2012-09-30;2.040278;
2012-10-31;2.146102;
2012-11-30;2.167639;
2012-12-31;1.86922;
2013-01-31;1.458795;
2013-02-28;1.573551;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;2.03293;
2014-01-31;1.683468;
2014-02-28;1.537054;
2014-03-31;1.599328;
2014-04-30;1.52221;
2014-05-31;1.474697;
2014-06-30;1.719137;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.602083;
2015-06-30;1.765972;
2015-07-31;1.902688;
2015-08-31;2.005213;
2015-09-30;2.316389;
2015-10-31;2.410349;
2015-11-30;2.420278;
2015-12-31;2.26129;
2016-01-31;1.894793;
2016-02-29;1.896185;
2016-03-31;1.634205;
2016-04-30;1.577917;
2016-05-31;1.719086;
2016-06-30;1.601966;
2016-07-31;1.734274;
2016-08-31;1.992608;
2016-09-30;2.135695;
2016-10-31;2.157815;
2016-11-30;2.219167;
2016-12-31;1.842204;
2017-01-31;1.615501;
2017-02-28;1.478821;
2017-03-31;1.625877;
2017-04-30;1.525523;
2017-05-31;null;
2017-06-30;1.585833;
2017-07-31;1.561021;
2017-08-31;2.075403;
2017-09-30;2.054444;
2017-10-31;2.194872;
2017-11-30;2.399444;
2017-12-31;2.017608;
2018-01-31;1.792362;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;1.500744;
2018-06-30;1.681806;
2018-07-31;1.802688;
2018-08-31;1.892876;
2018-09-30;2.210139;
2018-10-31;2.378226;
2018-11-30;2.308333;
2018-12-31;1.667876;
2019-01-31;1.692339;
2019-02-28;1.626488;
2019-03-31;1.616129;
2019-04-30;1.475694;
2019-05-31;1.557124;
2019-06-30;1.668333;
2019-07-31;1.72957;
2019-08-31;1.99879;
2019-09-30;2.16;
2019-10-31;2.275672;
2019-11-30;2.169583;
2019-12-31;1.947446;
2020-01-31;1.554167;
2020-02-29;1.50158;
2020-03-31;1.531317;
2020-04-30;1.372619;
2020-05-31;1.360538;
2020-06-30;1.595293;
2020-07-31;1.664984;
2020-08-31;1.994308;
2020-09-30;2.206147;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

