Nome: CAXIAS
Codigo Estacao: A237
Latitude: -4.82138888
Longitude: -43.3436111
Altitude: 84.85
Situacao: Operante
Data Inicial: 2008-07-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;
2008-08-31;1.325941;
2008-09-30;1.348472;
2008-10-31;1.443011;
2008-11-30;1.230139;
2008-12-31;1.156183;
2009-01-31;.946418;
2009-02-28;1.08912;
2009-03-31;.971371;
2009-04-30;.986944;
2009-05-31;1.00578;
2009-06-30;1.197083;
2009-07-31;1.141801;
2009-08-31;1.292473;
2009-09-30;1.246111;
2009-10-31;1.246032;
2009-11-30;1.283889;
2009-12-31;1.197984;
2010-01-31;1.028783;
2010-02-28;1.073363;
2010-03-31;null;
2010-04-30;null;
2010-05-31;.913844;
2010-06-30;1.205417;
2010-07-31;1.286559;
2010-08-31;1.327823;
2010-09-30;1.458889;
2010-10-31;1.356586;
2010-11-30;1.199861;
2010-12-31;1.164113;
2011-01-31;1.049462;
2011-02-28;1.056864;
2011-03-31;.991387;
2011-04-30;1.119861;
2011-05-31;1.293414;
2011-06-30;1.24;
2011-07-31;1.386828;
2011-08-31;1.25;
2011-09-30;1.349288;
2011-10-31;1.323387;
2011-11-30;1.146291;
2011-12-31;1.271102;
2012-01-31;1.279301;
2012-02-29;1.181486;
2012-03-31;1.119489;
2012-04-30;1.038816;
2012-05-31;1.073387;
2012-06-30;1.175833;
2012-07-31;1.265995;
2012-08-31;null;
2012-09-30;null;
2012-10-31;1.667339;
2012-11-30;1.701528;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;1.227611;
2013-04-30;1.201111;
2013-05-31;1.059946;
2013-06-30;1.088068;
2013-07-31;1.212097;
2013-08-31;1.233199;
2013-09-30;1.443889;
2013-10-31;1.61035;
2013-11-30;1.476806;
2013-12-31;1.391801;
2014-01-31;1.285753;
2014-02-28;1.203125;
2014-03-31;1.125403;
2014-04-30;1.125417;
2014-05-31;1.088441;
2014-06-30;1.203194;
2014-07-31;1.211079;
2014-08-31;1.324462;
2014-09-30;1.524861;
2014-10-31;1.538746;
2014-11-30;null;
2014-12-31;null;
2015-01-31;1.276239;
2015-02-28;1.254613;
2015-03-31;1.119758;
2015-04-30;1.071806;
2015-05-31;1.02746;
2015-06-30;1.106389;
2015-07-31;1.244086;
2015-08-31;1.306183;
2015-09-30;1.408333;
2015-10-31;1.566801;
2015-11-30;1.64;
2015-12-31;1.775134;
2016-01-31;1.223656;
2016-02-29;1.264512;
2016-03-31;1.105242;
2016-04-30;1.105;
2016-05-31;.943145;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;1.577659;
2016-11-30;1.67375;
2016-12-31;1.540457;
2017-01-31;1.33469;
2017-02-28;null;
2017-03-31;1.116801;
2017-04-30;1.054028;
2017-05-31;1.108602;
2017-06-30;1.294167;
2017-07-31;1.702285;
2017-08-31;1.20793;
2017-09-30;1.628889;
2017-10-31;1.602419;
2017-11-30;1.425417;
2017-12-31;1.371236;
2018-01-31;1.246237;
2018-02-28;1.177892;
2018-03-31;1.108737;
2018-04-30;1.081667;
2018-05-31;1.1216;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;1.400672;
2018-11-30;1.378194;
2018-12-31;1.180645;
2019-01-31;1.173253;
2019-02-28;1.154316;
2019-03-31;1.152419;
2019-04-30;1.023472;
2019-05-31;1.065323;
2019-06-30;1.385556;
2019-07-31;1.484946;
2019-08-31;1.478781;
2019-09-30;1.319722;
2019-10-31;1.402823;
2019-11-30;1.392639;
2019-12-31;1.396371;
2020-01-31;1.179167;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.209375;
2022-05-31;1.219892;
2022-06-30;1.249306;
2022-07-31;1.583602;
2022-08-31;1.460145;
2022-09-30;1.318412;
2022-10-31;1.376479;
2022-11-30;1.190833;
2022-12-31;1.075403;

