Nome: BURITICUPU
Codigo Estacao: A238
Latitude: -4.32055554
Longitude: -46.44944444
Altitude: 174.91
Situacao: Operante
Data Inicial: 2008-09-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;2.963575;
2008-11-30;2.790441;
2008-12-31;2.271774;
2009-01-31;2.050806;
2009-02-28;1.989367;
2009-03-31;1.672715;
2009-04-30;1.681528;
2009-05-31;1.564651;
2009-06-30;1.886111;
2009-07-31;2.103226;
2009-08-31;2.55914;
2009-09-30;2.895278;
2009-10-31;2.568611;
2009-11-30;2.796667;
2009-12-31;2.739446;
2010-01-31;2.296486;
2010-02-28;2.43244;
2010-03-31;2.200672;
2010-04-30;1.666806;
2010-05-31;1.572849;
2010-06-30;1.973889;
2010-07-31;2.266129;
2010-08-31;2.456353;
2010-09-30;2.898611;
2010-10-31;2.617204;
2010-11-30;2.252361;
2010-12-31;2.054435;
2011-01-31;1.906317;
2011-02-28;1.883327;
2011-03-31;1.727477;
2011-04-30;1.605555;
2011-05-31;1.77621;
2011-06-30;2.034722;
2011-07-31;2.056048;
2011-08-31;2.369086;
2011-09-30;2.740833;
2011-10-31;2.570027;
2011-11-30;2.225972;
2011-12-31;2.543145;
2012-01-31;2.387634;
2012-02-29;2.104885;
2012-03-31;1.910484;
2012-04-30;1.837917;
2012-05-31;1.93078;
2012-06-30;1.899444;
2012-07-31;2.191532;
2012-08-31;2.50528;
2012-09-30;2.99375;
2012-10-31;2.859005;
2012-11-30;2.589722;
2012-12-31;2.402285;
2013-01-31;2.327957;
2013-02-28;2.280687;
2013-03-31;2.017139;
2013-04-30;1.692083;
2013-05-31;1.665517;
2013-06-30;1.860556;
2013-07-31;2.063119;
2013-08-31;2.424328;
2013-09-30;3.009861;
2013-10-31;2.885887;
2013-11-30;2.412361;
2013-12-31;2.180511;
2014-01-31;2.276075;
2014-02-28;1.933036;
2014-03-31;1.886559;
2014-04-30;1.663611;
2014-05-31;1.649059;
2014-06-30;1.897083;
2014-07-31;2.180914;
2014-08-31;2.536425;
2014-09-30;2.891528;
2014-10-31;2.808333;
2014-11-30;2.745278;
2014-12-31;2.727285;
2015-01-31;2.464329;
2015-02-28;2.159375;
2015-03-31;1.897043;
2015-04-30;1.730208;
2015-05-31;1.702016;
2015-06-30;1.962917;
2015-07-31;2.236425;
2015-08-31;2.662366;
2015-09-30;3.031111;
2015-10-31;3.135081;
2015-11-30;2.948056;
2015-12-31;3.292608;
2016-01-31;2.615591;
2016-02-29;2.556035;
2016-03-31;1.930242;
2016-04-30;1.961528;
2016-05-31;1.975941;
2016-06-30;2.195278;
2016-07-31;2.295968;
2016-08-31;2.87164;
2016-09-30;2.689445;
2016-10-31;2.570968;
2016-11-30;2.581262;
2016-12-31;2.231452;
2017-01-31;1.962366;
2017-02-28;1.825298;
2017-03-31;1.637366;
2017-04-30;1.681322;
2017-05-31;1.724975;
2017-06-30;2.042222;
2017-07-31;2.354301;
2017-08-31;2.525807;
2017-09-30;3.017361;
2017-10-31;2.986828;
2017-11-30;2.67375;
2017-12-31;2.558333;
2018-01-31;2.276478;
2018-02-28;1.814732;
2018-03-31;1.767339;
2018-04-30;1.585833;
2018-05-31;1.775538;
2018-06-30;1.913889;
2018-07-31;2.120699;
2018-08-31;2.614516;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.547361;
2019-05-31;1.751075;
2019-06-30;1.974444;
2019-07-31;2.179704;
2019-08-31;2.543145;
2019-09-30;2.871528;
2019-10-31;2.732392;
2019-11-30;2.49088;
2019-12-31;2.739068;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

