Nome: MONTE ALEGRE
Codigo Estacao: A239
Latitude: -2
Longitude: -54.07638888
Altitude: 100.53
Situacao: Pane
Data Inicial: 2012-07-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-07-31;null;
2012-08-31;3.303667;
2012-09-30;3.715278;
2012-10-31;3.684005;
2012-11-30;3.494306;
2012-12-31;2.938441;
2013-01-31;2.735484;
2013-02-28;2.824256;
2013-03-31;2.821389;
2013-04-30;2.612778;
2013-05-31;2.674597;
2013-06-30;2.770385;
2013-07-31;2.52043;
2013-08-31;2.891801;
2013-09-30;3.280833;
2013-10-31;3.607796;
2013-11-30;3.211944;
2013-12-31;3.223387;
2014-01-31;2.998118;
2014-02-28;2.859673;
2014-03-31;2.979704;
2014-04-30;2.731528;
2014-05-31;2.544086;
2014-06-30;2.879444;
2014-07-31;3.122446;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;3.609167;
2015-10-31;3.815726;
2015-11-30;3.835556;
2015-12-31;3.68414;
2016-01-31;3.441129;
2016-02-29;3.496121;
2016-03-31;2.623522;
2016-04-30;2.6325;
2016-05-31;2.641936;
2016-06-30;2.612361;
2016-07-31;2.795968;
2016-08-31;3.243414;
2016-09-30;2.969722;
2016-10-31;3.289686;
2016-11-30;3.159722;
2016-12-31;2.744758;
2017-01-31;2.489382;
2017-02-28;2.502562;
2017-03-31;2.46264;
2017-04-30;2.497639;
2017-05-31;2.622581;
2017-06-30;2.500417;
2017-07-31;2.574451;
2017-08-31;3.366532;
2017-09-30;3.511528;
2017-10-31;null;
2017-11-30;null;
2017-12-31;2.851128;
2018-01-31;3.064247;
2018-02-28;2.312041;
2018-03-31;2.692633;
2018-04-30;null;
2018-05-31;2.752694;
2018-06-30;null;
2018-07-31;2.732349;
2018-08-31;3.138104;
2018-09-30;3.117041;
2018-10-31;3.426104;
2018-11-30;3.215906;
2018-12-31;2.753454;
2019-01-31;2.719221;
2019-02-28;2.641369;
2019-03-31;2.52957;
2019-04-30;2.609306;
2019-05-31;2.651583;
2019-06-30;2.803895;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;2.524288;
2020-02-29;2.448138;
2020-03-31;2.502554;
2020-04-30;2.072639;
2020-05-31;2.364382;
2020-06-30;2.425;
2020-07-31;2.621183;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

