Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2008-09-06
Data Final: 2018-06-23
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;2.597043;
2008-11-30;2.525507;
2008-12-31;1.98871;
2009-01-31;1.987044;
2009-02-28;1.927057;
2009-03-31;1.87104;
2009-04-30;2.188128;
2009-05-31;1.908853;
2009-06-30;1.51776;
2009-07-31;1.716065;
2009-08-31;2.029032;
2009-09-30;2.541667;
2009-10-31;2.529885;
2009-11-30;2.657083;
2009-12-31;2.02164;
2010-01-31;2.075281;
2010-02-28;2.347917;
2010-03-31;2.163979;
2010-04-30;1.554167;
2010-05-31;1.514569;
2010-06-30;1.570966;
2010-07-31;1.570833;
2010-08-31;1.865507;
2010-09-30;2.23125;
2010-10-31;2.341398;
2010-11-30;2.09413;
2010-12-31;1.685081;
2011-01-31;1.852285;
2011-02-28;1.78006;
2011-03-31;1.785393;
2011-04-30;1.760888;
2011-05-31;1.429839;
2011-06-30;1.62625;
2011-07-31;1.636828;
2011-08-31;1.967473;
2011-09-30;2.218611;
2011-10-31;2.079362;
2011-11-30;2.142083;
2011-12-31;2.256183;
2012-01-31;1.842742;
2012-02-29;1.855603;
2012-03-31;1.982644;
2012-04-30;1.747361;
2012-05-31;1.742876;
2012-06-30;1.723472;
2012-07-31;1.775806;
2012-08-31;1.939324;
2012-09-30;2.263611;
2012-10-31;2.317204;
2012-11-30;2.301111;
2012-12-31;2.126075;
2013-01-31;2.227419;
2013-02-28;1.940923;
2013-03-31;2.0855;
2013-04-30;1.875833;
2013-05-31;1.519489;
2013-06-30;1.647904;
2013-07-31;1.622043;
2013-08-31;1.963978;
2013-09-30;2.413472;
2013-10-31;2.453226;
2013-11-30;2.231667;
2013-12-31;2.077419;
2014-01-31;2.012769;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;2.472732;
2014-10-31;2.480561;
2014-11-30;2.437894;
2014-12-31;2.250562;
2015-01-31;2.160889;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;2.104704;
2015-09-30;2.419444;
2015-10-31;2.51707;
2015-11-30;2.514444;
2015-12-31;2.554839;
2016-01-31;2.398521;
2016-02-29;2.129167;
2016-03-31;2.003495;
2016-04-30;1.726806;
2016-05-31;1.606452;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;2.39158;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;2.309861;
2017-10-31;2.479435;
2017-11-30;2.370556;
2017-12-31;2.070833;
2018-01-31;1.761559;
2018-02-28;1.932292;
2018-03-31;2.107661;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;

