Nome: MINA DO PALITO
Codigo Estacao: A246
Latitude: -6.31999999
Longitude: -55.78777777
Altitude: 259.88
Situacao: Pane
Data Inicial: 2010-09-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;1.010031;
2011-11-30;.993304;
2011-12-31;.965188;
2012-01-31;.907661;
2012-02-29;.885632;
2012-03-31;.907661;
2012-04-30;.868889;
2012-05-31;.99219;
2012-06-30;.901389;
2012-07-31;1.01371;
2012-08-31;1.012289;
2012-09-30;.927639;
2012-10-31;.98871;
2012-11-30;.890694;
2012-12-31;.902419;
2013-01-31;.809274;
2013-02-28;.890625;
2013-03-31;.880833;
2013-04-30;.8575;
2013-05-31;.815188;
2013-06-30;.907866;
2013-07-31;.930575;
2013-08-31;.967204;
2013-09-30;.999028;
2013-10-31;.911425;
2013-11-30;.971667;
2013-12-31;.838844;
2014-01-31;.895968;
2014-02-28;.877142;
2014-03-31;.8625;
2014-04-30;.866528;
2014-05-31;.869489;
2014-06-30;1.037083;
2014-07-31;.905645;
2014-08-31;.863172;
2014-09-30;.830972;
2014-10-31;.918548;
2014-11-30;.847083;
2014-12-31;.909812;
2015-01-31;.916047;
2015-02-28;.859524;
2015-03-31;.864516;
2015-04-30;.815555;
2015-05-31;.868548;
2015-06-30;.944392;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;1.035648;
2015-11-30;.935568;
2015-12-31;.950555;
2016-01-31;.999597;
2016-02-29;.982328;
2016-03-31;.922581;
2016-04-30;.995694;
2016-05-31;.886962;
2016-06-30;1.007778;
2016-07-31;.972446;
2016-08-31;1.003898;
2016-09-30;1.033472;
2016-10-31;.954143;
2016-11-30;.9725;
2016-12-31;.959851;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;.90793;
2017-09-30;.954306;
2017-10-31;1.031855;
2017-11-30;.963055;
2017-12-31;.934274;
2018-01-31;.951613;
2018-02-28;1.036756;
2018-03-31;1.01129;
2018-04-30;.984306;
2018-05-31;.956989;
2018-06-30;1.061667;
2018-07-31;1.006048;
2018-08-31;.94207;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;.94543;
2019-08-31;.945374;
2019-09-30;1.002778;
2019-10-31;.994986;
2019-11-30;.922603;
2019-12-31;.910349;
2020-01-31;.942608;
2020-02-29;.917829;
2020-03-31;.977677;
2020-04-30;.947083;
2020-05-31;.926075;
2020-06-30;1.009306;
2020-07-31;.972768;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

