Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Pane
Data Inicial: 2016-09-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-09-30;null;
2016-10-31;1.464294;
2016-11-30;1.442222;
2016-12-31;1.454167;
2017-01-31;1.378091;
2017-02-28;1.569494;
2017-03-31;1.353727;
2017-04-30;1.272361;
2017-05-31;1.396371;
2017-06-30;1.521389;
2017-07-31;1.99086;
2017-08-31;1.762769;
2017-09-30;1.959167;
2017-10-31;1.780645;
2017-11-30;1.4725;
2017-12-31;1.385484;
2018-01-31;1.353091;
2018-02-28;1.422321;
2018-03-31;1.415726;
2018-04-30;1.343527;
2018-05-31;1.386851;
2018-06-30;1.492482;
2018-07-31;1.611559;
2018-08-31;1.613844;
2018-09-30;1.627745;
2018-10-31;1.340644;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;1.277174;
2020-01-31;1.438306;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;1.531586;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

